matchId,tier,platform
BR1_3201856086,BRONZE,br1
BR1_3202824911,BRONZE,br1
BR1_3203227856,BRONZE,br1
BR1_3193350901,BRONZE,br1
BR1_3202599809,BRONZE,br1
BR1_3116830456,BRONZE,br1
BR1_3189143682,BRONZE,br1
BR1_3200253840,BRONZE,br1
BR1_3202682442,BRONZE,br1
BR1_3203620353,BRONZE,br1
BR1_3151292373,BRONZE,br1
BR1_3198892010,BRONZE,br1
BR1_3202890596,BRONZE,br1
BR1_3188795278,BRONZE,br1
BR1_3198509152,BRONZE,br1
BR1_3202025214,BRONZE,br1
BR1_3203744019,BRONZE,br1
BR1_3199721496,BRONZE,br1
BR1_3202951464,BRONZE,br1
BR1_3203238743,BRONZE,br1
BR1_3197883335,BRONZE,br1
BR1_3191682397,BRONZE,br1
BR1_3193728343,BRONZE,br1
BR1_3188437100,BRONZE,br1
BR1_3189263822,BRONZE,br1
BR1_3196839341,BRONZE,br1
BR1_3190742380,BRONZE,br1
BR1_3199522616,BRONZE,br1
BR1_3203112020,BRONZE,br1
BR1_3201942840,BRONZE,br1
BR1_3190888595,BRONZE,br1
BR1_3199959082,BRONZE,br1
BR1_3202185516,BRONZE,br1
BR1_3202752817,BRONZE,br1
BR1_3184420214,BRONZE,br1
BR1_3190800374,BRONZE,br1
BR1_3200568241,BRONZE,br1
BR1_3202210408,BRONZE,br1
BR1_3191151429,BRONZE,br1
BR1_3201597275,BRONZE,br1
BR1_3203670367,BRONZE,br1
BR1_3201447329,BRONZE,br1
BR1_3189379339,BRONZE,br1
BR1_3203019372,BRONZE,br1
BR1_3188227950,BRONZE,br1
BR1_3197815279,BRONZE,br1
BR1_3164357739,BRONZE,br1
BR1_3202272129,BRONZE,br1
BR1_3202145515,BRONZE,br1
BR1_3197865079,BRONZE,br1
BR1_3196114572,BRONZE,br1
BR1_3201538874,BRONZE,br1
BR1_3199640098,BRONZE,br1
BR1_3203179279,BRONZE,br1
BR1_3190024686,BRONZE,br1
BR1_3198069404,BRONZE,br1
BR1_3196578052,BRONZE,br1
BR1_3202398813,BRONZE,br1
BR1_3197142636,BRONZE,br1
BR1_3199568934,BRONZE,br1
BR1_3202038195,BRONZE,br1
BR1_3194776038,BRONZE,br1
BR1_3169184775,BRONZE,br1
BR1_3202645022,BRONZE,br1
BR1_3198625205,BRONZE,br1
BR1_3174484181,BRONZE,br1
BR1_3199866438,BRONZE,br1
BR1_3201685526,BRONZE,br1
BR1_3199105243,BRONZE,br1
BR1_3190956593,BRONZE,br1
BR1_3201914654,BRONZE,br1
BR1_3190924466,BRONZE,br1
BR1_3190610863,BRONZE,br1
BR1_3184996011,BRONZE,br1
BR1_3193345289,BRONZE,br1
BR1_3202829624,BRONZE,br1
BR1_3199579691,BRONZE,br1
BR1_3194380339,BRONZE,br1
BR1_3201446955,BRONZE,br1
BR1_3192193183,BRONZE,br1
BR1_3201074032,BRONZE,br1
BR1_3201969718,BRONZE,br1
BR1_3199723396,BRONZE,br1
BR1_3201950538,BRONZE,br1
BR1_3199764447,BRONZE,br1
BR1_3186535024,BRONZE,br1
BR1_3193371718,BRONZE,br1
BR1_3202115428,BRONZE,br1
BR1_3201961066,BRONZE,br1
BR1_3201541940,BRONZE,br1
BR1_3203247296,BRONZE,br1
BR1_3203281340,BRONZE,br1
BR1_3200961737,BRONZE,br1
BR1_3200479250,BRONZE,br1
BR1_3199915388,BRONZE,br1
BR1_3203533454,BRONZE,br1
BR1_3202576634,BRONZE,br1
BR1_3195368575,BRONZE,br1
BR1_3186706934,BRONZE,br1
BR1_3200888019,BRONZE,br1
BR1_3200494174,BRONZE,br1
BR1_3200881340,BRONZE,br1
BR1_3196426063,BRONZE,br1
