matchId,tier,platform
BR1_3201125349,DIAMOND,br1
BR1_3197519917,DIAMOND,br1
BR1_3198316444,DIAMOND,br1
BR1_3201868529,DIAMOND,br1
BR1_3195239599,DIAMOND,br1
BR1_3200521881,DIAMOND,br1
BR1_3202989690,DIAMOND,br1
BR1_3203321929,DIAMOND,br1
BR1_3203188485,DIAMOND,br1
BR1_3201930927,DIAMOND,br1
BR1_3190624372,DIAMOND,br1
BR1_3201340938,DIAMOND,br1
BR1_3200338315,DIAMOND,br1
BR1_3199858984,DIAMOND,br1
BR1_3119162726,DIAMOND,br1
BR1_3202711350,DIAMOND,br1
BR1_3198193207,DIAMOND,br1
BR1_3197936027,DIAMOND,br1
BR1_3197470916,DIAMOND,br1
BR1_3203655052,DIAMOND,br1
BR1_3202222177,DIAMOND,br1
BR1_3197557641,DIAMOND,br1
BR1_3197465661,DIAMOND,br1
BR1_3196734287,DIAMOND,br1
BR1_3194517398,DIAMOND,br1
BR1_3203555866,DIAMOND,br1
BR1_3192117044,DIAMOND,br1
BR1_3200144963,DIAMOND,br1
BR1_3194102065,DIAMOND,br1
BR1_3202432733,DIAMOND,br1
BR1_3199121620,DIAMOND,br1
BR1_3202753880,DIAMOND,br1
BR1_3203315246,DIAMOND,br1
BR1_3202430978,DIAMOND,br1
BR1_3202342512,DIAMOND,br1
BR1_3198150676,DIAMOND,br1
BR1_3200595166,DIAMOND,br1
BR1_3199273295,DIAMOND,br1
BR1_3190690295,DIAMOND,br1
BR1_3200893892,DIAMOND,br1
BR1_3202298053,DIAMOND,br1
BR1_3200162786,DIAMOND,br1
BR1_3201923606,DIAMOND,br1
BR1_3203364401,DIAMOND,br1
BR1_3193519001,DIAMOND,br1
BR1_3200387140,DIAMOND,br1
BR1_3203662679,DIAMOND,br1
BR1_3203688698,DIAMOND,br1
BR1_3202842833,DIAMOND,br1
BR1_3199121585,DIAMOND,br1
BR1_3202999457,DIAMOND,br1
BR1_3191653194,DIAMOND,br1
BR1_3198722772,DIAMOND,br1
BR1_3203642565,DIAMOND,br1
BR1_3201043190,DIAMOND,br1
BR1_3195206114,DIAMOND,br1
BR1_3203393165,DIAMOND,br1
BR1_3196551917,DIAMOND,br1
BR1_3201818501,DIAMOND,br1
BR1_3201609734,DIAMOND,br1
BR1_3203277887,DIAMOND,br1
BR1_3202127639,DIAMOND,br1
BR1_3201931940,DIAMOND,br1
BR1_3198456725,DIAMOND,br1
BR1_3201352806,DIAMOND,br1
BR1_3198785219,DIAMOND,br1
BR1_3202920580,DIAMOND,br1
BR1_3202955466,DIAMOND,br1
BR1_3193051134,DIAMOND,br1
BR1_3203203052,DIAMOND,br1
BR1_3202056745,DIAMOND,br1
BR1_3197494174,DIAMOND,br1
BR1_3201349163,DIAMOND,br1
BR1_3200496558,DIAMOND,br1
BR1_3197334811,DIAMOND,br1
BR1_3193232868,DIAMOND,br1
BR1_3199585634,DIAMOND,br1
BR1_3193686445,DIAMOND,br1
BR1_3191412300,DIAMOND,br1
BR1_3201439184,DIAMOND,br1
BR1_3203531171,DIAMOND,br1
BR1_3201699695,DIAMOND,br1
BR1_3188680970,DIAMOND,br1
BR1_3201361086,DIAMOND,br1
BR1_3194251163,DIAMOND,br1
BR1_3199277307,DIAMOND,br1
BR1_3196414838,DIAMOND,br1
BR1_3203104086,DIAMOND,br1
BR1_3201463468,DIAMOND,br1
BR1_3200184873,DIAMOND,br1
BR1_3199426186,DIAMOND,br1
BR1_3200326412,DIAMOND,br1
BR1_3200745356,DIAMOND,br1
BR1_3203328953,DIAMOND,br1
BR1_3197621164,DIAMOND,br1
BR1_3199672096,DIAMOND,br1
BR1_3203179807,DIAMOND,br1
BR1_3203750060,DIAMOND,br1
BR1_3198735390,DIAMOND,br1
BR1_3198269278,DIAMOND,br1
BR1_3201102764,DIAMOND,br1
BR1_3203668898,DIAMOND,br1
BR1_3203019671,DIAMOND,br1
BR1_3199307744,DIAMOND,br1
BR1_3202118082,DIAMOND,br1
BR1_3197788651,DIAMOND,br1
BR1_3195947228,DIAMOND,br1
BR1_3202761564,DIAMOND,br1
BR1_3202453228,DIAMOND,br1
BR1_3200876595,DIAMOND,br1
BR1_3197823493,DIAMOND,br1
BR1_3199114744,DIAMOND,br1
BR1_3203462934,DIAMOND,br1
BR1_3197559309,DIAMOND,br1
BR1_3202477326,DIAMOND,br1
BR1_3202817066,DIAMOND,br1
BR1_3203517516,DIAMOND,br1
BR1_3200936107,DIAMOND,br1
BR1_3198479642,DIAMOND,br1
BR1_3199906235,DIAMOND,br1
BR1_3196704962,DIAMOND,br1
BR1_3198246453,DIAMOND,br1
BR1_3201271645,DIAMOND,br1
BR1_3197071619,DIAMOND,br1
BR1_3198833881,DIAMOND,br1
BR1_3196977084,DIAMOND,br1
BR1_3202973966,DIAMOND,br1
BR1_3203552836,DIAMOND,br1
BR1_3199852382,DIAMOND,br1
BR1_3193531390,DIAMOND,br1
BR1_3195738649,DIAMOND,br1
BR1_3201942634,DIAMOND,br1
BR1_3203079742,DIAMOND,br1
BR1_3202110132,DIAMOND,br1
BR1_3193486826,DIAMOND,br1
BR1_3194870901,DIAMOND,br1
BR1_3202112400,DIAMOND,br1
BR1_3201742302,DIAMOND,br1
BR1_3202937716,DIAMOND,br1
BR1_3202136873,DIAMOND,br1
BR1_3201907886,DIAMOND,br1
BR1_3199779546,DIAMOND,br1
BR1_3192594094,DIAMOND,br1
BR1_3202490791,DIAMOND,br1
BR1_3186991232,DIAMOND,br1
BR1_3201136121,DIAMOND,br1
BR1_3197467290,DIAMOND,br1
BR1_3198235837,DIAMOND,br1
BR1_3194000486,DIAMOND,br1
BR1_3193853521,DIAMOND,br1
BR1_3202479922,DIAMOND,br1
BR1_3196381940,DIAMOND,br1
BR1_3201974345,DIAMOND,br1
BR1_3202344576,DIAMOND,br1
BR1_3203584137,DIAMOND,br1
BR1_3202309721,DIAMOND,br1
BR1_3202225900,DIAMOND,br1
BR1_3203758973,DIAMOND,br1
BR1_3193550917,DIAMOND,br1
BR1_3152235742,DIAMOND,br1
BR1_3198383556,DIAMOND,br1
BR1_3203496257,DIAMOND,br1
BR1_3201099330,DIAMOND,br1
BR1_3201699760,DIAMOND,br1
BR1_3198617378,DIAMOND,br1
BR1_3202160608,DIAMOND,br1
BR1_3201174999,DIAMOND,br1
BR1_3197584898,DIAMOND,br1
BR1_3197327029,DIAMOND,br1
BR1_3196590064,DIAMOND,br1
BR1_3200353987,DIAMOND,br1
BR1_3198440158,DIAMOND,br1
BR1_3202028037,DIAMOND,br1
BR1_3202479400,DIAMOND,br1
BR1_3201656156,DIAMOND,br1
BR1_3198361846,DIAMOND,br1
BR1_3203037398,DIAMOND,br1
BR1_3192440547,DIAMOND,br1
BR1_3203230793,DIAMOND,br1
BR1_3201117324,DIAMOND,br1
BR1_3199928466,DIAMOND,br1
BR1_3196441074,DIAMOND,br1
BR1_3199124404,DIAMOND,br1
BR1_3202213614,DIAMOND,br1
BR1_3201245149,DIAMOND,br1
BR1_3202632376,DIAMOND,br1
BR1_3200434419,DIAMOND,br1
BR1_3198170433,DIAMOND,br1
BR1_3203234653,DIAMOND,br1
BR1_3194904559,DIAMOND,br1
BR1_3199985472,DIAMOND,br1
BR1_3195410804,DIAMOND,br1
BR1_3201355642,DIAMOND,br1
BR1_3196245255,DIAMOND,br1
BR1_3194846666,DIAMOND,br1
BR1_3201930474,DIAMOND,br1
BR1_3196669532,DIAMOND,br1
BR1_3202444814,DIAMOND,br1
BR1_3202047986,DIAMOND,br1
BR1_3201563464,DIAMOND,br1
BR1_3199221585,DIAMOND,br1
BR1_3198289977,DIAMOND,br1
BR1_3202977287,DIAMOND,br1
BR1_3199879397,DIAMOND,br1
BR1_3202186982,DIAMOND,br1
BR1_3201801807,DIAMOND,br1
BR1_3203305579,DIAMOND,br1
BR1_3194854475,DIAMOND,br1
BR1_3199488178,DIAMOND,br1
BR1_3196858303,DIAMOND,br1
BR1_3198275179,DIAMOND,br1
BR1_3202610641,DIAMOND,br1
BR1_3198667115,DIAMOND,br1
BR1_3189122850,DIAMOND,br1
BR1_3203398180,DIAMOND,br1
BR1_3200221640,DIAMOND,br1
BR1_3193981269,DIAMOND,br1
BR1_3199314892,DIAMOND,br1
BR1_3194721154,DIAMOND,br1
BR1_3196721563,DIAMOND,br1
BR1_3201135860,DIAMOND,br1
BR1_3197576039,DIAMOND,br1
BR1_3198699816,DIAMOND,br1
BR1_3191840630,DIAMOND,br1
BR1_3201715793,DIAMOND,br1
BR1_3203355446,DIAMOND,br1
BR1_3194314778,DIAMOND,br1
BR1_3191735069,DIAMOND,br1
BR1_3203179876,DIAMOND,br1
BR1_3200590764,DIAMOND,br1
BR1_3201848426,DIAMOND,br1
BR1_3196789311,DIAMOND,br1
BR1_3202837943,DIAMOND,br1
BR1_3203146856,DIAMOND,br1
BR1_3196892836,DIAMOND,br1
BR1_3203394355,DIAMOND,br1
BR1_3196942648,DIAMOND,br1
BR1_3201284116,DIAMOND,br1
BR1_3202967060,DIAMOND,br1
BR1_3192468647,DIAMOND,br1
BR1_3202980309,DIAMOND,br1
BR1_3196401845,DIAMOND,br1
BR1_3201656447,DIAMOND,br1
BR1_3195499903,DIAMOND,br1
BR1_3203580148,DIAMOND,br1
BR1_3203200725,DIAMOND,br1
BR1_3197226680,DIAMOND,br1
BR1_3201956680,DIAMOND,br1
BR1_3191231317,DIAMOND,br1
BR1_3203442958,DIAMOND,br1
BR1_3199941532,DIAMOND,br1
BR1_3203482547,DIAMOND,br1
BR1_3203174169,DIAMOND,br1
BR1_3193504573,DIAMOND,br1
BR1_3191238137,DIAMOND,br1
BR1_3202239280,DIAMOND,br1
BR1_3196223274,DIAMOND,br1
BR1_3199705067,DIAMOND,br1
BR1_3201766366,DIAMOND,br1
BR1_3198520741,DIAMOND,br1
BR1_3203367461,DIAMOND,br1
BR1_3201598126,DIAMOND,br1
BR1_3203282343,DIAMOND,br1
BR1_3198405748,DIAMOND,br1
BR1_3196911610,DIAMOND,br1
BR1_3196517123,DIAMOND,br1
BR1_3201097444,DIAMOND,br1
BR1_3198722277,DIAMOND,br1
BR1_3203652864,DIAMOND,br1
BR1_3202377923,DIAMOND,br1
BR1_3199857098,DIAMOND,br1
BR1_3201773134,DIAMOND,br1
BR1_3203386552,DIAMOND,br1
BR1_3191695737,DIAMOND,br1
BR1_3197541102,DIAMOND,br1
BR1_3202050053,DIAMOND,br1
BR1_3194964342,DIAMOND,br1
BR1_3202815421,DIAMOND,br1
BR1_3203219804,DIAMOND,br1
BR1_3203359830,DIAMOND,br1
BR1_3202867679,DIAMOND,br1
BR1_3201119911,DIAMOND,br1
BR1_3202836929,DIAMOND,br1
BR1_3194335785,DIAMOND,br1
BR1_3200194865,DIAMOND,br1
BR1_3202468249,DIAMOND,br1
BR1_3200718202,DIAMOND,br1
BR1_3199138286,DIAMOND,br1
BR1_3202509080,DIAMOND,br1
BR1_3201468480,DIAMOND,br1
BR1_3198230146,DIAMOND,br1
BR1_3199664577,DIAMOND,br1
BR1_3201948149,DIAMOND,br1
BR1_3202458611,DIAMOND,br1
BR1_3201998687,DIAMOND,br1
BR1_3197759461,DIAMOND,br1
BR1_3196508817,DIAMOND,br1
BR1_3194370435,DIAMOND,br1
BR1_3196933431,DIAMOND,br1
BR1_3200575640,DIAMOND,br1
BR1_3192088281,DIAMOND,br1
BR1_3200363936,DIAMOND,br1
BR1_3191128789,DIAMOND,br1
BR1_3190075097,DIAMOND,br1
BR1_3194691853,DIAMOND,br1
BR1_3197489807,DIAMOND,br1
BR1_3202208112,DIAMOND,br1
BR1_3196931240,DIAMOND,br1
BR1_3200566068,DIAMOND,br1
BR1_3202854548,DIAMOND,br1
BR1_3201626767,DIAMOND,br1
BR1_3199830392,DIAMOND,br1
BR1_3203019682,DIAMOND,br1
BR1_3203673218,DIAMOND,br1
BR1_3201360165,DIAMOND,br1
BR1_3202946138,DIAMOND,br1
BR1_3198298842,DIAMOND,br1
BR1_3199664882,DIAMOND,br1
BR1_3203426358,DIAMOND,br1
BR1_3198274870,DIAMOND,br1
BR1_3203497917,DIAMOND,br1
BR1_3203110179,DIAMOND,br1
BR1_3197677563,DIAMOND,br1
BR1_3203758643,DIAMOND,br1
BR1_3193641732,DIAMOND,br1
BR1_3203387276,DIAMOND,br1
BR1_3193545598,DIAMOND,br1
BR1_3203239431,DIAMOND,br1
BR1_3203002096,DIAMOND,br1
BR1_3199843589,DIAMOND,br1
BR1_3191234400,DIAMOND,br1
BR1_3197637169,DIAMOND,br1
BR1_3200751359,DIAMOND,br1
BR1_3202453597,DIAMOND,br1
BR1_3202439731,DIAMOND,br1
BR1_3203208505,DIAMOND,br1
BR1_3202689089,DIAMOND,br1
BR1_3203129509,DIAMOND,br1
BR1_3198018682,DIAMOND,br1
BR1_3203337335,DIAMOND,br1
BR1_3199337243,DIAMOND,br1
BR1_3199351905,DIAMOND,br1
BR1_3193322270,DIAMOND,br1
BR1_3202462933,DIAMOND,br1
BR1_3203073056,DIAMOND,br1
BR1_3191169089,DIAMOND,br1
BR1_3202948135,DIAMOND,br1
BR1_3197913944,DIAMOND,br1
BR1_3197307611,DIAMOND,br1
BR1_3199854564,DIAMOND,br1
BR1_3202482515,DIAMOND,br1
BR1_3201997129,DIAMOND,br1
BR1_3203742583,DIAMOND,br1
BR1_3202071743,DIAMOND,br1
BR1_3202610270,DIAMOND,br1
BR1_3201566877,DIAMOND,br1
BR1_3200861644,DIAMOND,br1
BR1_3203346902,DIAMOND,br1
BR1_3202766151,DIAMOND,br1
BR1_3199829670,DIAMOND,br1
BR1_3203358803,DIAMOND,br1
BR1_3200107238,DIAMOND,br1
BR1_3199296138,DIAMOND,br1
BR1_3201225417,DIAMOND,br1
BR1_3203429456,DIAMOND,br1
BR1_3194951229,DIAMOND,br1
BR1_3196156254,DIAMOND,br1
BR1_3200257556,DIAMOND,br1
BR1_3203723269,DIAMOND,br1
BR1_3198736531,DIAMOND,br1
BR1_3200870478,DIAMOND,br1
BR1_3194435718,DIAMOND,br1
BR1_3203421850,DIAMOND,br1
BR1_3192481256,DIAMOND,br1
BR1_3192572888,DIAMOND,br1
BR1_3200109606,DIAMOND,br1
BR1_3194488385,DIAMOND,br1
BR1_3194075070,DIAMOND,br1
BR1_3203661046,DIAMOND,br1
BR1_3200180377,DIAMOND,br1
BR1_3197095854,DIAMOND,br1
BR1_3196015168,DIAMOND,br1
BR1_3202845256,DIAMOND,br1
BR1_3203263499,DIAMOND,br1
BR1_3202811085,DIAMOND,br1
BR1_3197280585,DIAMOND,br1
BR1_3200334512,DIAMOND,br1
BR1_3203676908,DIAMOND,br1
BR1_3193147315,DIAMOND,br1
