matchId,tier,platform
BR1_3202242958,EMERALD,br1
BR1_3200634679,EMERALD,br1
BR1_3202755404,EMERALD,br1
BR1_3199594981,EMERALD,br1
BR1_3189755352,EMERALD,br1
BR1_3203410345,EMERALD,br1
BR1_3193390472,EMERALD,br1
BR1_3203681788,EMERALD,br1
BR1_3203319152,EMERALD,br1
BR1_3198102691,EMERALD,br1
BR1_3201263619,EMERALD,br1
BR1_3203409721,EMERALD,br1
BR1_3201148359,EMERALD,br1
BR1_3200428232,EMERALD,br1
BR1_3201908594,EMERALD,br1
BR1_3185031730,EMERALD,br1
BR1_3202606022,EMERALD,br1
BR1_3203417588,EMERALD,br1
BR1_3200538310,EMERALD,br1
BR1_3194357007,EMERALD,br1
BR1_3203010352,EMERALD,br1
BR1_3199055256,EMERALD,br1
BR1_3201728670,EMERALD,br1
BR1_3197041450,EMERALD,br1
BR1_3203308601,EMERALD,br1
BR1_3202616170,EMERALD,br1
BR1_3200837836,EMERALD,br1
BR1_3200002804,EMERALD,br1
BR1_3169453854,EMERALD,br1
BR1_3189605139,EMERALD,br1
BR1_3203678767,EMERALD,br1
BR1_3181025560,EMERALD,br1
BR1_3202869625,EMERALD,br1
BR1_3201204056,EMERALD,br1
BR1_3203367125,EMERALD,br1
BR1_3192632056,EMERALD,br1
BR1_3203611749,EMERALD,br1
BR1_3190522454,EMERALD,br1
BR1_3202325150,EMERALD,br1
BR1_3203333225,EMERALD,br1
BR1_3195390838,EMERALD,br1
BR1_3202553756,EMERALD,br1
BR1_3203083516,EMERALD,br1
BR1_3202786578,EMERALD,br1
BR1_3203356578,EMERALD,br1
BR1_3202468313,EMERALD,br1
BR1_3202892114,EMERALD,br1
BR1_3199973818,EMERALD,br1
BR1_3203399548,EMERALD,br1
BR1_3203379059,EMERALD,br1
BR1_3161235034,EMERALD,br1
BR1_3199870167,EMERALD,br1
BR1_3197587531,EMERALD,br1
BR1_3178062758,EMERALD,br1
BR1_3193912409,EMERALD,br1
BR1_3201487424,EMERALD,br1
BR1_3199160782,EMERALD,br1
BR1_3203446407,EMERALD,br1
BR1_3203676776,EMERALD,br1
BR1_3197395663,EMERALD,br1
BR1_3195127720,EMERALD,br1
BR1_3203079808,EMERALD,br1
BR1_3203657415,EMERALD,br1
BR1_3201567008,EMERALD,br1
BR1_3199834328,EMERALD,br1
BR1_3203645651,EMERALD,br1
BR1_3196555872,EMERALD,br1
BR1_3196087940,EMERALD,br1
BR1_3202886125,EMERALD,br1
BR1_3195660486,EMERALD,br1
BR1_3202099994,EMERALD,br1
BR1_3202664091,EMERALD,br1
BR1_3202947309,EMERALD,br1
BR1_3193372447,EMERALD,br1
BR1_3202476746,EMERALD,br1
BR1_3202259486,EMERALD,br1
BR1_3203569827,EMERALD,br1
BR1_3199556349,EMERALD,br1
BR1_3201595616,EMERALD,br1
BR1_3199490956,EMERALD,br1
BR1_3202948540,EMERALD,br1
BR1_3195998718,EMERALD,br1
BR1_3203746373,EMERALD,br1
BR1_3203271140,EMERALD,br1
BR1_3202973966,EMERALD,br1
BR1_3200794570,EMERALD,br1
BR1_3172730937,EMERALD,br1
BR1_3194978707,EMERALD,br1
BR1_3200264152,EMERALD,br1
BR1_3193665967,EMERALD,br1
BR1_3191607451,EMERALD,br1
BR1_3199427260,EMERALD,br1
BR1_3202456782,EMERALD,br1
BR1_3203079027,EMERALD,br1
BR1_3192385694,EMERALD,br1
BR1_3203742899,EMERALD,br1
BR1_3200068409,EMERALD,br1
BR1_3195833932,EMERALD,br1
BR1_3203153651,EMERALD,br1
BR1_3199458988,EMERALD,br1
BR1_3202817965,EMERALD,br1
BR1_3203477989,EMERALD,br1
BR1_3189476053,EMERALD,br1
BR1_3194061333,EMERALD,br1
BR1_3200240377,EMERALD,br1
BR1_3202118263,EMERALD,br1
BR1_3197923559,EMERALD,br1
BR1_3193749215,EMERALD,br1
BR1_3188273017,EMERALD,br1
BR1_3200726789,EMERALD,br1
BR1_3201997206,EMERALD,br1
BR1_3203318915,EMERALD,br1
BR1_3203131128,EMERALD,br1
BR1_3199492641,EMERALD,br1
BR1_3202558670,EMERALD,br1
BR1_3199192889,EMERALD,br1
BR1_3202774273,EMERALD,br1
BR1_3199211214,EMERALD,br1
BR1_3194046760,EMERALD,br1
BR1_3202290999,EMERALD,br1
BR1_3199779105,EMERALD,br1
BR1_3202397380,EMERALD,br1
BR1_3202340607,EMERALD,br1
BR1_3199856628,EMERALD,br1
BR1_3201155217,EMERALD,br1
BR1_3203452170,EMERALD,br1
BR1_3193699683,EMERALD,br1
BR1_3202120796,EMERALD,br1
BR1_3200787007,EMERALD,br1
BR1_3203336576,EMERALD,br1
BR1_3202942354,EMERALD,br1
BR1_3202489600,EMERALD,br1
BR1_3188878300,EMERALD,br1
BR1_3200448903,EMERALD,br1
BR1_3200039254,EMERALD,br1
BR1_3192380955,EMERALD,br1
BR1_3203013540,EMERALD,br1
BR1_3203215032,EMERALD,br1
BR1_3189201691,EMERALD,br1
BR1_3199375890,EMERALD,br1
BR1_3200397273,EMERALD,br1
BR1_3193116179,EMERALD,br1
BR1_3203428578,EMERALD,br1
BR1_3202760400,EMERALD,br1
BR1_3202119318,EMERALD,br1
BR1_3203602755,EMERALD,br1
BR1_3202357094,EMERALD,br1
BR1_3202746446,EMERALD,br1
BR1_3202239247,EMERALD,br1
BR1_3202604008,EMERALD,br1
BR1_3197895965,EMERALD,br1
BR1_3201181934,EMERALD,br1
BR1_3193636456,EMERALD,br1
BR1_3198847118,EMERALD,br1
BR1_3188998276,EMERALD,br1
BR1_3202936710,EMERALD,br1
BR1_3203394163,EMERALD,br1
BR1_3192817718,EMERALD,br1
BR1_3079947641,EMERALD,br1
BR1_3199108704,EMERALD,br1
BR1_3201278514,EMERALD,br1
BR1_3202421970,EMERALD,br1
BR1_3200566851,EMERALD,br1
BR1_3184208934,EMERALD,br1
BR1_3203143724,EMERALD,br1
BR1_3202544055,EMERALD,br1
BR1_3202526835,EMERALD,br1
BR1_3203432507,EMERALD,br1
BR1_3200967393,EMERALD,br1
BR1_3188706566,EMERALD,br1
BR1_3202961115,EMERALD,br1
BR1_3196355234,EMERALD,br1
BR1_3201362866,EMERALD,br1
BR1_3202215248,EMERALD,br1
BR1_3189179542,EMERALD,br1
BR1_3202587273,EMERALD,br1
BR1_3201224519,EMERALD,br1
BR1_3201420254,EMERALD,br1
BR1_3200467684,EMERALD,br1
BR1_3200109548,EMERALD,br1
BR1_3200669608,EMERALD,br1
BR1_3202859960,EMERALD,br1
BR1_3201479024,EMERALD,br1
BR1_3201090947,EMERALD,br1
BR1_3201632310,EMERALD,br1
BR1_3199636051,EMERALD,br1
BR1_3203256237,EMERALD,br1
BR1_3200521952,EMERALD,br1
BR1_3202264669,EMERALD,br1
BR1_3191909754,EMERALD,br1
BR1_3200759029,EMERALD,br1
BR1_3203218125,EMERALD,br1
BR1_3193388086,EMERALD,br1
BR1_3200830803,EMERALD,br1
BR1_3190600917,EMERALD,br1
BR1_3194660377,EMERALD,br1
BR1_3202497381,EMERALD,br1
BR1_3201681538,EMERALD,br1
BR1_3202702441,EMERALD,br1
BR1_3197459439,EMERALD,br1
BR1_3203678529,EMERALD,br1
BR1_3202506960,EMERALD,br1
BR1_3201421666,EMERALD,br1
BR1_3199352284,EMERALD,br1
BR1_3199402669,EMERALD,br1
BR1_3200793832,EMERALD,br1
BR1_3080055015,EMERALD,br1
BR1_3203565296,EMERALD,br1
BR1_3202140013,EMERALD,br1
BR1_3203741341,EMERALD,br1
BR1_3197557959,EMERALD,br1
BR1_3202836087,EMERALD,br1
BR1_3203746203,EMERALD,br1
BR1_3200090179,EMERALD,br1
BR1_3197157260,EMERALD,br1
BR1_3202205878,EMERALD,br1
BR1_3196626087,EMERALD,br1
BR1_3200051427,EMERALD,br1
BR1_3203144917,EMERALD,br1
BR1_3203162472,EMERALD,br1
BR1_3192019063,EMERALD,br1
BR1_3202290401,EMERALD,br1
BR1_3203589328,EMERALD,br1
BR1_3201155696,EMERALD,br1
BR1_3203516738,EMERALD,br1
BR1_3203361573,EMERALD,br1
BR1_3200441062,EMERALD,br1
BR1_3198981329,EMERALD,br1
BR1_3170310734,EMERALD,br1
BR1_3203253212,EMERALD,br1
BR1_3202562760,EMERALD,br1
BR1_3203323340,EMERALD,br1
BR1_3192988409,EMERALD,br1
BR1_3199028044,EMERALD,br1
BR1_3200368103,EMERALD,br1
BR1_3201394079,EMERALD,br1
BR1_3203091021,EMERALD,br1
BR1_3201066595,EMERALD,br1
BR1_3203266097,EMERALD,br1
