matchId,tier,platform
BR1_3201636027,GOLD,br1
BR1_3200129760,GOLD,br1
BR1_3202741594,GOLD,br1
BR1_3203397886,GOLD,br1
BR1_3202231487,GOLD,br1
BR1_3199880639,GOLD,br1
BR1_3194274761,GOLD,br1
BR1_3202719344,GOLD,br1
BR1_3194526783,GOLD,br1
BR1_3202866310,GOLD,br1
BR1_3201132018,GOLD,br1
BR1_3203399847,GOLD,br1
BR1_3202604521,GOLD,br1
BR1_3120947697,GOLD,br1
BR1_3196432279,GOLD,br1
BR1_3201643041,GOLD,br1
BR1_3188314679,GOLD,br1
BR1_3202642300,GOLD,br1
BR1_3199775464,GOLD,br1
BR1_3202937496,GOLD,br1
BR1_3203111546,GOLD,br1
BR1_3170935651,GOLD,br1
BR1_3202003107,GOLD,br1
BR1_3201912960,GOLD,br1
BR1_3197073236,GOLD,br1
BR1_3196837755,GOLD,br1
BR1_3202459443,GOLD,br1
BR1_3190329316,GOLD,br1
BR1_3203150642,GOLD,br1
BR1_3202380315,GOLD,br1
BR1_3185171335,GOLD,br1
BR1_3196178595,GOLD,br1
BR1_3199064832,GOLD,br1
BR1_3203505759,GOLD,br1
BR1_3198982370,GOLD,br1
BR1_3203547047,GOLD,br1
BR1_3203077053,GOLD,br1
BR1_3189467602,GOLD,br1
BR1_3200994949,GOLD,br1
BR1_3180274853,GOLD,br1
BR1_3199349350,GOLD,br1
BR1_3201292000,GOLD,br1
BR1_3202239229,GOLD,br1
BR1_3203048144,GOLD,br1
BR1_3201503671,GOLD,br1
BR1_3190176628,GOLD,br1
BR1_3196199140,GOLD,br1
BR1_3200471084,GOLD,br1
BR1_3202865252,GOLD,br1
BR1_3202913736,GOLD,br1
BR1_3202513971,GOLD,br1
BR1_3201253999,GOLD,br1
BR1_3191533013,GOLD,br1
BR1_3198626940,GOLD,br1
BR1_3203020435,GOLD,br1
BR1_3191412357,GOLD,br1
BR1_3179584469,GOLD,br1
BR1_3202641699,GOLD,br1
BR1_3194285037,GOLD,br1
BR1_3193190683,GOLD,br1
BR1_3195923414,GOLD,br1
BR1_3130958236,GOLD,br1
BR1_3198167121,GOLD,br1
BR1_3199143594,GOLD,br1
BR1_3203468113,GOLD,br1
BR1_3201845265,GOLD,br1
BR1_3200888442,GOLD,br1
BR1_3198479714,GOLD,br1
