tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
CHALLENGER,LrYEE7O4hLlkHYBvVCboOBNIvTpuTSGCyz1SoPscUbB6uKzKXQApcZnUT2Vc97_iaVR-u6IDQMLTBw,1136,92,51,False,False,False,False
CHALLENGER,T5gUKtjcgPQkRfNDwT5yvZlmuEDg4pRT7mvTCkK95R3xr2io-5iUapD-MusnMZK3okUwz2cjpVdW3Q,1595,128,86,False,False,False,False
GRANDMASTER,NINbtgX1URI9cJGSI1iTUH8ygZDsuJHnMS3nBK0m7x0bFwf0sS0rN80mvW1XG8UQ2yN8ZxtPWBD9Rw,714,141,117,False,False,True,False
GRANDMASTER,VeDDYFXnZllqpaIq_5vOwUGkpq-LA3Z4FVn7efP0pAdu6YAcWSLWH_FiNaK0KJG9u_FGIy__KCAvLw,907,91,74,False,False,True,False
GRANDMASTER,661BonmhU2TNwrHuyOnFfOBzBQpEbdQ-7mbZ3297F44ztvO380DuyWSLTRmDb4M1tbsihDs2HXRepA,710,149,147,False,False,True,False
GRANDMASTER,3cclkBLjQx2vtucPBZ3Xm95CiHjXXpCHi2qNavzWOXnoPZTOvnLe0AF1FPCsEEbV-sUX15TDWKEeUA,836,92,70,True,False,False,False
GRANDMASTER,3UYfe5wy77OvJ7jBEE-rYHdrYXZ7MCGiphRRTj3WZvSnzjgw4KziIuTl25GjbJA_THURJMYMorC9bw,878,107,89,True,False,False,False
MASTER,6KEmRhQ3mkyf3aGW3Kh1GpmNAwkYylMPD9T2kECrSM3OdMlP87EYyXa0fSrdZcRNRG-gP2iveBRhXg,0,81,86,False,False,False,False
MASTER,q-GKCzn7MY75bMoBnDyuxATPRsP6NApUizCW4yMClWYKenIRHDu6QHDIAu3WSG6KPndzQzEN7oWdxg,58,92,76,False,False,False,False
MASTER,v6f2odLEna2vO_gpg-r00wallSCOCB8pvVrSArB5urNLN6GyzjC1FDIICD1b8g2T-zbYBZb-3gSy1Q,3,50,57,False,False,True,False
MASTER,qK62JDuZR3xVaBGZSKDnGsE1B6cUnCBQCl1Cz9_-Ck59k35LNWoB2qvd4yPMqVZwuUAVi_BlEgNDPg,181,34,24,False,False,False,False
MASTER,7PNEvL0oDCzhg1fYe90zF6vJBul92v8bsFEUkA88odxBVpXAQ42ThWhrxH6A7KJx3_X3m8NMpNs1Vw,3,33,29,True,False,True,False
MASTER,etiYU_Y80G_8VUoopcHSyXRvU4am9wuAV3d9xzdW9kW-mFI5Cuk7s3o4IFJcJgrzW61YvSMO1C9FWA,37,27,23,False,False,False,False
MASTER,NOOL84oO0R2AdIAtTfGKJAONplWME3wKRttYeiKM9FXKBHZnVQsc2v_TCykKzh04YDiMw2bTG5kIyg,131,107,99,False,False,False,False
MASTER,Zxmn0h6iCKVCGA8MYv76fTG01bJ3NncN--R9g89O0zRqptrX5M2WFGcmCmPOomtks4hiKr9MYrMWAg,600,143,127,False,False,True,False
