matchId,tier,platform
BR1_3200482508,IRON,br1
BR1_3197745417,IRON,br1
BR1_3160854043,IRON,br1
BR1_3203368838,IRON,br1
BR1_3196868770,IRON,br1
BR1_3192139745,IRON,br1
BR1_3144061847,IRON,br1
BR1_3201296556,IRON,br1
BR1_3200523231,IRON,br1
BR1_3202171092,IRON,br1
BR1_3202997616,IRON,br1
BR1_3063875733,IRON,br1
BR1_3198865693,IRON,br1
BR1_3197735500,IRON,br1
BR1_3201587339,IRON,br1
BR1_2974651001,IRON,br1
BR1_3196496148,IRON,br1
BR1_3198536818,IRON,br1
BR1_3200119013,IRON,br1
BR1_3201264199,IRON,br1
BR1_3198680928,IRON,br1
BR1_3199838546,IRON,br1
BR1_3162030350,IRON,br1
BR1_3144183490,IRON,br1
BR1_3203504592,IRON,br1
BR1_3196142057,IRON,br1
BR1_3189892739,IRON,br1
BR1_3203458262,IRON,br1
BR1_3175855734,IRON,br1
BR1_3199538051,IRON,br1
BR1_3194529454,IRON,br1
BR1_3201019839,IRON,br1
BR1_3187608771,IRON,br1
BR1_3202179997,IRON,br1
BR1_3198462268,IRON,br1
BR1_3196128200,IRON,br1
BR1_3200829775,IRON,br1
BR1_3202419948,IRON,br1
BR1_3199555575,IRON,br1
BR1_3179888168,IRON,br1
BR1_3192880020,IRON,br1
BR1_3200502835,IRON,br1
BR1_3072779091,IRON,br1
BR1_3203195607,IRON,br1
BR1_3192335993,IRON,br1
BR1_3181658426,IRON,br1
BR1_3203577714,IRON,br1
BR1_3194798791,IRON,br1
BR1_3198702110,IRON,br1
BR1_3197426116,IRON,br1
BR1_3200251064,IRON,br1
BR1_3200359866,IRON,br1
BR1_3203362114,IRON,br1
BR1_3197726690,IRON,br1
BR1_3097004248,IRON,br1
BR1_3202910226,IRON,br1
BR1_3203393296,IRON,br1
BR1_3193922245,IRON,br1
BR1_3194870966,IRON,br1
BR1_3201627002,IRON,br1
BR1_3190609483,IRON,br1
BR1_3192824995,IRON,br1
BR1_3141863573,IRON,br1
BR1_3199321234,IRON,br1
BR1_3201463981,IRON,br1
BR1_3197933959,IRON,br1
BR1_3203403546,IRON,br1
BR1_3198526686,IRON,br1
BR1_3186428578,IRON,br1
BR1_3202680953,IRON,br1
BR1_3201494170,IRON,br1
BR1_3202152083,IRON,br1
BR1_3199242358,IRON,br1
BR1_3201831204,IRON,br1
BR1_3203507720,IRON,br1
BR1_3196343297,IRON,br1
BR1_3059971489,IRON,br1
BR1_3201277362,IRON,br1
BR1_3192104581,IRON,br1
BR1_3072765517,IRON,br1
BR1_3200866252,IRON,br1
BR1_3194507833,IRON,br1
BR1_3191144687,IRON,br1
BR1_3195695126,IRON,br1
BR1_3201502659,IRON,br1
BR1_3195909174,IRON,br1
BR1_3192883902,IRON,br1
BR1_3199818978,IRON,br1
BR1_3201351484,IRON,br1
BR1_3195439816,IRON,br1
BR1_3203757729,IRON,br1
BR1_3186405399,IRON,br1
BR1_3196045829,IRON,br1
BR1_3190642912,IRON,br1
BR1_3187721053,IRON,br1
BR1_3195890525,IRON,br1
BR1_3200186789,IRON,br1
BR1_3199193072,IRON,br1
BR1_3198127399,IRON,br1
BR1_3193969257,IRON,br1
BR1_3198112150,IRON,br1
BR1_3195954738,IRON,br1
BR1_3192848941,IRON,br1
BR1_3203412954,IRON,br1
BR1_3177620924,IRON,br1
