tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,III,DmRcqARzlgV5P8jbRgvFA9gX4I3izH07uWdxYdKvjIWec_3PrV4GSDCuXBrIVwSmcqnKWbtvbJPyhg,02637ae1-6ce2-4254-aebd-6de67aa57e71,69,45,50,False,False,False,False
BRONZE,II,KIyM5xBFZ1BcB9P2kMobTtbhSQSGE_QcPy-biA-m0NZxZR-m_gdSKqJhRvETUgPaIZVbtl9_cyB5ew,d476e576-8c45-4bba-ba66-d5cfd0b808f3,87,13,7,True,False,False,False
BRONZE,I,WnI1r16BAlP2VwiLUAqpUdeZJm4tvnMz0Mrnyt5fMwickMWxKUOz8T2X4nMZEC11X8YPg0aF2-WARQ,a68f00bc-d2ea-4784-87cc-3fdf5a6a36b4,60,1,4,False,False,False,False
BRONZE,II,vAMiWvkUXC82ZzrC-IeKFyExuY4fDeF8T6WhqJ-cXSWOspsYkMheWx4mgzNxG15_pQtX0DitKWo-Yg,0b9b9e09-816f-47a5-926f-aefe4fc97c50,8,9,12,False,False,False,False
BRONZE,II,pDjD1cfBH4z8_APaTysxEqK3iv8Rz5HWvpMqeW0z4hCK9qh1I1LEI0YixOz-BCZt9rq3K07AhLmU2w,62b650a0-f645-44aa-8c6a-67a78b2e4e2f,71,26,24,False,False,False,False
BRONZE,I,edLE87eIB01zxRESftTifUHmbFexdjwUWtKZ4Ftf-Eqxo2Xpoy8KeWsalJADTl9AM6SpDFOPQP0RIg,c1dc0556-3bb3-4274-93f0-56e51ef57d3e,41,33,26,False,False,False,False
BRONZE,III,PuyuKdDyzavchgxutuHdZDwtF57u6XSb0qsuoiHY9Znul5xAjgY5UOHcxRqchtA0J9--VNGr5tL_gg,38a8c588-cf9e-4fd4-bb9b-fb84aa78cb4d,14,7,14,False,False,False,False
BRONZE,IV,jyDvEkzmuSAKhIXIekMSKuWts7hFPGB1A_Uy46VZvpfCVNU-0mYGI4nPNzoevH9SS4-emG7-PPc9xQ,98e7473f-4866-48d8-a522-492fd367ec31,55,4,4,False,False,False,False
BRONZE,III,vy4WqGLqyqoZcTv8oW6IikdWwaEKIsNVSns6UoafFiWmvBnSgeeyjf-XnlNJZtC93ULhQ_FQyNjqUw,08d6a7bc-6df6-41fc-8a8f-54a040a5ae0a,60,10,10,False,False,False,False
BRONZE,IV,KayJMLDqOq_mkdmYeBEvbbLaaGJMU62HECOwFVcHQsxIdFJqvFQrEWyWmFRFwkOw6pQev4oLysv5Fw,972745e8-07ce-46f4-aa00-5154282d4b6e,0,2,5,False,False,False,False
BRONZE,I,InYFK8afqpH83Asn6W-ckxQVyo073402REYDcfrmPy2UdYOkOxdnqrLGRXWbyV5MeWc1JCeyMhXEeg,caf83dbe-64bd-42aa-9015-b76536341e90,85,5,5,False,False,False,False
BRONZE,IV,rZFZb0rgzluWHn1Gp3Yigta7YMHv6yYZzsDFAVaTJxZFstD2T34HX2galQWjJj-im_MriCONh5GROw,22e7bc4e-3c8d-4801-b603-74705da5c118,17,44,51,False,False,False,False
BRONZE,IV,8oHL80XKHF8yF05CeI5YKnK91YO-YvKG26cqUxx8Lq8L_vmXGeSVcsd-MqqjSGkPSvbjF6p1GcAd8Q,825cd5a3-d7aa-47d2-9e20-343fc52611a4,0,5,14,False,False,False,False
BRONZE,I,PlGrF1KVUaZsXTOxQEZ8De7ICclAbbSSzcI2nBXueD6BB8IocWmX27fIphhb0qPb62xhlgRRkzKd7g,4b8fc820-4e2c-4cf0-9be5-732b91f93860,70,4,3,False,False,False,False
BRONZE,I,oTbg3WJilqppuiz4DuXyWsMzcfSacHa89vShCotggrKPZfyezvuC-XgpoqhLJ3HaTDJhrK_EerhBsg,a166f940-7bbc-423f-888e-39114ac4c28f,28,13,14,False,False,False,False
BRONZE,II,sciMuU38JoA_cTLlbSCRhOmQsOD2Ciu5ZsLL1Xs37o0rI8Dx6_G2GyeYG0RRTNu5u-Y1n3jwSOQR6A,5659df7c-289a-49eb-a101-aa810380cb0a,97,14,9,False,False,False,False
BRONZE,IV,6RVY4C9y7PCDy-ZXNn-y1Lo2QYL7nNtld8EsA3oFgGdt4KoJpHGCvSjDIxkskDG40Fj6zWibJGuFBA,26764708-9ab2-4f52-966c-3e27cb62187f,5,2,4,False,False,False,False
BRONZE,II,6TccZb3f4VdNghHwcE6koZ5eWEHjXEf6ixqPx6Qr8GcooWG_s6P2q_4U3UBzkNR2HB9V5Q2A2adSEA,8c023c80-419e-4f7e-b42e-c60287ffe7ce,12,4,3,False,False,True,False
BRONZE,II,Rp92qg0q2Q6rRIUHFQJV_doq2FiPNg5zejCoHw_-EzRVIAaVMIX90PHhaUZtNBEffGhGZfRzhC6YHQ,42592a57-b340-438e-9dba-140060ba8507,57,7,4,False,False,False,False
BRONZE,I,D7KFAEBuWG2wdS9Y8a2jxZ9lUAMfqixh4tjkdrbA85JbbHJGocuralHJ4pUdGxgwuVv2PyyO4xnJpQ,1bc3a004-25da-4032-b81a-b530f983730c,55,3,2,False,False,False,False
BRONZE,II,NTHFy4nosNiJdYaPkD1YPfpADDpmE3OLUfr5c5RdWmQoElMFTQf-zPsd0PbkZIhSWOSkCLGUSqG4Eg,1c2599b2-69b5-4b1d-b914-9a523b08654b,80,2,5,False,False,False,False
BRONZE,I,T-VT-I7JN0LKk2KA8IZuMBGoNNJEIdEkDRC4gANM5-h8r5segUp_Cn4ns3-QRyHIGeOWyF3l47wCug,6bd527b1-96fb-46ae-ab2c-dd2670315f6f,55,2,7,False,False,False,False
BRONZE,IV,WH81-BhvU9-Bgev6KTcPApTtMtYBr01--0EB5iNV1PK3nvLAbBCm5SqEVduHPnDB0Y2hXdA2KJlXEQ,4060d3c7-eb3c-4f62-b3ba-2cfc7ab5b671,27,19,28,False,False,False,False
BRONZE,IV,KekLpxLZtgd6K6TZsFCwI8E8O4gGNqNiXtqijWxEJKyoyoOfO6-MdvqgIBwP_T9gQmlUUlDnJ3-lFQ,7d4b3432-eabb-4d2d-8cf2-45a4ba95acb1,0,98,114,False,False,False,False
BRONZE,IV,XcjwBnH60QxA8Quoc19ndiOAYP7OwtVEJtqYFN9elYdTgeYxmVhf5-K-eB1tPXmRCVZfb_XZ1CuKsQ,71fbc0b2-0636-4683-9dde-cbf1e1aef9b2,80,2,5,False,False,False,False
BRONZE,III,IzNBZqYNRyPZDEoueIO4gdhyhM0h8laPU1AIKJ-7MurtOoIFkqDtGWfxmWBc6pFsxhJhi7zrJnyTkQ,2906851a-2ce5-4711-95e7-5fe3fe70bf39,95,2,4,False,False,False,False
BRONZE,III,wbTNfG6V9qL20-FXCPiryH-AROx-viZzhkuYWprRSd9qBXP-zbkpiJIyuafULRWSMPKrje4YxHT-4A,ab7581f8-9d73-45cb-b35b-3d1a5e422114,35,3,3,False,False,False,False
BRONZE,I,6xT-6rQo6DNgX0q5O7NslqQc0CAj1Kp_Wsxc0tV2gqbMUTEnlWJ1jNp1e3d-jJy1q46bFdpq5M1cxg,fbf3fd66-9cf3-433d-8307-0730b80c874b,15,5,2,True,False,False,False
BRONZE,IV,LbPr3M1ksQIp74qRZpq23hjEoiLLAJoklDd3VOPK2JblbQWmmFydJJndrDCK3vwEQswWduczMAltrQ,3708b4dc-3c66-4230-9fd9-65627cb7ddb0,22,37,42,False,False,False,False
