matchId,tier,platform
BR1_3201718395,PLATINUM,br1
BR1_3203650039,PLATINUM,br1
BR1_3203393511,PLATINUM,br1
BR1_3202995355,PLATINUM,br1
BR1_3199409624,PLATINUM,br1
BR1_3199893017,PLATINUM,br1
BR1_3182592291,PLATINUM,br1
BR1_3196428598,PLATINUM,br1
BR1_3189554718,PLATINUM,br1
BR1_3200385455,PLATINUM,br1
BR1_3201592862,PLATINUM,br1
BR1_3201870740,PLATINUM,br1
BR1_3203124430,PLATINUM,br1
BR1_3193819723,PLATINUM,br1
BR1_3158480020,PLATINUM,br1
BR1_3203386423,PLATINUM,br1
BR1_3200404985,PLATINUM,br1
BR1_3194129887,PLATINUM,br1
BR1_3201844191,PLATINUM,br1
BR1_3202878784,PLATINUM,br1
BR1_3191977945,PLATINUM,br1
BR1_3202736031,PLATINUM,br1
BR1_3201365073,PLATINUM,br1
BR1_3200689723,PLATINUM,br1
BR1_3203049668,PLATINUM,br1
BR1_3203495687,PLATINUM,br1
BR1_3200199472,PLATINUM,br1
BR1_3202058463,PLATINUM,br1
BR1_3202492073,PLATINUM,br1
BR1_3197579811,PLATINUM,br1
BR1_3199485552,PLATINUM,br1
BR1_3201449419,PLATINUM,br1
BR1_3201774468,PLATINUM,br1
BR1_3203724398,PLATINUM,br1
BR1_3203054961,PLATINUM,br1
BR1_3202643578,PLATINUM,br1
BR1_3202471338,PLATINUM,br1
BR1_3201813737,PLATINUM,br1
BR1_3198954960,PLATINUM,br1
BR1_3201371618,PLATINUM,br1
BR1_3198088994,PLATINUM,br1
BR1_3202969716,PLATINUM,br1
BR1_3200889874,PLATINUM,br1
BR1_3200574806,PLATINUM,br1
BR1_3202119935,PLATINUM,br1
BR1_3203031246,PLATINUM,br1
BR1_3200952998,PLATINUM,br1
BR1_3197889446,PLATINUM,br1
BR1_3193163826,PLATINUM,br1
BR1_3203497702,PLATINUM,br1
BR1_3203352729,PLATINUM,br1
BR1_3198101504,PLATINUM,br1
BR1_3202942324,PLATINUM,br1
BR1_3195845176,PLATINUM,br1
BR1_3199297995,PLATINUM,br1
BR1_3203078487,PLATINUM,br1
BR1_3203437760,PLATINUM,br1
BR1_3199357573,PLATINUM,br1
BR1_3203367970,PLATINUM,br1
BR1_3203684602,PLATINUM,br1
BR1_3203478983,PLATINUM,br1
BR1_3202163004,PLATINUM,br1
BR1_3202545260,PLATINUM,br1
BR1_3201631215,PLATINUM,br1
BR1_3201895061,PLATINUM,br1
BR1_3199840110,PLATINUM,br1
BR1_3196253505,PLATINUM,br1
BR1_3193537586,PLATINUM,br1
BR1_3199576244,PLATINUM,br1
BR1_3194289853,PLATINUM,br1
BR1_3200876069,PLATINUM,br1
BR1_3201626579,PLATINUM,br1
BR1_3198441571,PLATINUM,br1
BR1_3201003315,PLATINUM,br1
BR1_3199454306,PLATINUM,br1
BR1_3202954930,PLATINUM,br1
BR1_3200996304,PLATINUM,br1
BR1_3196681082,PLATINUM,br1
BR1_3198648732,PLATINUM,br1
BR1_3198279001,PLATINUM,br1
BR1_3201305196,PLATINUM,br1
BR1_3191378814,PLATINUM,br1
BR1_3200730841,PLATINUM,br1
BR1_3200665463,PLATINUM,br1
BR1_3203130692,PLATINUM,br1
BR1_3203481029,PLATINUM,br1
BR1_3202971495,PLATINUM,br1
BR1_3191380337,PLATINUM,br1
BR1_3200134721,PLATINUM,br1
BR1_3203424429,PLATINUM,br1
BR1_3200932558,PLATINUM,br1
BR1_3201810766,PLATINUM,br1
BR1_3197515445,PLATINUM,br1
BR1_3198126250,PLATINUM,br1
BR1_3202655399,PLATINUM,br1
BR1_3203544543,PLATINUM,br1
BR1_3190625680,PLATINUM,br1
BR1_3191946285,PLATINUM,br1
BR1_3203761486,PLATINUM,br1
BR1_3202797011,PLATINUM,br1
BR1_3191553587,PLATINUM,br1
BR1_3200828435,PLATINUM,br1
BR1_3197162507,PLATINUM,br1
BR1_3193611228,PLATINUM,br1
