matchId,tier,platform
BR1_3189879656,SILVER,br1
BR1_3201133111,SILVER,br1
BR1_2992975734,SILVER,br1
BR1_3186409629,SILVER,br1
BR1_3198413450,SILVER,br1
BR1_3202575960,SILVER,br1
BR1_3196197300,SILVER,br1
BR1_3198435169,SILVER,br1
BR1_3201729566,SILVER,br1
BR1_3197633273,SILVER,br1
BR1_3201631880,SILVER,br1
BR1_3194700266,SILVER,br1
BR1_3201346414,SILVER,br1
BR1_3201345281,SILVER,br1
BR1_3203532402,SILVER,br1
BR1_3203503007,SILVER,br1
BR1_3202115448,SILVER,br1
BR1_3194653723,SILVER,br1
BR1_3203743567,SILVER,br1
BR1_3200183087,SILVER,br1
BR1_3190291006,SILVER,br1
BR1_3203290356,SILVER,br1
BR1_3202956748,SILVER,br1
BR1_3201535908,SILVER,br1
BR1_3198526906,SILVER,br1
BR1_3172061101,SILVER,br1
BR1_3199840110,SILVER,br1
BR1_3202465949,SILVER,br1
BR1_3201069297,SILVER,br1
BR1_3199513522,SILVER,br1
BR1_3141491560,SILVER,br1
BR1_3190086095,SILVER,br1
BR1_3202984725,SILVER,br1
BR1_3200248822,SILVER,br1
BR1_3199252658,SILVER,br1
BR1_3201869727,SILVER,br1
BR1_3199265212,SILVER,br1
BR1_3199700688,SILVER,br1
BR1_3202819674,SILVER,br1
BR1_3200886006,SILVER,br1
BR1_3200922030,SILVER,br1
BR1_3194186208,SILVER,br1
BR1_3188979459,SILVER,br1
BR1_3203541933,SILVER,br1
BR1_3187556375,SILVER,br1
BR1_3201292606,SILVER,br1
BR1_3193426409,SILVER,br1
BR1_3201267981,SILVER,br1
BR1_3199638785,SILVER,br1
BR1_3192695793,SILVER,br1
BR1_3203533454,SILVER,br1
BR1_3192260223,SILVER,br1
BR1_3203294846,SILVER,br1
BR1_3203315364,SILVER,br1
BR1_3198155275,SILVER,br1
BR1_3199244507,SILVER,br1
BR1_3202794887,SILVER,br1
BR1_3201958027,SILVER,br1
BR1_3197145168,SILVER,br1
BR1_3203427155,SILVER,br1
BR1_3200562060,SILVER,br1
BR1_3202982334,SILVER,br1
BR1_3202152055,SILVER,br1
BR1_3201457457,SILVER,br1
BR1_3200466840,SILVER,br1
BR1_3203510931,SILVER,br1
BR1_3202702212,SILVER,br1
BR1_3202840948,SILVER,br1
BR1_3202893850,SILVER,br1
BR1_3197286416,SILVER,br1
BR1_3203278676,SILVER,br1
BR1_3201732874,SILVER,br1
BR1_3195195035,SILVER,br1
BR1_3192414679,SILVER,br1
BR1_3196537173,SILVER,br1
BR1_3203394889,SILVER,br1
BR1_3200093088,SILVER,br1
BR1_3198723437,SILVER,br1
BR1_3202080007,SILVER,br1
BR1_3201668786,SILVER,br1
BR1_3198365740,SILVER,br1
BR1_3196298678,SILVER,br1
BR1_3199543643,SILVER,br1
BR1_3193950724,SILVER,br1
BR1_3199425195,SILVER,br1
BR1_3201709837,SILVER,br1
BR1_3191012195,SILVER,br1
BR1_3196215351,SILVER,br1
BR1_3194187764,SILVER,br1
BR1_3199940770,SILVER,br1
BR1_3199989780,SILVER,br1
BR1_3198981910,SILVER,br1
BR1_3196702744,SILVER,br1
BR1_3201050685,SILVER,br1
BR1_3197473187,SILVER,br1
BR1_3201528059,SILVER,br1
BR1_3203356131,SILVER,br1
BR1_3196645506,SILVER,br1
BR1_3202983670,SILVER,br1
BR1_3203598311,SILVER,br1
BR1_3200354077,SILVER,br1
BR1_3199931708,SILVER,br1
BR1_3140438033,SILVER,br1
BR1_3195924860,SILVER,br1
BR1_3203363237,SILVER,br1
BR1_3203656653,SILVER,br1
BR1_3201373831,SILVER,br1
BR1_3162423380,SILVER,br1
BR1_3202860306,SILVER,br1
BR1_3203134383,SILVER,br1
BR1_3201836606,SILVER,br1
BR1_3197308997,SILVER,br1
BR1_3203724492,SILVER,br1
BR1_3195295997,SILVER,br1
BR1_3197937963,SILVER,br1
BR1_3199282826,SILVER,br1
BR1_3202680871,SILVER,br1
BR1_3193594607,SILVER,br1
BR1_3197185570,SILVER,br1
BR1_3200220099,SILVER,br1
BR1_3198306608,SILVER,br1
BR1_3187893643,SILVER,br1
BR1_3203029874,SILVER,br1
BR1_3199350925,SILVER,br1
BR1_3187299394,SILVER,br1
BR1_3200806053,SILVER,br1
BR1_3203729913,SILVER,br1
BR1_3199871131,SILVER,br1
BR1_3203723797,SILVER,br1
BR1_3190933813,SILVER,br1
BR1_3201585811,SILVER,br1
BR1_3195801483,SILVER,br1
BR1_3195002083,SILVER,br1
BR1_3170524981,SILVER,br1
BR1_3203758192,SILVER,br1
BR1_3199109435,SILVER,br1
BR1_3203277973,SILVER,br1
BR1_3199774182,SILVER,br1
BR1_3183603099,SILVER,br1
BR1_3174751368,SILVER,br1
BR1_3196248878,SILVER,br1
BR1_3195045127,SILVER,br1
BR1_3174234505,SILVER,br1
BR1_3202451549,SILVER,br1
BR1_3203487145,SILVER,br1
BR1_3175451876,SILVER,br1
BR1_3201500835,SILVER,br1
BR1_3201531396,SILVER,br1
BR1_3194796211,SILVER,br1
BR1_3200880720,SILVER,br1
BR1_3194725736,SILVER,br1
BR1_3200027579,SILVER,br1
BR1_3192600589,SILVER,br1
BR1_3202939643,SILVER,br1
BR1_2944567419,SILVER,br1
BR1_3196053192,SILVER,br1
BR1_3189762375,SILVER,br1
BR1_3190854701,SILVER,br1
BR1_3202055516,SILVER,br1
BR1_3197331832,SILVER,br1
BR1_3025423736,SILVER,br1
BR1_3202921003,SILVER,br1
BR1_3203746958,SILVER,br1
BR1_3192265508,SILVER,br1
BR1_3199000200,SILVER,br1
BR1_3199633571,SILVER,br1
BR1_3196366300,SILVER,br1
BR1_3190069518,SILVER,br1
BR1_3198366192,SILVER,br1
BR1_3198906689,SILVER,br1
BR1_3201162122,SILVER,br1
BR1_3200165630,SILVER,br1
BR1_3193134112,SILVER,br1
BR1_3202783634,SILVER,br1
BR1_3195396375,SILVER,br1
BR1_3202582776,SILVER,br1
BR1_3203346100,SILVER,br1
BR1_3202349494,SILVER,br1
BR1_3198163058,SILVER,br1
BR1_3202988043,SILVER,br1
BR1_3202115598,SILVER,br1
BR1_3188159492,SILVER,br1
BR1_3202598307,SILVER,br1
BR1_3201346102,SILVER,br1
BR1_3156957428,SILVER,br1
BR1_3202961453,SILVER,br1
BR1_3203187956,SILVER,br1
BR1_3192364969,SILVER,br1
BR1_3201947506,SILVER,br1
BR1_3194778387,SILVER,br1
BR1_3172510460,SILVER,br1
BR1_3195906709,SILVER,br1
BR1_3178487379,SILVER,br1
BR1_3202667699,SILVER,br1
BR1_3201900575,SILVER,br1
BR1_3197491115,SILVER,br1
BR1_3202823772,SILVER,br1
BR1_3197915326,SILVER,br1
BR1_3190945900,SILVER,br1
BR1_3202851569,SILVER,br1
BR1_3194244474,SILVER,br1
BR1_3198938947,SILVER,br1
BR1_3203685685,SILVER,br1
BR1_3200590193,SILVER,br1
BR1_3203556341,SILVER,br1
BR1_3203308049,SILVER,br1
BR1_3201705236,SILVER,br1
BR1_3188455266,SILVER,br1
BR1_3200099739,SILVER,br1
BR1_3198017443,SILVER,br1
BR1_3201543294,SILVER,br1
BR1_3203581233,SILVER,br1
BR1_3203593292,SILVER,br1
BR1_3199306610,SILVER,br1
BR1_3201470488,SILVER,br1
BR1_3191854190,SILVER,br1
BR1_3184177873,SILVER,br1
BR1_3203522378,SILVER,br1
BR1_3200401608,SILVER,br1
BR1_3201526278,SILVER,br1
BR1_3197980915,SILVER,br1
BR1_3201815523,SILVER,br1
BR1_3187121232,SILVER,br1
BR1_3192874585,SILVER,br1
BR1_3203621291,SILVER,br1
BR1_3202543871,SILVER,br1
BR1_3197178808,SILVER,br1
BR1_3198384013,SILVER,br1
BR1_3192175575,SILVER,br1
BR1_3195298100,SILVER,br1
BR1_3198148607,SILVER,br1
BR1_3195479337,SILVER,br1
BR1_3202147216,SILVER,br1
BR1_3196753792,SILVER,br1
BR1_3199275328,SILVER,br1
BR1_3196666073,SILVER,br1
BR1_3201376068,SILVER,br1
BR1_3202403427,SILVER,br1
BR1_3203709480,SILVER,br1
BR1_3202285673,SILVER,br1
BR1_3196191177,SILVER,br1
BR1_3203266976,SILVER,br1
BR1_3202014524,SILVER,br1
BR1_3201496450,SILVER,br1
BR1_3203330372,SILVER,br1
BR1_3198021801,SILVER,br1
BR1_3198691573,SILVER,br1
BR1_3201334648,SILVER,br1
BR1_3202740658,SILVER,br1
BR1_3194403147,SILVER,br1
BR1_3200969730,SILVER,br1
BR1_3202173050,SILVER,br1
BR1_3190653481,SILVER,br1
BR1_3203593378,SILVER,br1
BR1_3197891396,SILVER,br1
BR1_3088066584,SILVER,br1
BR1_3198505481,SILVER,br1
BR1_3203107070,SILVER,br1
BR1_3203690378,SILVER,br1
BR1_3199615269,SILVER,br1
BR1_3197932974,SILVER,br1
BR1_3199894649,SILVER,br1
BR1_3193506929,SILVER,br1
BR1_3178399775,SILVER,br1
BR1_3197392822,SILVER,br1
BR1_3194562792,SILVER,br1
BR1_3188177929,SILVER,br1
BR1_3201085446,SILVER,br1
BR1_3198500903,SILVER,br1
BR1_3196996062,SILVER,br1
BR1_3183924253,SILVER,br1
BR1_3194416439,SILVER,br1
BR1_3193363711,SILVER,br1
BR1_3201555857,SILVER,br1
BR1_3115720884,SILVER,br1
BR1_3202212393,SILVER,br1
BR1_3188152357,SILVER,br1
BR1_3202422472,SILVER,br1
BR1_3197163353,SILVER,br1
BR1_3196595161,SILVER,br1
BR1_3130901169,SILVER,br1
BR1_3203005307,SILVER,br1
BR1_3203420614,SILVER,br1
BR1_3200739804,SILVER,br1
BR1_3199700104,SILVER,br1
BR1_3199603486,SILVER,br1
BR1_3200981558,SILVER,br1
BR1_3200601418,SILVER,br1
BR1_3191072586,SILVER,br1
BR1_3200137341,SILVER,br1
BR1_3194479760,SILVER,br1
BR1_3061886867,SILVER,br1
BR1_3195624384,SILVER,br1
BR1_3191509945,SILVER,br1
BR1_3200646558,SILVER,br1
BR1_3201970491,SILVER,br1
BR1_3037282278,SILVER,br1
BR1_3202231715,SILVER,br1
BR1_3148374810,SILVER,br1
BR1_3202478383,SILVER,br1
BR1_3202477654,SILVER,br1
BR1_3200084134,SILVER,br1
BR1_3203704440,SILVER,br1
BR1_3200045797,SILVER,br1
BR1_3108314844,SILVER,br1
BR1_3197618536,SILVER,br1
BR1_3194669868,SILVER,br1
BR1_3197533231,SILVER,br1
BR1_3200787364,SILVER,br1
BR1_3189815191,SILVER,br1
BR1_3189752864,SILVER,br1
BR1_3202492111,SILVER,br1
BR1_3195101091,SILVER,br1
BR1_3203260585,SILVER,br1
BR1_3191178243,SILVER,br1
BR1_3200213641,SILVER,br1
BR1_3203301046,SILVER,br1
BR1_3202117852,SILVER,br1
BR1_3187693203,SILVER,br1
BR1_3201500624,SILVER,br1
BR1_3201487417,SILVER,br1
BR1_3170027107,SILVER,br1
BR1_3191545639,SILVER,br1
BR1_3200997377,SILVER,br1
BR1_3195793590,SILVER,br1
BR1_3202783611,SILVER,br1
BR1_3200100293,SILVER,br1
BR1_3201504287,SILVER,br1
BR1_3193811424,SILVER,br1
BR1_3194531482,SILVER,br1
BR1_3202665818,SILVER,br1
BR1_3201551489,SILVER,br1
BR1_3200638633,SILVER,br1
BR1_3200089683,SILVER,br1
BR1_3199968758,SILVER,br1
BR1_3200710051,SILVER,br1
BR1_3203457960,SILVER,br1
BR1_3196981033,SILVER,br1
BR1_3202488487,SILVER,br1
BR1_3123599476,SILVER,br1
BR1_3203726660,SILVER,br1
BR1_3202734123,SILVER,br1
BR1_3203279916,SILVER,br1
BR1_3195839065,SILVER,br1
BR1_3201558491,SILVER,br1
BR1_3201968802,SILVER,br1
BR1_3202041857,SILVER,br1
BR1_3131029515,SILVER,br1
BR1_3193477809,SILVER,br1
BR1_3190612986,SILVER,br1
BR1_3201434243,SILVER,br1
BR1_3203723568,SILVER,br1
BR1_3199638969,SILVER,br1
BR1_3193091693,SILVER,br1
BR1_3191601570,SILVER,br1
BR1_3196805912,SILVER,br1
BR1_3200625850,SILVER,br1
BR1_3191141408,SILVER,br1
BR1_3192972144,SILVER,br1
BR1_3203207029,SILVER,br1
BR1_3203028704,SILVER,br1
BR1_3203270993,SILVER,br1
BR1_3202573586,SILVER,br1
BR1_3202380176,SILVER,br1
BR1_3200981429,SILVER,br1
BR1_3175843511,SILVER,br1
BR1_3193305273,SILVER,br1
BR1_3201442391,SILVER,br1
BR1_3200753285,SILVER,br1
BR1_3195435679,SILVER,br1
BR1_3202930348,SILVER,br1
BR1_3192504023,SILVER,br1
BR1_3201107009,SILVER,br1
BR1_3199099527,SILVER,br1
BR1_3198699963,SILVER,br1
BR1_3065763417,SILVER,br1
BR1_3196886638,SILVER,br1
BR1_3202172948,SILVER,br1
BR1_3088630162,SILVER,br1
BR1_3201769703,SILVER,br1
BR1_3198181682,SILVER,br1
BR1_3189745517,SILVER,br1
BR1_3203633326,SILVER,br1
BR1_3199511260,SILVER,br1
BR1_3190525008,SILVER,br1
BR1_3181792244,SILVER,br1
BR1_3196823744,SILVER,br1
BR1_3198348709,SILVER,br1
BR1_3198490787,SILVER,br1
BR1_3196038764,SILVER,br1
BR1_3201652158,SILVER,br1
BR1_3197940287,SILVER,br1
BR1_3197540420,SILVER,br1
BR1_3202379680,SILVER,br1
BR1_3201032599,SILVER,br1
BR1_3203505869,SILVER,br1
BR1_3138569220,SILVER,br1
BR1_3193050931,SILVER,br1
BR1_3195218609,SILVER,br1
BR1_3199558411,SILVER,br1
BR1_3202725118,SILVER,br1
BR1_3202219924,SILVER,br1
BR1_3187328048,SILVER,br1
BR1_3198389069,SILVER,br1
BR1_3198706990,SILVER,br1
BR1_3203015610,SILVER,br1
BR1_3203458675,SILVER,br1
BR1_3202922919,SILVER,br1
BR1_3196999424,SILVER,br1
BR1_3196374989,SILVER,br1
BR1_3194075855,SILVER,br1
BR1_3198864385,SILVER,br1
BR1_3192170466,SILVER,br1
BR1_3196376757,SILVER,br1
BR1_3193600947,SILVER,br1
BR1_3202245894,SILVER,br1
BR1_3201217098,SILVER,br1
BR1_3190833009,SILVER,br1
BR1_3187465103,SILVER,br1
BR1_3202383522,SILVER,br1
BR1_3179865071,SILVER,br1
BR1_3198081175,SILVER,br1
BR1_3202430010,SILVER,br1
BR1_3201386910,SILVER,br1
BR1_3187523077,SILVER,br1
BR1_3197715981,SILVER,br1
BR1_3195146447,SILVER,br1
BR1_3200097529,SILVER,br1
BR1_3201003034,SILVER,br1
BR1_3192603366,SILVER,br1
BR1_3198699414,SILVER,br1
BR1_3180118710,SILVER,br1
BR1_3201712740,SILVER,br1
BR1_3200616291,SILVER,br1
BR1_3199094191,SILVER,br1
BR1_3201820211,SILVER,br1
BR1_3200115506,SILVER,br1
BR1_3200192191,SILVER,br1
BR1_3200702579,SILVER,br1
BR1_3201439077,SILVER,br1
BR1_2949077912,SILVER,br1
BR1_3182111097,SILVER,br1
BR1_3194162336,SILVER,br1
BR1_3199501740,SILVER,br1
BR1_3189139704,SILVER,br1
BR1_3197010241,SILVER,br1
BR1_3190525335,SILVER,br1
BR1_3203522054,SILVER,br1
BR1_3202911721,SILVER,br1
BR1_3202850827,SILVER,br1
BR1_3193522245,SILVER,br1
BR1_3201088585,SILVER,br1
BR1_3202882761,SILVER,br1
BR1_3202572450,SILVER,br1
BR1_3172556505,SILVER,br1
BR1_3192167758,SILVER,br1
BR1_3172413887,SILVER,br1
BR1_3196520021,SILVER,br1
BR1_3191018518,SILVER,br1
BR1_3203352875,SILVER,br1
BR1_3202672533,SILVER,br1
BR1_3202938248,SILVER,br1
BR1_3194735352,SILVER,br1
BR1_3202755425,SILVER,br1
BR1_3203002740,SILVER,br1
BR1_3186815430,SILVER,br1
BR1_3198793078,SILVER,br1
BR1_3201377306,SILVER,br1
BR1_3195107500,SILVER,br1
BR1_3194625370,SILVER,br1
BR1_3193551905,SILVER,br1
BR1_3190219453,SILVER,br1
BR1_3198678755,SILVER,br1
BR1_3197428904,SILVER,br1
BR1_3200241043,SILVER,br1
BR1_3203288567,SILVER,br1
BR1_3202646881,SILVER,br1
BR1_3191617659,SILVER,br1
BR1_3198067383,SILVER,br1
BR1_3199843562,SILVER,br1
BR1_3193732895,SILVER,br1
BR1_3199496798,SILVER,br1
BR1_3197889707,SILVER,br1
BR1_3193688182,SILVER,br1
BR1_3201901434,SILVER,br1
BR1_3197558250,SILVER,br1
BR1_3192519768,SILVER,br1
BR1_3162726196,SILVER,br1
BR1_3202129126,SILVER,br1
BR1_3189725082,SILVER,br1
BR1_3201301433,SILVER,br1
BR1_3200714368,SILVER,br1
BR1_3189104458,SILVER,br1
BR1_3190182618,SILVER,br1
BR1_3193874638,SILVER,br1
BR1_3200093952,SILVER,br1
BR1_3151921369,SILVER,br1
BR1_3202972971,SILVER,br1
BR1_3199778254,SILVER,br1
BR1_3201675803,SILVER,br1
BR1_3191117707,SILVER,br1
BR1_3203538712,SILVER,br1
BR1_3200516178,SILVER,br1
BR1_3194900367,SILVER,br1
BR1_3198702650,SILVER,br1
BR1_3188809386,SILVER,br1
BR1_3199896125,SILVER,br1
BR1_3201750401,SILVER,br1
BR1_3203577152,SILVER,br1
BR1_3201569232,SILVER,br1
BR1_3199100751,SILVER,br1
BR1_3203550837,SILVER,br1
BR1_3189883798,SILVER,br1
BR1_3200133839,SILVER,br1
BR1_3200661792,SILVER,br1
BR1_3203175473,SILVER,br1
BR1_3201965255,SILVER,br1
BR1_3194978778,SILVER,br1
BR1_3203376643,SILVER,br1
BR1_3196462930,SILVER,br1
BR1_3202198107,SILVER,br1
BR1_3195709653,SILVER,br1
BR1_3171073577,SILVER,br1
BR1_3198758304,SILVER,br1
BR1_3202682540,SILVER,br1
BR1_3198623440,SILVER,br1
BR1_3199489895,SILVER,br1
BR1_3203114540,SILVER,br1
BR1_3202960989,SILVER,br1
BR1_3203555094,SILVER,br1
BR1_3132412804,SILVER,br1
BR1_3203407713,SILVER,br1
BR1_3202378957,SILVER,br1
BR1_3200978713,SILVER,br1
BR1_3203100542,SILVER,br1
BR1_3202426142,SILVER,br1
BR1_3202558591,SILVER,br1
BR1_3196548082,SILVER,br1
BR1_3199801481,SILVER,br1
BR1_3187966156,SILVER,br1
BR1_3178220122,SILVER,br1
BR1_3189310465,SILVER,br1
BR1_3200112736,SILVER,br1
BR1_3199769744,SILVER,br1
BR1_3201059731,SILVER,br1
BR1_3203143755,SILVER,br1
BR1_3202307449,SILVER,br1
BR1_3202702838,SILVER,br1
BR1_3196689711,SILVER,br1
BR1_3185018298,SILVER,br1
BR1_3200384960,SILVER,br1
BR1_3203390298,SILVER,br1
BR1_3203637448,SILVER,br1
BR1_3200132299,SILVER,br1
BR1_3196878540,SILVER,br1
BR1_3203718834,SILVER,br1
BR1_3199653195,SILVER,br1
BR1_3191763532,SILVER,br1
BR1_3192530517,SILVER,br1
BR1_3188964891,SILVER,br1
BR1_3182921095,SILVER,br1
BR1_3203141212,SILVER,br1
BR1_3197950597,SILVER,br1
BR1_3200049178,SILVER,br1
BR1_3202996749,SILVER,br1
BR1_3198774290,SILVER,br1
BR1_3203714742,SILVER,br1
BR1_3201206207,SILVER,br1
BR1_3190999967,SILVER,br1
BR1_3193476886,SILVER,br1
BR1_3194311674,SILVER,br1
BR1_3200284210,SILVER,br1
BR1_3194840535,SILVER,br1
BR1_3195709371,SILVER,br1
BR1_3197689026,SILVER,br1
BR1_3203646883,SILVER,br1
BR1_3195658467,SILVER,br1
BR1_3202460340,SILVER,br1
BR1_3201507231,SILVER,br1
BR1_3194920613,SILVER,br1
BR1_3198024345,SILVER,br1
BR1_3187515490,SILVER,br1
BR1_3192792772,SILVER,br1
BR1_3193559016,SILVER,br1
BR1_3191120778,SILVER,br1
BR1_3202335000,SILVER,br1
BR1_3201227565,SILVER,br1
BR1_3195921744,SILVER,br1
BR1_3202398084,SILVER,br1
BR1_3198238670,SILVER,br1
BR1_3200169836,SILVER,br1
BR1_3197408788,SILVER,br1
BR1_3203455009,SILVER,br1
BR1_3201429723,SILVER,br1
BR1_3081948615,SILVER,br1
BR1_3202469871,SILVER,br1
BR1_3191921020,SILVER,br1
BR1_3194373216,SILVER,br1
BR1_3199215313,SILVER,br1
BR1_3202751395,SILVER,br1
BR1_3168653653,SILVER,br1
BR1_3202729304,SILVER,br1
BR1_3203094604,SILVER,br1
BR1_3197887765,SILVER,br1
BR1_3192380779,SILVER,br1
BR1_3189683278,SILVER,br1
BR1_3199459257,SILVER,br1
