tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,KdyDRn4ZPj1Trm5Uh_7YUFseCINJV5hEkOPzsfTBOgTrxgIETWP9iDa5pDmTFzI4n2Xo5B_WJm_nOw,351,86,60,False,False,False,False
MASTER,9hO26kP5DjlAkQ0n-fpq8bOGDFGzyIEoYIos_hcX8S1UW8b-LKfh3kKn6Olm1CvCvlcmfKdBEEYtbg,524,40,27,False,False,False,False
MASTER,UixBiH_QSN6kQuPtPMcn73kZ8vLaHZ3ggXr8DSKJNWPcwINobhWp-F8mhtLEdpyKyPYrWsTzQahqQQ,238,40,34,False,False,False,False
MASTER,wsPiy7A-g1lxSP6YEBxmCh57dXU6ir11OTMmQuPlbWjJhYHudN0UdTxWrSj5YO6VQG1eBddI-HR7mQ,5,23,16,False,False,True,False
MASTER,GUPe5d8iMagm_jyNzXQmpdcEx_UZ9K5gzD8MoyRpbt0F9gIIfKNiNIIj1n3CblVr6C9_PNBEweBX2Q,103,43,30,False,False,True,False
MASTER,Ud8DoCAcSFGZzVuVGrw2tCekdVbk0Uho8hnUCmupka2IdVntdt97vbmL5gfKPKOVqywn1eFiMoUWuw,44,100,84,False,False,True,False
MASTER,B8Co57JpQz-n6tUC61OgAn6zE-N3tinNGVVolWpPNGmxNQxEagzR-7890Orn2b2fHHmFCLwF42JGOw,427,60,57,False,False,False,False
MASTER,hhqHBBCj4yky5q-YgfjRJ8Gesi_XRiPfPFFXrsfzyzZW6daGeWUCT6WlOb0nZDKcj1H4BdhnUa1ywQ,405,48,36,False,False,False,False
MASTER,8nuKdEtt8J_sTu-WEe33V6NZ-_dfeKopBteKqUgjGl4FDNlxXqFuiDLe5b8peSkXKdaTWhhbvP0u3Q,245,39,34,False,False,False,False
MASTER,ZY6B4FhpF3wjXw7n2TlI9z1xuw6hB4xEzU5jtZBH4Rl8MuxMzEKMAt92R3zPwHTPBTE0UGmKqnQ7Vg,233,52,49,False,False,False,False
MASTER,5C68N_W4_aOwAFLWEY_4Z7X7gPydhsrchjFsZypSYtMt7vPBK6Awt7kJZJ5Wn5O78Dlm8WQAt1Rbhw,13,48,56,False,False,True,False
MASTER,JBZNgUsJYFVLc-pvwZWBpCXuHapP9kyiClHRpoqGHa0BXpHfZVdKxb39eD3ME8ULXhpwiwjv2Krb-g,74,34,21,False,False,False,False
