tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
CHALLENGER,fyxOSFB1ibtnNoFzuW5zAuHY27vR_cqoIaDgdzSNwddO36P1udPAAr8i8-Nc1lKxUkqcWzcXvz0FFw,1017,79,48,False,False,True,False
CHALLENGER,IJmheM9B2nm19HfoVjcchiPrw9tQSRg1kwytEe3qIYqKweGmAmIcKdOscXLegVRQ7tOgK_xr9r5trQ,1415,111,77,False,True,False,False
GRANDMASTER,WUyrVkW5agkcpEiBnV1SEqzd6UhjY-0vEPusnjYQFF0K9YuseSfpaE1MdThHWsmpW5gm7kNAYX_Sww,598,64,56,False,False,False,False
GRANDMASTER,T1L2M6hzq2ujKrZ3K_j1OR52D8XDyNDFQ54qOMMRSnycz5W4Hk1ZP41A2d7wE4Pu_L-poRHUP77uSw,797,60,38,False,False,True,False
GRANDMASTER,etW2RvPKmuJYUVLxjmgBCQ3o72aIejr8PtI_GvV3gh4jz4AHsyod43ZLS2sRF7tQmPHtXr9NPrZBWg,591,67,59,False,False,True,False
GRANDMASTER,spaXBHjUSPtJSH7jt8YiBZdpgGXnQCDkL8uMtwi40h6qMv7EMKcsAyoCeaggOWytTrpxTVgzyP_23Q,719,103,84,False,False,False,False
GRANDMASTER,U24X_4etpvd1J9DxK1NXfORsrQ9SJLGGJ7SdAiorHZr9OuhRFm0U6Z4m3ngxtKVN32nEQk9-5bdWPA,764,75,59,False,False,True,False
MASTER,-kyX9zgG-jD1foinke5kF6kK_rrAJKixqyro9uOCyDJiqa8yYQuU7QtE8eV9TzW4R1lPDsYp3bPP2A,0,34,30,False,False,True,False
MASTER,ZFxaxBFcrPilYmqKH_bWfs7oq60u4sarer4VVwELGYURdYz0PQ9tOepeqYi7-SozP5-vGGmrKQXQfw,0,26,24,False,False,True,False
MASTER,quoCeVN2XKf6NFeGSfRQxswNEZTZjzom44tHeUtOhACDdF_-q6UY0dfppaWdkkwKsNbsDu85fY6hKA,18,47,25,True,False,False,False
MASTER,NvbfLKjjRXe1azbh01h5M8LiULOpVhrVxKZDJ9CEtfXpSDvL9CNkCMPBc4f__rEjVuv7Ygv5CGFDLA,2,53,51,False,False,False,False
MASTER,gEztwvFo6szjW3jLPo8Au91KPTi2WnZSwNcYiDU7pk9OAQVVMWwsmXL1smLnw3MiOLfgAelxcxHuiQ,84,32,29,True,False,True,False
MASTER,oVCXnl1bB8s9UaJR9MD0fNVtkRJi7E5PqP0EKnmzdAiq4Cz-RX0OsREfwRAQzGC_TLsP_BHm8m-XAQ,88,50,47,False,False,True,False
MASTER,GhrAPKyikrRYv48l_m3tsw_3xCpP0aF-A9wl9J06oO_3bmkAhgKvWNbfB1nhvFQyeILK3sMyZCYQ0w,28,30,20,True,False,True,False
MASTER,XnCi06P4tNtspXRT65w4jDyh-98SxWNbMhyNFSwcrJFVJCLvFKow8_8Fktc4UJNGyy1g8lZLUWoKMQ,309,80,75,False,False,True,False
MASTER,BL5W3LjVj_p395WejargA6bX9HpyhgGYDkeTtmMzCdHos7S1f8fNYpfg_dtd7m9V8UIlsGyvfJcrkQ,58,69,64,False,False,False,False
MASTER,C0J0CfrCCgOI1HPnhal_D9BA2j4UKkEHZ2NOTD1sO44EaY4TMIegoQg0nH_yCGAj7V6zFZyt6U1l5w,396,56,43,False,False,False,False
MASTER,w9pfS77TIM8yLk_MyeHvAaIkgvAe2vqeXPSoEvWREBEV72rSPEyRbf0faOlQaTk5_jhY5xi0KF3GZg,19,46,30,True,False,True,False
MASTER,zk0udMqi3Q1Y4cZgRtwg5uhTKTiCk30hdLbFtELwYMnWxBzTyGOavy8NR3IPag1Aj4keLrzU8h8ybg,12,30,35,False,False,False,False
MASTER,woKLC4qkq9fsdHPzsNfIoE1P0V0_IKXNneNpC1lAjsW8eq6XE_owLcbOOnNXuaIfxWEIjwLASuqwMQ,240,72,57,False,False,False,False
MASTER,kkcHkBDxe11-zNDyGQdeegHgGH7CwJW3an8p63IXQ8oRQCWeRvAEhuBCgx5H7kvy4UbO7aUNxhuQ-A,395,137,127,False,True,False,False
MASTER,O_ItnZzdSxMc0I39_e2EpuXM-p5ZI6j8TuUzcjEVYi2T0XbpgQ3iHXJaUf1WXlWQY9ImI_eSdD-AVQ,0,42,46,False,False,False,False
MASTER,rQYmrQWs0qKy8azTz29pCKOC5Ck-sl0t6E1VDYMWBItw1K_OXcTiLudZq-Rm6RaFAQitEMTfpGnndg,191,44,40,False,False,True,False
MASTER,EZUR6zLmrPKDKvLWYIdHutnCV597zCCaZZLV3lrwWiha0cb82GopR7bOL2rNN6GtIBvuJsnJOQ1tOg,167,55,54,False,False,False,False
MASTER,0_hPAAk0datzy_276PGez6rqVJukYVHHJoXWb6bQKaLgINLXSBRQNEo6x31zny6w-6Bl_sXM51XSjQ,80,147,138,True,False,True,False
MASTER,8Rd0ejwZftNF9DkB4awegfsl2_nCNEVifO5SX6FBx4oMsvAKBhPgSlEoRTsYvFU0nzHtbBbQzG4BVQ,422,72,64,True,False,True,False
MASTER,huIHcKhLp6P4Zs27BdXEE71LNJbk5ndeANYRTmPcXNZcbczEFjoZg4Ikm6uNawHpI7UKAN1mcb2BwA,108,29,22,True,False,False,False
MASTER,e62SR9SOGWmzVp0t9PI0pbw-bYbsL23y2WCi5qpQ33nhY79H4DBw3zvXAcqnScOfvxhEOjkvBMCbtw,184,63,54,True,False,False,False
MASTER,xRwy4H8VTCqWadaVdZ8a4WYBUM7eHUT6fdur_ZwBTTnIjvsNA-5gISgO16iUzDcJivwl4qcsp6w6UA,443,54,29,False,False,False,False
