tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,II,t7NkKM31WJ8lfabsxzMiybawgfLnvggHRQ077kYb5Fu7bQeNNdK5U5Y6w5BFgR7LPl--lGJPV165lQ,cff8d221-dbb5-4b95-85e3-e5d7b2f8be84,27,18,13,False,False,False,False
BRONZE,IV,9F9pw2xv61sLj7wkM5SlgafKCQigwL4b7F--QSLOQ7x93KM3r2WGxR8aDEfuhzZhmL9FJGHjmfUR0A,b9c7a69f-3ac0-4479-b507-c09ef1043009,80,17,14,False,False,False,False
BRONZE,IV,qRtdqTOaD9vbAh1_KiicFSJr2ttmp8TvF6p49Z1AtAAFZ6HOmcmYWX8IAbM_NvmUwHqEZMeFnx6q8g,7d40be72-593b-44aa-8bf1-6f8ead224931,70,6,9,False,False,False,False
BRONZE,IV,5PhWoqULhzyy-72sTdmCLHl-q60t9rJK0Sd1-YOp6XNMCd-bkRZAodjDY94fHrrGJNmfyaFNcB5J6Q,5bd17506-5d71-4d0b-ba0b-62336ab4acde,49,4,4,False,False,False,False
BRONZE,III,0QP6bRLeTABCWHdlO97h1GAhRmU76neNu1JNJxSTaaZrp9gpoILGV9tGAorBpsfhEg6UUcwTBuNtLA,542f5d80-3126-4eff-9f6a-acfe90b5ddf7,30,8,5,False,False,False,False
BRONZE,II,0u1OhGDMlNhCXLYzDnwXTl0zzNBP065--06dd0FVt-uIEGCPY4dbP7mr6JdV43VkqbF-IYq9yMWJNQ,cf7596d3-0c23-4425-8746-3eafa9a68ff5,10,2,3,False,False,False,False
BRONZE,I,6vm7y2ldbz07jLb0iPfKhMkA4A0ddqVRdBkfBtevlQxFD5bOylCgTBIbkMNY1FYgXFjXhOBSJNkt1Q,08ce63d8-6341-4c8c-9549-255ed5242b5e,52,24,34,False,False,True,False
BRONZE,I,GBrrb7o_rwG--lmL7i4-1kcGLUvdBqk6CiO08hGcUl7bKMv7vVGrUWpPFwB6bRGL_v1TrXX3AyENvA,5a2df8db-9dae-4408-9c2c-cc1822c5bf0f,56,15,14,False,False,False,False
BRONZE,III,rEWAIB7MLu3mbTmj9qBhRfK3gCLmf-ISUY78PmWw2Lol9rCcxsDjS4EgE8FUrbTlQM690qAhvT8n_w,f15ab3d1-d33f-4111-8220-94c58183a92a,72,14,20,False,False,False,False
BRONZE,IV,Q0oVxeAyxgOw9mY_C6FKDl_crdRebMLULzKGZOHQu_AcDak8tLNUEgLR0tqOM8w9Xejr7AHeWNG0_A,87cb4773-46bd-4ea2-ad5d-209fbe506988,4,15,16,False,False,True,False
