tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,8Hmjd8OmcHd2E-i3kuS-h7_aNH0tYEQfxtGcD0e8hxrNRSmvnPmsFGFIw_x4TXBXoEDcpQwGsgqagQ,643,108,96,False,False,True,False
MASTER,8CSjQgnEDoiIELzxvWyIt46fxXEZGPbihlD3alCju1hvLL9MyAULGx5W-1yJQGWip463CO-4G__KwQ,623,61,42,False,False,True,False
MASTER,LLGiIhnU2wBN88vUBGdhffep7YYNZQBGEmMZXOjeXHz55I3GolVgxVKWQxQ-AeGEbk6jlPRwTMJKiA,616,79,69,True,False,True,False
MASTER,UjXy-8au_X6nnk1LaQrxTsRK6Y5Zbz2_vUH9EY7Aa6wdvOJWov6DPFAPaVDa5Itr31j6Q6VCTCbe_Q,616,55,35,True,False,False,False
MASTER,zV4HcStjdj6a9D3G2A6VJCvcFYrspo-EdIVZSFJSEKFQOMtRhbDE_T-JzL2IWB7oo4yF--akOD68bA,606,139,125,False,False,True,False
MASTER,hXPm0p8JJvEJ_6zlThhApMONKecBSFCHBmeNwwY7s8zhZwIRzdK7JVEyynCczNyZORols2L9KDumRg,597,60,43,False,False,True,False
MASTER,q1oQCIR1rPhlm7D5bGmtRyOyq9vK6yBpb9wTNhI2ufoRgijtM0W87WLB15ixP0Ktr_PkM1LqMFLilQ,582,154,152,False,False,True,False
MASTER,XP0EzZJ90q0lLwI8n7hW620kuVdszDf2GuMIV_HP9-UQvN7FUhQte2po-_1_jAAJ8AN4SRcUvBIz9A,582,74,73,False,False,False,False
MASTER,-mGNdFdSw3-c8ukn3bwzFfJwpFMiZBQ7GK4KmZ__0g278XWLdHTLWgY74i39K8IwMSuDktfQyfBD1w,576,133,125,False,False,True,False
MASTER,QTn2lDrvIB0J7fbsplykx4YxBOJVTQ2msrfqF95umgtfSEvm4wtLIZk4ztBZAYwauyS0YkGN3lrfnQ,576,59,51,False,False,True,False
MASTER,emrQxxfenWgA0XVqGlS7PsHpu-rXcnKp73VhXX7GIsllbsHNs5FoC6nf4Bd8qhK1_i98S9iuqXfWSg,574,101,101,False,False,True,False
MASTER,2syPlsKVpg_5zvir1d0oFxd3UXpDMgm9KeccBo5I8pcO6avWAh0Fr34gi5oELun3ET9LEOtoft0tVg,572,57,35,True,False,True,False
MASTER,61UQhjEEx3il6dcBhWwTdGT3bOfj30higcP4IsOIRCiG5p4kQIOBj5V8S2DgRpRAnJkXL5whHBNfpQ,568,77,71,False,False,False,False
MASTER,hWwggpWOZjsyxGCdY0aiuxlhsH6sBtMMKG_9y7u553GUCRjnNyMZwJ2ju_LabCR2zytXaWHHZEs1fw,567,66,55,False,False,False,False
MASTER,EOfHqAw0JEm3j8T9y6YIkwDHLQsHieWGGWQG_qF_5atNTBZOv1GK40fI1gCcmKDoqK9X88qlhisuzw,566,45,19,True,False,True,False
MASTER,KAoFwiMD48luqr2bU3JfOkgInplba5F5vwcOVBiMfq4Hc44wXw_JVx7Sh4G1xGLCiVTKdmqDGmZppQ,564,80,74,True,False,True,False
MASTER,M4v11P4YoGMmJqSbjxbRg8OLlR_8NNf3ziN5nH8E1fFshMa3ovWoNZlq-A58B-CYdHMcRgaYAWiESA,564,59,43,False,False,False,False
MASTER,5DW7_-yyFC4sIEg4MO9Q0JbRUfyD6P7ZM2IGYUHJObN0tDac1PMvhVuwfBYRYaqDEG82qmHfsJtuLw,562,49,33,True,False,False,False
MASTER,TkBDYZMFb8hzsajyfuuQ0g9ahBhbuTNd33nLrW1DVXyxHYMvzUd_DsGQiJ3NgjTgzNTfm6gJzS1C1g,561,97,87,False,False,True,False
MASTER,0xXKTPjcCzTAKucwGGR-mpM_CG1oHjtb8haJ-CDbFdmLcZguxbr-jH_ci0ywLEmdIwecu_HUj27_GA,561,49,28,True,False,True,False
MASTER,TRlY0zBu2XfetYcBPIzVrDl9XXL3Y678ETLsjJd5JvtkeM3iuQnh5iHoQUzGxiV4ZiqaZSs5g5mYzw,560,118,108,False,True,False,False
MASTER,wP2I2V23mo7BKCRnvYGdVGNKOZke2W8bVejjIdbm2uA8A6EyTsBQs_ca7KPBeK9lAeIDeLd9tlRZHw,557,102,78,False,False,True,False
MASTER,zHDwqhLg2si9lK71P8DClQmqLOaOd-jrtm1EOcARjsr3Ad_4YjOPlscuLvNqeFxVc6ddeFLQ83Mi_A,556,56,37,False,False,False,False
MASTER,F0cvfs1eCKgCIpfAMWKaO08itZefv8qvqeUGuCLEIUzggZkmkEh3WEMIPEFEbs0ayDipWER9L4D4Sw,555,62,49,True,False,True,False
MASTER,aWLuH5emHrz0UoM3uGgR6uHL325K7H7TdYYihC4cHbS1Xb8yxHXpntpoNV4ya1MHxADOvw5iRDt9Sw,554,88,74,True,False,True,False
MASTER,nRYpfLTqaoqdxm37lo-grnvTKNPNED1F7a8vfp8ljeSCZcsCCpleXxJkHrbA75NMM2l5QsuvCiJAcg,554,54,40,True,False,True,False
MASTER,qsiXgCW9S1e40OEztyu6wl-Gfhp0OeJ7vfg-_ejXycUVIZTjNAQDof0kxXpTK_mVHoecVjKY6hkUwA,553,92,96,True,False,True,False
MASTER,8tWlgJqwd7m0HOwa0CNB67mCnajRPbbKbWoCktUoQrsL-t8oAp_hQFvXf-6MypX185YIH6EJ4mfBOw,550,100,93,False,False,True,False
MASTER,qpra2FbbpvAgI-HnkLSmUc3mj-BYlWvXWrn8BrT6zidvQvQq0NlQEmiik1_b5BmGXJ3QrkZ5epZiUA,550,74,70,True,False,False,False
MASTER,LANqXGQbO16jHJCT5tcYKdwczguHXVAt6j85XU-lR_RBLLFuucNQjXm7P8WwXdwdSqiOvtV5RmXUyQ,549,94,88,True,False,True,False
MASTER,0AKwmhrJiWAoQix_DoLPeUbQGmwgpr9phrBCYEUB0BAkXHuIvm8CZ0Okz7eR8_mMwiJT7LB3fm1Ckg,546,73,65,False,False,True,False
MASTER,e4r4rb7UUD8_NiOXV0C1UoPitYYdmC8sQWuv3OBabxYbWlMfH5mbgbpkqdj3LrVpYUfpL9HYymdzXg,546,59,41,False,False,True,False
