matchId,tier,platform
TR1_1680442856,BRONZE,tr1
TR1_1684857077,BRONZE,tr1
TR1_1682269135,BRONZE,tr1
TR1_1678423085,BRONZE,tr1
TR1_1682154495,BRONZE,tr1
TR1_1683545567,BRONZE,tr1
TR1_1686742949,BRONZE,tr1
TR1_1685318723,BRONZE,tr1
TR1_1685793325,BRONZE,tr1
TR1_1686641716,BRONZE,tr1
TR1_1686407527,BRONZE,tr1
TR1_1684042058,BRONZE,tr1
TR1_1682387204,BRONZE,tr1
TR1_1686708600,BRONZE,tr1
TR1_1682910071,BRONZE,tr1
TR1_1679531945,BRONZE,tr1
TR1_1672060320,BRONZE,tr1
TR1_1685791182,BRONZE,tr1
TR1_1675692229,BRONZE,tr1
TR1_1686421736,BRONZE,tr1
TR1_1686875841,BRONZE,tr1
TR1_1680897300,BRONZE,tr1
TR1_1667257164,BRONZE,tr1
TR1_1680384974,BRONZE,tr1
TR1_1685925675,BRONZE,tr1
TR1_1683140191,BRONZE,tr1
TR1_1684702693,BRONZE,tr1
TR1_1683549676,BRONZE,tr1
TR1_1683274405,BRONZE,tr1
TR1_1680885863,BRONZE,tr1
TR1_1677591777,BRONZE,tr1
TR1_1679374026,BRONZE,tr1
TR1_1686187556,BRONZE,tr1
TR1_1686612524,BRONZE,tr1
TR1_1682203669,BRONZE,tr1
TR1_1678553214,BRONZE,tr1
TR1_1676992049,BRONZE,tr1
TR1_1679552261,BRONZE,tr1
TR1_1684582765,BRONZE,tr1
TR1_1685586353,BRONZE,tr1
TR1_1686751146,BRONZE,tr1
TR1_1679236514,BRONZE,tr1
TR1_1677757609,BRONZE,tr1
TR1_1686620943,BRONZE,tr1
TR1_1678867829,BRONZE,tr1
TR1_1683047267,BRONZE,tr1
TR1_1684138154,BRONZE,tr1
TR1_1668208881,BRONZE,tr1
TR1_1686810031,BRONZE,tr1
TR1_1685542220,BRONZE,tr1
TR1_1685119715,BRONZE,tr1
TR1_1685316092,BRONZE,tr1
TR1_1686208670,BRONZE,tr1
TR1_1677195952,BRONZE,tr1
TR1_1687064390,BRONZE,tr1
TR1_1681297239,BRONZE,tr1
TR1_1657596543,BRONZE,tr1
TR1_1686479914,BRONZE,tr1
TR1_1678608927,BRONZE,tr1
TR1_1681079848,BRONZE,tr1
TR1_1675892395,BRONZE,tr1
TR1_1686897305,BRONZE,tr1
TR1_1668118215,BRONZE,tr1
TR1_1680945340,BRONZE,tr1
TR1_1681077000,BRONZE,tr1
TR1_1684059229,BRONZE,tr1
TR1_1685220257,BRONZE,tr1
TR1_1653194166,BRONZE,tr1
TR1_1685872413,BRONZE,tr1
TR1_1685258912,BRONZE,tr1
TR1_1676800430,BRONZE,tr1
TR1_1686717023,BRONZE,tr1
TR1_1679365257,BRONZE,tr1
TR1_1669773809,BRONZE,tr1
TR1_1686602940,BRONZE,tr1
TR1_1684767445,BRONZE,tr1
TR1_1684865330,BRONZE,tr1
TR1_1686658266,BRONZE,tr1
TR1_1677960113,BRONZE,tr1
TR1_1686912432,BRONZE,tr1
TR1_1676923151,BRONZE,tr1
TR1_1684963556,BRONZE,tr1
TR1_1680552683,BRONZE,tr1
TR1_1682368208,BRONZE,tr1
TR1_1684905188,BRONZE,tr1
TR1_1680429424,BRONZE,tr1
TR1_1677561515,BRONZE,tr1
TR1_1686657936,BRONZE,tr1
TR1_1677627657,BRONZE,tr1
TR1_1685993231,BRONZE,tr1
TR1_1685619134,BRONZE,tr1
TR1_1677364733,BRONZE,tr1
TR1_1685021646,BRONZE,tr1
TR1_1646254241,BRONZE,tr1
TR1_1684995651,BRONZE,tr1
TR1_1686148338,BRONZE,tr1
TR1_1670711900,BRONZE,tr1
TR1_1686913735,BRONZE,tr1
TR1_1685409360,BRONZE,tr1
TR1_1585630373,BRONZE,tr1
TR1_1677072206,BRONZE,tr1
TR1_1680705486,BRONZE,tr1
TR1_1679209618,BRONZE,tr1
TR1_1662330772,BRONZE,tr1
TR1_1682607567,BRONZE,tr1
TR1_1677724950,BRONZE,tr1
TR1_1685746926,BRONZE,tr1
TR1_1677512976,BRONZE,tr1
TR1_1683887260,BRONZE,tr1
TR1_1684012671,BRONZE,tr1
TR1_1684646848,BRONZE,tr1
TR1_1685328939,BRONZE,tr1
TR1_1686548776,BRONZE,tr1
TR1_1686938361,BRONZE,tr1
TR1_1678760865,BRONZE,tr1
TR1_1682123096,BRONZE,tr1
TR1_1678725875,BRONZE,tr1
TR1_1684637682,BRONZE,tr1
TR1_1686160427,BRONZE,tr1
TR1_1674960059,BRONZE,tr1
TR1_1685133136,BRONZE,tr1
TR1_1681011099,BRONZE,tr1
TR1_1685565267,BRONZE,tr1
TR1_1682669735,BRONZE,tr1
TR1_1683807740,BRONZE,tr1
TR1_1686443783,BRONZE,tr1
TR1_1685268862,BRONZE,tr1
TR1_1679478331,BRONZE,tr1
TR1_1679142647,BRONZE,tr1
TR1_1676400341,BRONZE,tr1
TR1_1672750906,BRONZE,tr1
TR1_1686159309,BRONZE,tr1
TR1_1669765284,BRONZE,tr1
TR1_1685478274,BRONZE,tr1
TR1_1685001222,BRONZE,tr1
TR1_1684867418,BRONZE,tr1
TR1_1685639437,BRONZE,tr1
TR1_1680762234,BRONZE,tr1
TR1_1685818042,BRONZE,tr1
TR1_1678013727,BRONZE,tr1
TR1_1679521581,BRONZE,tr1
TR1_1686006031,BRONZE,tr1
TR1_1686124339,BRONZE,tr1
TR1_1676871369,BRONZE,tr1
TR1_1684351418,BRONZE,tr1
TR1_1687007443,BRONZE,tr1
TR1_1682361073,BRONZE,tr1
TR1_1686452750,BRONZE,tr1
TR1_1681263674,BRONZE,tr1
TR1_1679149628,BRONZE,tr1
TR1_1687005686,BRONZE,tr1
TR1_1682424404,BRONZE,tr1
TR1_1684530032,BRONZE,tr1
TR1_1681503564,BRONZE,tr1
TR1_1686281865,BRONZE,tr1
TR1_1685154587,BRONZE,tr1
TR1_1683920714,BRONZE,tr1
TR1_1686045949,BRONZE,tr1
TR1_1675743972,BRONZE,tr1
TR1_1667098508,BRONZE,tr1
TR1_1677185211,BRONZE,tr1
TR1_1686303740,BRONZE,tr1
TR1_1684738449,BRONZE,tr1
TR1_1676291933,BRONZE,tr1
TR1_1684715206,BRONZE,tr1
TR1_1685475164,BRONZE,tr1
TR1_1680648629,BRONZE,tr1
TR1_1682286435,BRONZE,tr1
TR1_1685501452,BRONZE,tr1
TR1_1682394286,BRONZE,tr1
TR1_1684104526,BRONZE,tr1
TR1_1686450462,BRONZE,tr1
TR1_1686654043,BRONZE,tr1
TR1_1636702660,BRONZE,tr1
TR1_1686338861,BRONZE,tr1
TR1_1679233668,BRONZE,tr1
TR1_1662050344,BRONZE,tr1
TR1_1684227220,BRONZE,tr1
TR1_1682357304,BRONZE,tr1
TR1_1685018289,BRONZE,tr1
TR1_1686115918,BRONZE,tr1
TR1_1677305052,BRONZE,tr1
TR1_1681481745,BRONZE,tr1
TR1_1588756758,BRONZE,tr1
TR1_1685983582,BRONZE,tr1
TR1_1685297575,BRONZE,tr1
TR1_1686513095,BRONZE,tr1
TR1_1686424101,BRONZE,tr1
TR1_1682793162,BRONZE,tr1
TR1_1658339841,BRONZE,tr1
TR1_1680459658,BRONZE,tr1
TR1_1678294062,BRONZE,tr1
TR1_1686575911,BRONZE,tr1
TR1_1684833284,BRONZE,tr1
TR1_1687045614,BRONZE,tr1
TR1_1683847837,BRONZE,tr1
TR1_1685761962,BRONZE,tr1
TR1_1685622724,BRONZE,tr1
TR1_1680560103,BRONZE,tr1
TR1_1686765554,BRONZE,tr1
TR1_1687034826,BRONZE,tr1
TR1_1681228647,BRONZE,tr1
TR1_1677908997,BRONZE,tr1
TR1_1686612457,BRONZE,tr1
TR1_1679711383,BRONZE,tr1
TR1_1684908402,BRONZE,tr1
TR1_1657003071,BRONZE,tr1
TR1_1687009267,BRONZE,tr1
TR1_1686181129,BRONZE,tr1
TR1_1685943900,BRONZE,tr1
TR1_1686925370,BRONZE,tr1
TR1_1682341743,BRONZE,tr1
TR1_1686138863,BRONZE,tr1
TR1_1686223081,BRONZE,tr1
TR1_1641707568,BRONZE,tr1
TR1_1684798303,BRONZE,tr1
TR1_1676899775,BRONZE,tr1
TR1_1686326283,BRONZE,tr1
TR1_1678892931,BRONZE,tr1
TR1_1677959757,BRONZE,tr1
TR1_1670625113,BRONZE,tr1
TR1_1686250032,BRONZE,tr1
TR1_1686504950,BRONZE,tr1
TR1_1683566515,BRONZE,tr1
TR1_1684874447,BRONZE,tr1
TR1_1685658911,BRONZE,tr1
TR1_1686932139,BRONZE,tr1
TR1_1671388889,BRONZE,tr1
TR1_1683794438,BRONZE,tr1
TR1_1684170521,BRONZE,tr1
TR1_1678785727,BRONZE,tr1
TR1_1682457237,BRONZE,tr1
TR1_1682720597,BRONZE,tr1
TR1_1684827586,BRONZE,tr1
TR1_1685825983,BRONZE,tr1
TR1_1686484027,BRONZE,tr1
TR1_1681154961,BRONZE,tr1
TR1_1683328174,BRONZE,tr1
TR1_1686527760,BRONZE,tr1
TR1_1686308892,BRONZE,tr1
TR1_1686112383,BRONZE,tr1
TR1_1681711336,BRONZE,tr1
TR1_1686426664,BRONZE,tr1
TR1_1681322127,BRONZE,tr1
TR1_1680372119,BRONZE,tr1
TR1_1680277730,BRONZE,tr1
TR1_1686075641,BRONZE,tr1
TR1_1686495613,BRONZE,tr1
TR1_1681617742,BRONZE,tr1
TR1_1686933260,BRONZE,tr1
TR1_1684074456,BRONZE,tr1
TR1_1685815616,BRONZE,tr1
TR1_1683425367,BRONZE,tr1
TR1_1686910944,BRONZE,tr1
TR1_1597332070,BRONZE,tr1
TR1_1686068587,BRONZE,tr1
TR1_1681531365,BRONZE,tr1
TR1_1687047514,BRONZE,tr1
TR1_1683371458,BRONZE,tr1
TR1_1685517752,BRONZE,tr1
TR1_1675884799,BRONZE,tr1
TR1_1685100918,BRONZE,tr1
TR1_1686889453,BRONZE,tr1
TR1_1683855568,BRONZE,tr1
TR1_1684066236,BRONZE,tr1
TR1_1685444153,BRONZE,tr1
TR1_1682395556,BRONZE,tr1
TR1_1682494573,BRONZE,tr1
TR1_1685860234,BRONZE,tr1
TR1_1675026366,BRONZE,tr1
TR1_1682072275,BRONZE,tr1
TR1_1686898593,BRONZE,tr1
TR1_1683783225,BRONZE,tr1
