tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,kkaUWfY-UoshW6bF9ktVIcjDD7sA9PqfgsOFs9D0UVMECjxRHf8qhh-P71r28leP8Fp7GQJOExAQWA,0,25,28,False,False,True,False
GRANDMASTER,Q9jD3xjyARR2LB6W6aiCKdgoK674iuPVpLXeZI4AqCn2SNJNVhfclU2rfvEyvENlwZPLX301dcGKyA,621,111,67,False,False,True,False
MASTER,irOQ6Wie8-3gH98G-MfCVqKUUt_rhmVq5cdKvop6_HcYOGAocNHG9klLkcKMW76x0h4JpH2JEQWTkg,345,53,39,True,False,True,False
MASTER,J8WoyFPfoJVoRN0-Rkg65yTJSO3Ce2VQ_FHu2J7fE527gXrmtFvQS6w2p5q6-cU8ysfR1PKgip6xlA,74,62,27,False,False,True,False
GRANDMASTER,PIMFi_D9TvaDsGY0gz6aB064CHt3Oyx-AO3UlTS0iOdcSLi3RxqTfVgZykAF99OJEAD-bnNvluaiXA,653,107,88,False,False,True,False
MASTER,K9nldn8jOIu-mRWuD17gAa-Oq7YSDX4HIOPpkfCd1XhtODmDJ59BUEp9TnG9iEHspLQiPDm0xyl20g,15,76,76,False,False,True,False
MASTER,7Z_SkGPH2fAD8xBf-mrSuk9ah-eJ97zC0mdTimvRZ4OXUsa3ZNkcS0UjuZ9W7ot43gscxBd_YvJpHw,443,49,42,False,False,False,False
MASTER,UDFZUWDvZuvd71AhG_FHFK-Jj9K7xqYjddOgeMt5E_MHY021ny-qbxtdLIRyt-q75IOey2Ed7Vu6bw,342,47,38,False,False,True,False
MASTER,iSyAWaI_Iy_6VG4QRCCcJtPUhjSnwXlZzsFEsulqFlLtkpMxEFrRH5fw2j3ZzdeptIxoXtyzaX8OaQ,1,27,18,True,False,True,False
MASTER,yxIWY4GFcC0dK1z65VvWhqPJIjCoCEK4hQC04ZXty0I_EqkYoHRjKQS5t2Zh5psuy86dg1st5IwVNQ,129,44,46,True,False,False,False
MASTER,7FW4E3EnXy1GSFTt3XzaDEtmCmWW1kwo7r163i-AJYkFMEbCRWvI3PYXdcJtofTOtv4qa6SueV_Ujg,145,68,46,False,False,True,False
MASTER,2GEjjUyApfb8ikE0teS37rSALZ3DtanPaO5mZokP0im59rj7HL204hchY_GZtykrRV7YJ26nelQj4A,281,85,83,False,True,False,False
MASTER,Vy93-ZB_Sl4PKRm8iU3xHdpH-mhdQGgiaziLe34wPPdtZUmk34Oncx-JI1mhFBXMaaBTdHv63QcVxg,63,79,96,False,True,False,False
MASTER,9KXkHVEEL2wgVtM9m9kuwo5beb2fQQ_U3yufN5Wo3sp0WcYqj-Ae1zyJKOyyqNUnKocKSOvK403xyw,206,54,59,False,False,False,False
MASTER,2vmKF-eJgv7uUJGQuLQgl0E3kkoZZyZvY0mGwaKnfxaLGTYSU_FiF3PNwnJBl4Q_d_A0VWpGGBcf9Q,317,125,129,False,True,False,False
MASTER,EBToihKYRrwok1L-wl31KubfOXr1Qk_Zc9HHGqSA4cz8vI6aPLHd34MirfOQigQi3WhvmpXI3bafQQ,16,45,47,False,False,True,False
MASTER,vZWg13t7mfERyWz-cAOKnJfO3pw-vUo240yYM6gWEKqfakEG34dCdK8Yqygw6lrEonpEGbx1uCaa7A,408,40,25,False,False,False,False
MASTER,tNGWfFWw2nzIXlVedqNx_oSF1gvOPUNyaCEgWI9gDYBDsa6I2vfL-Lv9VMw5CdiCB2t2UsuDcBFTpA,131,29,30,False,False,True,False
MASTER,so5rmuERP07FB-Xy7FYHIs4POC-dg59VCmR8x_WRCea-S1YXr9bLdTov8fz4i72N8LbRPrfoSofPdw,0,22,16,False,False,False,False
MASTER,0XXmyIcfm1_9-UmHwKh4XffJF9MJENlAvZq32M0sITDsLr0Bz0yLJfFBaEX7QnxkwT2IIXe6s8syzA,2,148,136,True,False,False,False
GRANDMASTER,nh_N3NpP7PzJPHWHk-Cwq8JrsNLH01GOWHFIW_yhrmmXK_VvY29szBoGe0aZWyi9FCYYxScPXaQ5VQ,586,87,57,False,False,True,False
MASTER,8MObUvKsM4Jv8mLyk4nNM16x3Tnk7CperN3FkjEiJ8FfyRMu6-hc21IgTfwRSSvPvU4RovwWjbnXEQ,16,51,57,False,False,False,False
MASTER,K0c-f-E-kulofu5LorGIL5LhbCmlLAd-LShWgQ6DK-3RiVQl5p-DYArW3iqR8MG0hkxkW8jHrRjrGQ,135,30,22,False,False,False,False
GRANDMASTER,vg871nO0olvNRoW8vzdZPq3wlNu4acKDwK_YydsYr_EPQ0Kfh3nGxJrDs6fGP5KgCLsKcftG8_k8GA,671,98,84,False,False,True,False
MASTER,wUQGbkdvhnqry7X1PxGbfCj7kE1B3dl27if2HX7GZt8k_dE_jjRfCXIG-hIIWTsGT1Sl20Vbc5zXQg,222,39,33,False,False,False,False
MASTER,IMxYBgnETnsyRsdb4oIB6Y9ggyP_x-BiKLZyUjI1fhiCq_TxQxw1Go2b8iE6bKorfOa8Bc1LcyIBcw,332,37,22,False,False,False,False
MASTER,WvVil1oulU0Grr4gx1bWPUsZeGOQw5p4gre12rB6k7ILazpNXxVtsYenNMfpc9652DUyNbrpmxHzoA,356,46,40,False,False,True,False
