matchId,tier,platform
TR1_1684965985,DIAMOND,tr1
TR1_1685288750,DIAMOND,tr1
TR1_1682511974,DIAMOND,tr1
TR1_1683597787,DIAMOND,tr1
TR1_1686257048,DIAMOND,tr1
TR1_1684753055,DIAMOND,tr1
TR1_1686346767,DIAMOND,tr1
TR1_1686740260,DIAMOND,tr1
TR1_1686763805,DIAMOND,tr1
TR1_1686666623,DIAMOND,tr1
TR1_1685527642,DIAMOND,tr1
TR1_1682054924,DIAMOND,tr1
TR1_1685414682,DIAMOND,tr1
TR1_1687044297,DIAMOND,tr1
TR1_1683279070,DIAMOND,tr1
TR1_1684445589,DIAMOND,tr1
TR1_1684527657,DIAMOND,tr1
TR1_1686696950,DIAMOND,tr1
TR1_1686754527,DIAMOND,tr1
TR1_1685423765,DIAMOND,tr1
TR1_1687043034,DIAMOND,tr1
TR1_1677891796,DIAMOND,tr1
TR1_1685984987,DIAMOND,tr1
TR1_1685514000,DIAMOND,tr1
TR1_1682262971,DIAMOND,tr1
TR1_1684413079,DIAMOND,tr1
TR1_1680396877,DIAMOND,tr1
TR1_1686600739,DIAMOND,tr1
TR1_1686634834,DIAMOND,tr1
TR1_1686368991,DIAMOND,tr1
TR1_1686428673,DIAMOND,tr1
TR1_1681842586,DIAMOND,tr1
TR1_1686496913,DIAMOND,tr1
TR1_1683111680,DIAMOND,tr1
TR1_1686841160,DIAMOND,tr1
TR1_1685449002,DIAMOND,tr1
TR1_1685031147,DIAMOND,tr1
TR1_1683995870,DIAMOND,tr1
TR1_1682912642,DIAMOND,tr1
TR1_1686482185,DIAMOND,tr1
TR1_1684142518,DIAMOND,tr1
TR1_1686514663,DIAMOND,tr1
TR1_1686407963,DIAMOND,tr1
TR1_1681356312,DIAMOND,tr1
TR1_1686955074,DIAMOND,tr1
TR1_1686381701,DIAMOND,tr1
TR1_1686723230,DIAMOND,tr1
TR1_1686331209,DIAMOND,tr1
TR1_1684016086,DIAMOND,tr1
TR1_1686336161,DIAMOND,tr1
TR1_1686114372,DIAMOND,tr1
TR1_1686550119,DIAMOND,tr1
TR1_1687024545,DIAMOND,tr1
TR1_1685042358,DIAMOND,tr1
TR1_1686765483,DIAMOND,tr1
TR1_1684285658,DIAMOND,tr1
