matchId,tier,platform
TR1_1679583161,EMERALD,tr1
TR1_1686880367,EMERALD,tr1
TR1_1686011102,EMERALD,tr1
TR1_1683545504,EMERALD,tr1
TR1_1683580209,EMERALD,tr1
TR1_1686904980,EMERALD,tr1
TR1_1682435470,EMERALD,tr1
TR1_1685970939,EMERALD,tr1
TR1_1685116778,EMERALD,tr1
TR1_1685076791,EMERALD,tr1
TR1_1686937863,EMERALD,tr1
TR1_1654650035,EMERALD,tr1
TR1_1686232581,EMERALD,tr1
TR1_1681440332,EMERALD,tr1
TR1_1685766160,EMERALD,tr1
TR1_1686630692,EMERALD,tr1
EUW1_7719144720,EMERALD,tr1
TR1_1685856766,EMERALD,tr1
TR1_1676166314,EMERALD,tr1
TR1_1679334779,EMERALD,tr1
TR1_1686774304,EMERALD,tr1
TR1_1684898255,EMERALD,tr1
TR1_1686715737,EMERALD,tr1
TR1_1685021830,EMERALD,tr1
TR1_1684877632,EMERALD,tr1
TR1_1685881322,EMERALD,tr1
TR1_1686657887,EMERALD,tr1
TR1_1684523688,EMERALD,tr1
TR1_1685964875,EMERALD,tr1
TR1_1683007557,EMERALD,tr1
TR1_1684243393,EMERALD,tr1
TR1_1686560303,EMERALD,tr1
TR1_1685189435,EMERALD,tr1
TR1_1681507391,EMERALD,tr1
TR1_1686580475,EMERALD,tr1
TR1_1684806036,EMERALD,tr1
TR1_1684787723,EMERALD,tr1
TR1_1682064504,EMERALD,tr1
TR1_1686293006,EMERALD,tr1
TR1_1686665385,EMERALD,tr1
TR1_1686055571,EMERALD,tr1
TR1_1677259720,EMERALD,tr1
TR1_1684992051,EMERALD,tr1
TR1_1683334998,EMERALD,tr1
TR1_1687063015,EMERALD,tr1
TR1_1686032977,EMERALD,tr1
TR1_1686595811,EMERALD,tr1
EUW1_7719884972,EMERALD,tr1
TR1_1676646793,EMERALD,tr1
TR1_1686685274,EMERALD,tr1
TR1_1686711184,EMERALD,tr1
TR1_1685051207,EMERALD,tr1
TR1_1686588159,EMERALD,tr1
TR1_1686241507,EMERALD,tr1
TR1_1686641496,EMERALD,tr1
TR1_1684196165,EMERALD,tr1
TR1_1686801035,EMERALD,tr1
TR1_1683156525,EMERALD,tr1
TR1_1685952788,EMERALD,tr1
TR1_1682534277,EMERALD,tr1
TR1_1679801395,EMERALD,tr1
TR1_1684848280,EMERALD,tr1
TR1_1683562505,EMERALD,tr1
TR1_1684294424,EMERALD,tr1
TR1_1685928800,EMERALD,tr1
TR1_1686887575,EMERALD,tr1
TR1_1685998380,EMERALD,tr1
TR1_1685269717,EMERALD,tr1
TR1_1683444809,EMERALD,tr1
TR1_1684132866,EMERALD,tr1
TR1_1685912590,EMERALD,tr1
TR1_1684566658,EMERALD,tr1
TR1_1683494078,EMERALD,tr1
TR1_1685668204,EMERALD,tr1
TR1_1685558183,EMERALD,tr1
TR1_1683645265,EMERALD,tr1
TR1_1679815628,EMERALD,tr1
TR1_1685068563,EMERALD,tr1
TR1_1686058138,EMERALD,tr1
TR1_1680989709,EMERALD,tr1
TR1_1683098669,EMERALD,tr1
TR1_1686708991,EMERALD,tr1
TR1_1681944853,EMERALD,tr1
TR1_1686691818,EMERALD,tr1
TR1_1686459368,EMERALD,tr1
TR1_1686689092,EMERALD,tr1
TR1_1685862487,EMERALD,tr1
TR1_1677269066,EMERALD,tr1
TR1_1684565539,EMERALD,tr1
TR1_1684728046,EMERALD,tr1
TR1_1683326740,EMERALD,tr1
TR1_1655000666,EMERALD,tr1
TR1_1686639459,EMERALD,tr1
TR1_1684072584,EMERALD,tr1
TR1_1686377316,EMERALD,tr1
TR1_1685945639,EMERALD,tr1
TR1_1684359381,EMERALD,tr1
TR1_1683592092,EMERALD,tr1
TR1_1687009403,EMERALD,tr1
TR1_1686942878,EMERALD,tr1
TR1_1686183004,EMERALD,tr1
