matchId,tier,platform
TR1_1682119896,GOLD,tr1
TR1_1686193111,GOLD,tr1
TR1_1686873751,GOLD,tr1
TR1_1686179480,GOLD,tr1
TR1_1678777161,GOLD,tr1
TR1_1684004281,GOLD,tr1
TR1_1685400021,GOLD,tr1
TR1_1685487476,GOLD,tr1
TR1_1686301829,GOLD,tr1
TR1_1678129118,GOLD,tr1
TR1_1678860427,GOLD,tr1
TR1_1640293183,GOLD,tr1
TR1_1682550534,GOLD,tr1
TR1_1684367083,GOLD,tr1
TR1_1682224963,GOLD,tr1
TR1_1684545413,GOLD,tr1
TR1_1686462821,GOLD,tr1
TR1_1631694180,GOLD,tr1
TR1_1684967122,GOLD,tr1
TR1_1684361872,GOLD,tr1
TR1_1686672934,GOLD,tr1
TR1_1686860990,GOLD,tr1
TR1_1672018679,GOLD,tr1
TR1_1683660443,GOLD,tr1
TR1_1684644196,GOLD,tr1
TR1_1680505422,GOLD,tr1
TR1_1680079717,GOLD,tr1
TR1_1682839703,GOLD,tr1
TR1_1663433672,GOLD,tr1
TR1_1679614606,GOLD,tr1
TR1_1686351837,GOLD,tr1
TR1_1686377958,GOLD,tr1
TR1_1678891394,GOLD,tr1
TR1_1684967029,GOLD,tr1
TR1_1676930863,GOLD,tr1
TR1_1684160510,GOLD,tr1
TR1_1683207131,GOLD,tr1
TR1_1685916777,GOLD,tr1
TR1_1685535347,GOLD,tr1
TR1_1678275785,GOLD,tr1
TR1_1685751353,GOLD,tr1
TR1_1684566272,GOLD,tr1
TR1_1686986850,GOLD,tr1
TR1_1682979260,GOLD,tr1
TR1_1684700926,GOLD,tr1
TR1_1684203622,GOLD,tr1
TR1_1686584434,GOLD,tr1
TR1_1681815376,GOLD,tr1
TR1_1684622353,GOLD,tr1
TR1_1685138067,GOLD,tr1
TR1_1654065258,GOLD,tr1
TR1_1683252660,GOLD,tr1
TR1_1686128045,GOLD,tr1
TR1_1684076869,GOLD,tr1
TR1_1678082774,GOLD,tr1
TR1_1686840012,GOLD,tr1
TR1_1685796497,GOLD,tr1
TR1_1686938250,GOLD,tr1
TR1_1686771960,GOLD,tr1
TR1_1684390357,GOLD,tr1
TR1_1686842593,GOLD,tr1
TR1_1677343349,GOLD,tr1
TR1_1684337300,GOLD,tr1
TR1_1677005690,GOLD,tr1
TR1_1685484840,GOLD,tr1
TR1_1686712049,GOLD,tr1
TR1_1674320297,GOLD,tr1
TR1_1686852575,GOLD,tr1
TR1_1686426689,GOLD,tr1
TR1_1679342708,GOLD,tr1
TR1_1680534024,GOLD,tr1
TR1_1683585708,GOLD,tr1
TR1_1684845284,GOLD,tr1
TR1_1686112174,GOLD,tr1
TR1_1679210693,GOLD,tr1
TR1_1686558768,GOLD,tr1
TR1_1642372888,GOLD,tr1
TR1_1679754927,GOLD,tr1
TR1_1686017283,GOLD,tr1
TR1_1685554695,GOLD,tr1
TR1_1686700571,GOLD,tr1
TR1_1686207856,GOLD,tr1
TR1_1686329797,GOLD,tr1
TR1_1678233783,GOLD,tr1
TR1_1682966946,GOLD,tr1
TR1_1683974156,GOLD,tr1
TR1_1676833378,GOLD,tr1
TR1_1632059044,GOLD,tr1
TR1_1683962708,GOLD,tr1
TR1_1684680371,GOLD,tr1
TR1_1681506167,GOLD,tr1
TR1_1684489034,GOLD,tr1
TR1_1683804754,GOLD,tr1
TR1_1684476365,GOLD,tr1
TR1_1684850780,GOLD,tr1
TR1_1686931937,GOLD,tr1
TR1_1682121940,GOLD,tr1
TR1_1682197804,GOLD,tr1
TR1_1680923349,GOLD,tr1
TR1_1684723393,GOLD,tr1
TR1_1683261161,GOLD,tr1
TR1_1682250249,GOLD,tr1
TR1_1686223332,GOLD,tr1
TR1_1686416683,GOLD,tr1
TR1_1684953730,GOLD,tr1
TR1_1686226512,GOLD,tr1
TR1_1601146550,GOLD,tr1
TR1_1686832580,GOLD,tr1
TR1_1682140071,GOLD,tr1
TR1_1685504213,GOLD,tr1
TR1_1686694990,GOLD,tr1
TR1_1686031952,GOLD,tr1
TR1_1676761821,GOLD,tr1
TR1_1685581998,GOLD,tr1
TR1_1682630652,GOLD,tr1
TR1_1686015522,GOLD,tr1
TR1_1619551247,GOLD,tr1
TR1_1686699001,GOLD,tr1
TR1_1658281248,GOLD,tr1
TR1_1677942083,GOLD,tr1
TR1_1679426049,GOLD,tr1
TR1_1680387525,GOLD,tr1
TR1_1685143102,GOLD,tr1
TR1_1686709192,GOLD,tr1
TR1_1684735771,GOLD,tr1
TR1_1686656318,GOLD,tr1
TR1_1685114549,GOLD,tr1
TR1_1685066391,GOLD,tr1
TR1_1686109877,GOLD,tr1
TR1_1684452918,GOLD,tr1
TR1_1685343947,GOLD,tr1
TR1_1682352529,GOLD,tr1
TR1_1679471347,GOLD,tr1
TR1_1683188442,GOLD,tr1
TR1_1687023277,GOLD,tr1
TR1_1682593655,GOLD,tr1
TR1_1682821648,GOLD,tr1
TR1_1676235526,GOLD,tr1
TR1_1682445249,GOLD,tr1
TR1_1686736328,GOLD,tr1
TR1_1686377725,GOLD,tr1
TR1_1674114645,GOLD,tr1
TR1_1685920003,GOLD,tr1
TR1_1686733572,GOLD,tr1
TR1_1686998622,GOLD,tr1
TR1_1681569045,GOLD,tr1
TR1_1679752692,GOLD,tr1
TR1_1686806882,GOLD,tr1
TR1_1685618819,GOLD,tr1
TR1_1678270705,GOLD,tr1
TR1_1686188514,GOLD,tr1
TR1_1687038643,GOLD,tr1
TR1_1685080735,GOLD,tr1
TR1_1676771948,GOLD,tr1
TR1_1679444506,GOLD,tr1
TR1_1686690887,GOLD,tr1
TR1_1684693501,GOLD,tr1
TR1_1684717124,GOLD,tr1
TR1_1684048376,GOLD,tr1
TR1_1686577196,GOLD,tr1
TR1_1641874546,GOLD,tr1
TR1_1685750652,GOLD,tr1
TR1_1686886265,GOLD,tr1
TR1_1686889983,GOLD,tr1
TR1_1686363883,GOLD,tr1
TR1_1677752886,GOLD,tr1
TR1_1674153108,GOLD,tr1
TR1_1687037594,GOLD,tr1
TR1_1686115760,GOLD,tr1
TR1_1680013443,GOLD,tr1
TR1_1685363461,GOLD,tr1
TR1_1684607060,GOLD,tr1
TR1_1687000150,GOLD,tr1
TR1_1684430421,GOLD,tr1
TR1_1672914170,GOLD,tr1
TR1_1686503069,GOLD,tr1
TR1_1682191156,GOLD,tr1
TR1_1683629510,GOLD,tr1
TR1_1680408586,GOLD,tr1
TR1_1685857435,GOLD,tr1
TR1_1678981822,GOLD,tr1
TR1_1686987369,GOLD,tr1
TR1_1682992022,GOLD,tr1
TR1_1679606862,GOLD,tr1
TR1_1686962836,GOLD,tr1
TR1_1685049705,GOLD,tr1
TR1_1684745865,GOLD,tr1
TR1_1686145214,GOLD,tr1
TR1_1681639793,GOLD,tr1
TR1_1684573676,GOLD,tr1
TR1_1679666750,GOLD,tr1
TR1_1677564031,GOLD,tr1
TR1_1662419755,GOLD,tr1
TR1_1685230544,GOLD,tr1
TR1_1686976788,GOLD,tr1
TR1_1684664720,GOLD,tr1
TR1_1685832147,GOLD,tr1
TR1_1685500139,GOLD,tr1
TR1_1685499854,GOLD,tr1
TR1_1682991979,GOLD,tr1
TR1_1686082655,GOLD,tr1
