tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
CHALLENGER,QGBkmLGWhPFH4nNtGzPt_CdhxmJ_TP3qhgOPnMh6tAHJKRC-jbj5JyWNYD9AqEGHMLDa0mf3JC2FdA,878,94,76,True,False,False,False
CHALLENGER,O7j36U_b9NN466I72g7IXF8MJu93YZGk8S6F-3fjerYDHGOMQ1uysL-kFz7WAGR-xer7sracz4vXhw,1256,87,49,True,False,False,False
GRANDMASTER,eEYf1T3stEgAtlRUTWOlFe4f37SAu2oUY4m2_RwsKrHKWjml-GUA5zRKv5N4mtpiRphDSbl1badiBA,547,74,47,False,False,False,False
GRANDMASTER,QfXpKpuuQluwkN9APX_AowUGPGvqaNUJRqTPvSn7a_DFzoU4odCBmuQCKPWUf79NchYI_j-IGgKX-A,723,76,71,False,False,True,False
GRANDMASTER,yudmjuUR_dnCFecVa8868M3krLbHCA_wsKMWp6hRs3Vr5asnMjYC-GUgMfkltXdn1WmGQdgqOHQ25A,541,58,49,False,False,True,False
GRANDMASTER,0F-btkYQhI4uFRIla0Wa6teapXKD0aJ43faA2LD-WcsqcMYO__mGslL6KUOBcZTu_QUq7dHVtNSgbA,661,56,23,False,False,True,False
GRANDMASTER,mQ8A5-sIHwciuWe5kwJn3-v6xcyveY8TGi5d9m5TsDrgGj7akkcfzLWvXORw1yWp2A-q71jjdyQxoA,702,86,81,False,False,True,False
MASTER,jD_6Uv-XlkH_HeYpHpk-TMUTAA5UJNb7esOgnTiZdINu8Xn1OP441LV0Ky7Zfn8ieU6q0INWtdn0Gg,81,80,68,False,False,False,False
MASTER,x5dybsSY8a5HUro9hiBXA6PmsBWFHxVVAxQZFGuSix9nw0RayHPwi5dmAY2ZjrudivaXnZ5FyD4xOQ,4,40,27,False,False,False,False
MASTER,XwA7WvEZJkZPEke5Ng28m4yOUn_r9IAEQaylOMrbJSkcT18kM0FTrkbg1vyC2doFGDngpri1MOfh6g,31,22,9,False,False,False,False
MASTER,Ro2L9Ponc0igpabKixYPsNXLhUYV9-iZrC1kRL3eji_BApvO30ZNIE1Sno4C_H88HD4gp-y2vxhtjQ,347,116,79,False,False,False,False
MASTER,fDLevYuk20YUH99a0jRApo-EWj41EyReW6kkrH4QkuexyLDipS0vVKNC1hPV3t0haLEcf9DvyIA9Yg,4,120,49,False,False,True,False
MASTER,tNoei3FYRDskounPwJS4mJidcgf6ESQX2ouOxMOyJQPFI8StDuHv8id220ImYS18DRY4uswJ_EaFMA,140,35,33,False,False,False,False
MASTER,o_Ipdq4AzN0ywEoFbTvulLjq0jWZNsT3cobGqGmu4cALpntaLciQqqBJM0-OV3p36Ww08l6_mwM6gw,0,41,37,False,False,True,False
MASTER,7ptVV-8TwqziXHxaVFO898tYjfAioadl4FUa8Nf_lX3r9ZLh7BvsenlDQE848JHqGZkWnZ0gmaRckg,167,65,65,False,False,False,False
MASTER,BZTTRRGGygqwm-CkVu3Fk8JiFrYzZ1Pn5lMa6to4Pp6qtgMRtjYvZ8NyUPIcJ1Ntjo3DhPVyvfoUDw,50,90,79,False,False,True,False
