matchId,tier,platform
TR1_1676322003,IRON,tr1
TR1_1686913096,IRON,tr1
TR1_1684151232,IRON,tr1
TR1_1681817902,IRON,tr1
TR1_1664425956,IRON,tr1
TR1_1684527104,IRON,tr1
TR1_1682989489,IRON,tr1
TR1_1683640532,IRON,tr1
TR1_1679851203,IRON,tr1
TR1_1679564753,IRON,tr1
TR1_1686399260,IRON,tr1
TR1_1686507891,IRON,tr1
TR1_1685213187,IRON,tr1
TR1_1681803434,IRON,tr1
TR1_1685286896,IRON,tr1
TR1_1685470304,IRON,tr1
TR1_1680859811,IRON,tr1
TR1_1686856211,IRON,tr1
TR1_1683014317,IRON,tr1
TR1_1679804905,IRON,tr1
TR1_1683406190,IRON,tr1
TR1_1683259599,IRON,tr1
TR1_1686261377,IRON,tr1
TR1_1686284709,IRON,tr1
TR1_1683253306,IRON,tr1
TR1_1670427378,IRON,tr1
TR1_1685254013,IRON,tr1
TR1_1686665781,IRON,tr1
TR1_1686096540,IRON,tr1
TR1_1685994451,IRON,tr1
TR1_1686475998,IRON,tr1
TR1_1686879406,IRON,tr1
TR1_1686242961,IRON,tr1
TR1_1686931275,IRON,tr1
TR1_1684706244,IRON,tr1
TR1_1686916798,IRON,tr1
TR1_1682950269,IRON,tr1
TR1_1687028558,IRON,tr1
TR1_1683593968,IRON,tr1
TR1_1680176283,IRON,tr1
TR1_1685088318,IRON,tr1
TR1_1686879344,IRON,tr1
TR1_1682502603,IRON,tr1
TR1_1686699855,IRON,tr1
TR1_1685213564,IRON,tr1
TR1_1686697475,IRON,tr1
TR1_1680032233,IRON,tr1
TR1_1686385091,IRON,tr1
TR1_1674506740,IRON,tr1
TR1_1684687521,IRON,tr1
TR1_1686757586,IRON,tr1
TR1_1685790649,IRON,tr1
TR1_1685636544,IRON,tr1
TR1_1685994798,IRON,tr1
TR1_1686579516,IRON,tr1
TR1_1684379060,IRON,tr1
TR1_1685920274,IRON,tr1
TR1_1681810864,IRON,tr1
TR1_1683097576,IRON,tr1
TR1_1684967939,IRON,tr1
TR1_1677926285,IRON,tr1
TR1_1684612490,IRON,tr1
TR1_1686538762,IRON,tr1
TR1_1684190485,IRON,tr1
TR1_1686820263,IRON,tr1
TR1_1685250392,IRON,tr1
TR1_1683008802,IRON,tr1
TR1_1685111324,IRON,tr1
TR1_1683457689,IRON,tr1
TR1_1686446554,IRON,tr1
TR1_1683982542,IRON,tr1
TR1_1684998066,IRON,tr1
TR1_1682861615,IRON,tr1
TR1_1682100043,IRON,tr1
TR1_1683821869,IRON,tr1
TR1_1686083045,IRON,tr1
TR1_1686299073,IRON,tr1
TR1_1679213298,IRON,tr1
TR1_1683228028,IRON,tr1
TR1_1684227948,IRON,tr1
TR1_1683612304,IRON,tr1
TR1_1686402511,IRON,tr1
TR1_1674158006,IRON,tr1
TR1_1684972374,IRON,tr1
TR1_1685050867,IRON,tr1
TR1_1674655941,IRON,tr1
TR1_1686466794,IRON,tr1
TR1_1684379595,IRON,tr1
TR1_1684760762,IRON,tr1
TR1_1685007953,IRON,tr1
TR1_1686410297,IRON,tr1
TR1_1683926620,IRON,tr1
TR1_1686003099,IRON,tr1
TR1_1687054688,IRON,tr1
TR1_1686257347,IRON,tr1
TR1_1681497747,IRON,tr1
TR1_1669171190,IRON,tr1
TR1_1687068091,IRON,tr1
TR1_1686118444,IRON,tr1
TR1_1685073805,IRON,tr1
TR1_1680501006,IRON,tr1
TR1_1680606890,IRON,tr1
TR1_1684126410,IRON,tr1
TR1_1684466403,IRON,tr1
TR1_1684609259,IRON,tr1
TR1_1686832970,IRON,tr1
TR1_1674234702,IRON,tr1
TR1_1685484021,IRON,tr1
TR1_1687059024,IRON,tr1
TR1_1669427448,IRON,tr1
TR1_1686710490,IRON,tr1
TR1_1686483048,IRON,tr1
TR1_1687022254,IRON,tr1
TR1_1684599729,IRON,tr1
TR1_1681843237,IRON,tr1
TR1_1685346141,IRON,tr1
TR1_1687062396,IRON,tr1
TR1_1686702269,IRON,tr1
TR1_1670650281,IRON,tr1
TR1_1687046806,IRON,tr1
TR1_1685874293,IRON,tr1
TR1_1682577592,IRON,tr1
TR1_1679822861,IRON,tr1
TR1_1684729863,IRON,tr1
TR1_1677505999,IRON,tr1
TR1_1685004680,IRON,tr1
TR1_1679223392,IRON,tr1
TR1_1685898669,IRON,tr1
TR1_1686917569,IRON,tr1
TR1_1684666820,IRON,tr1
TR1_1664402198,IRON,tr1
TR1_1685408953,IRON,tr1
TR1_1684213246,IRON,tr1
TR1_1679856719,IRON,tr1
TR1_1686970503,IRON,tr1
TR1_1686625523,IRON,tr1
TR1_1683237214,IRON,tr1
TR1_1682088102,IRON,tr1
TR1_1686244828,IRON,tr1
TR1_1684658014,IRON,tr1
TR1_1686007100,IRON,tr1
TR1_1685840244,IRON,tr1
TR1_1685073597,IRON,tr1
TR1_1685221099,IRON,tr1
TR1_1682871611,IRON,tr1
TR1_1686083782,IRON,tr1
TR1_1682435531,IRON,tr1
TR1_1686232348,IRON,tr1
TR1_1682301351,IRON,tr1
TR1_1683210848,IRON,tr1
TR1_1687000056,IRON,tr1
TR1_1686095318,IRON,tr1
TR1_1685257619,IRON,tr1
TR1_1685006472,IRON,tr1
TR1_1677628798,IRON,tr1
TR1_1675046502,IRON,tr1
TR1_1686436838,IRON,tr1
TR1_1685987455,IRON,tr1
TR1_1686937425,IRON,tr1
TR1_1686599917,IRON,tr1
TR1_1685599680,IRON,tr1
TR1_1684965326,IRON,tr1
TR1_1686184297,IRON,tr1
TR1_1686114973,IRON,tr1
TR1_1683093038,IRON,tr1
TR1_1684411024,IRON,tr1
TR1_1685541825,IRON,tr1
TR1_1624471366,IRON,tr1
TR1_1685275353,IRON,tr1
TR1_1683585783,IRON,tr1
TR1_1685273723,IRON,tr1
TR1_1686819948,IRON,tr1
TR1_1683688726,IRON,tr1
TR1_1681775925,IRON,tr1
TR1_1686961238,IRON,tr1
TR1_1685947381,IRON,tr1
TR1_1686758649,IRON,tr1
TR1_1685904476,IRON,tr1
TR1_1686178042,IRON,tr1
TR1_1680445796,IRON,tr1
TR1_1686753660,IRON,tr1
TR1_1686476357,IRON,tr1
TR1_1685117877,IRON,tr1
TR1_1684967234,IRON,tr1
TR1_1685601499,IRON,tr1
TR1_1674373959,IRON,tr1
TR1_1686742513,IRON,tr1
TR1_1680172527,IRON,tr1
TR1_1686987448,IRON,tr1
TR1_1685383201,IRON,tr1
TR1_1686592329,IRON,tr1
TR1_1660595175,IRON,tr1
TR1_1683228918,IRON,tr1
TR1_1686015773,IRON,tr1
TR1_1684199921,IRON,tr1
TR1_1683941000,IRON,tr1
TR1_1685569972,IRON,tr1
TR1_1686975469,IRON,tr1
TR1_1683703571,IRON,tr1
TR1_1686981029,IRON,tr1
TR1_1687049136,IRON,tr1
TR1_1685361846,IRON,tr1
TR1_1685781309,IRON,tr1
TR1_1674990436,IRON,tr1
TR1_1620696742,IRON,tr1
TR1_1685250220,IRON,tr1
TR1_1686515808,IRON,tr1
TR1_1682861626,IRON,tr1
TR1_1685756320,IRON,tr1
TR1_1684557833,IRON,tr1
TR1_1682933037,IRON,tr1
TR1_1686970686,IRON,tr1
TR1_1683127978,IRON,tr1
TR1_1686268572,IRON,tr1
TR1_1686493479,IRON,tr1
TR1_1686750575,IRON,tr1
TR1_1685104950,IRON,tr1
TR1_1684346807,IRON,tr1
