tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,II,HisPlbs3C0i8vmx3urHwv01G8eFwvzgGSknduEGQIInwStkFmtpeeJK4dFje4N-hBM3LEDFih6jvZQ,047102d4-cbda-4da1-8cef-0c643b5049f6,35,4,7,False,False,False,False
BRONZE,II,jqqla9lYQXDMufV_mQG0Z40FXlfpyCjKJp5lGg8IlcqL44n4HZbIrrfYwPL31ZnFgS-zHWpjZW-oQw,b57033b7-242a-4dde-bb12-2a51a21e9945,61,1,4,False,False,False,False
BRONZE,I,DCWYxC_RBa9cYLnPf36xDiz-RA0_ZvkNxCc39nY6PBRXOYDuhlbjecoAqlut_Kggs6ddwltsN6QtgQ,37026d36-c3e0-45fd-a886-e5af8b5dbf41,55,3,2,False,False,False,False
BRONZE,II,5GlMJn4AkD1G03tVCxECLdxllgweFlrqNQ3oxOI1g67qenY6SwZU8nPHWNU1zhQAglhYdHnnkj5HRA,f58ed817-ed14-4759-8004-4dd7f5ee2b26,14,7,19,False,False,False,False
BRONZE,IV,JEswFRR0pTcZw8PKNz5K-8qvzvHo5aYDQIjOLda9kABYo-jkx294yRrbaDvqjRMylyfJ2BT_6rXNXw,641951d2-51bb-401f-b41c-ed85eb0c119d,30,3,4,False,False,False,False
BRONZE,IV,zwT-5lq2-SoLAusw1LatQz0JlWPNg5yEWhm1Depot_6FQpxbWLUjtT6SGp2KZlrJKxPNYtkgVKLyFA,d557945c-a65d-468a-aed0-abe5fa21ad79,0,2,5,False,False,False,False
BRONZE,II,Jtts5eoVqQJPIuEsELeY-f4J3KAkOgTwyyuLi0JCGQhSZ6bHLjaZB0J96ArY93Lc05GdsxbyLieHkA,2226dd37-a9fb-4d2a-9b74-7dbeeee03a1e,97,4,1,False,False,True,False
BRONZE,III,RSPykkuWIFEuMsZK-Sw5qVDTHy_g-3R4Q1TrGhNluv6v72jaa0mgbanTh2mVQBYOGlhFL_Nlmye4oA,165b5661-dced-469c-a2c1-762a31af5894,51,31,80,False,False,True,False
BRONZE,III,o6F844u82pq3GbZKk7_MoQkuSro3WSBUexakNeaVKn5O6cJ3AEFHaMRPuhlzJcsDH4qmndwe9b4ofg,00be363b-6b30-488e-aa0b-f1cf3e03d576,90,2,4,False,False,False,False
BRONZE,II,haIsuDZ2WfSia29Kt1cFktBMqb1PeG1xyU7MYDNVA-VuqXpv3YGCj8Caf_VUStK4ICq-rNSq_MGV8w,ca0137e7-8dea-49b3-a20b-7fad58843a4d,73,5,1,True,False,False,False
BRONZE,III,ZNveWG6KeLRC99Rxn5a_fYfuD-xZKuv7o77I0Kt7zGKzjsLbvN70Ae5azJITfUFiu3gFUhW60qhwcA,4aa2ba55-c061-490a-a96b-da3d69b87b4b,54,11,10,False,False,False,False
BRONZE,II,sYEeeBe6oEFA9OW2TL7YP99GjVay4JbfNqcEFLcBjFZ8PzkNh0UIF66JijP78vKRRdu7qPzB1slFtg,f1813697-a83d-48fe-83cf-3ce157b20332,40,3,3,False,False,False,False
BRONZE,II,xxhWvz6izWCd8wJZabJF4nDkyeKFFyG6V9La3ChTr4HYg8ABpqt1zjOc-w3aqIeTxrY_UTTOZ_i0yQ,00d03e47-21f3-4ed0-8b02-c4950568a1d7,27,28,36,False,False,False,False
BRONZE,IV,UIBIn1BdKZMAkxdyzadfnR1n9B6Q_EkNaWdI9iYsTIUBAzL7lKMe5eTeCZlRHiCor8-MmYIxoy5QRg,8d0dd920-1b52-41a2-83b2-3f300ab1082c,78,25,28,False,False,False,False
BRONZE,III,l2wqiP-I90beMt5ApqNiz2lysWcujN7jY4uxt3dwz9cPMkhqrWWzu-UgFl_IfdJKR1rHkfzMXK_CAw,de7688ab-e536-4113-9889-889363adaa78,85,8,5,False,False,False,False
BRONZE,III,BL5CAJKNzOI_JE1Uws3DGiXI7FhP8tc-rx6yQ-5rDgJ3uxFJoZwBJzOZ7ibuPeMkZij0IBGhth-UkQ,fcf1396c-2e16-4135-9aed-a2739181e861,41,5,7,False,False,False,False
BRONZE,IV,LcHkBWIzuFFKm9Lvm1wnuMn8OzixzJ69H4AzZRuV__xopvsACDKvlUxEMKLWE204yU7SjNHrx9t3uA,aa97d8d9-83b5-4675-a186-53c4e7ee8c19,74,6,8,False,False,False,False
BRONZE,III,UYoTLbao6aICugRyEjjtto-Se4qhhSTO9ynpPfbgq-icgcZhQhITwj_8rmhfdmuS0aJXrd4AdVdJ5Q,56232dad-38ed-4cbd-b2ae-e5026ca435f5,27,16,24,False,False,False,False
BRONZE,III,zKoPrcdl8KEkc74VnUaKDl3lUT9Zj3NqDm36SMVfDF-fmEAoTP0cKVn5ZKgCwMCK7KACaqEq9JrGQQ,d747f951-bf3d-4d03-a52d-8d32b448c372,56,7,3,False,False,False,False
BRONZE,III,ge9rgK-krshpsiebnIZhhzLCKu2vPDqU2Yq8WfMOKgz3nlt-HJAwSAOm84wfjipwBo2s34kVRhSZVg,8f6b3f52-62b2-4461-b6c3-6912d72f32b9,61,16,16,False,False,False,False
BRONZE,II,1q7i-OVP78S1GKoj41hFPUiekpScBh40tiX1BqLp2dZMEDV2Zr__hdfpZqm9FpmQqa3oYT-caeApHg,d1185c00-8a31-4706-a7cf-d61c642560b9,25,1,5,False,False,False,False
BRONZE,III,-vj6kwtZ5HpLBAMRhN9C9R479Vvujvs2bJjWk48PMoGjWsNf6M_jeXYKHS1-ngVFWhh39nv8pCUSFA,10b35977-75bb-4b9c-90db-8ef6f84ba108,80,7,4,False,False,False,False
BRONZE,II,qoAwgnUJXaUwES3VJOS4VVmjweZiuWaqmCbBhAgusmHV7VBp0XzwFc_CVu0zQhksWU2SE0lIH7xa1w,39db6eb8-5c1a-4a3e-b86e-9cf3e7ea9443,60,33,41,True,False,False,False
BRONZE,III,ZvtJxt9fqZxNiyRyu4RVhWIoM2a1YXJDRQdOjONPjnjz9hiRmZcbxMCDT1xxpoKSmGoCG9_wXY_b3w,95e4c877-5ff2-447d-a763-207b9cdd9aef,66,8,12,True,False,False,False
BRONZE,II,HmipRd-6VzkTrCuPuGN8_XHm496Mp3X3VmunOy5l5u2tUyCtPzFV8k8nBn_9Zi8PO3GLdLntTL0rBA,6c237f73-0c94-464a-a748-9ca18afba4b8,79,17,14,False,False,False,False
BRONZE,I,kLPW-Kxwt1qyiGvgO3KJN4QOzlbBdnmVeqBYq3nF0LxpZIzdJPKlXS58wmWBvi6XESPxW8rVGouBew,34279562-24f1-4453-be2a-8b921022cf83,98,5,9,True,False,False,False
BRONZE,III,Ylx57R9-6TM_WNq5fL7kM4iZY5sh0eB3tsPn0bGp5D1aGrvFp3DEiwdu02JqRGXwMM6wmBKcMawGmg,15215c09-3e0a-4d21-8aed-54004214503c,74,3,13,False,False,False,False
BRONZE,I,wInQpVwIsVrZ48k6vjonTrYglFNVSRWHQ2b9I6HxsCHQW6of42bX4F75EpPHzQqtitABgERty43D2g,40103f1e-ae0d-4b10-b46a-48e4bd6f5606,7,17,16,False,False,False,False
BRONZE,III,BBWz939ZhRsnhe1tz2uUm591psSrWZcWpkahK6gYIkomqUs-PyCn7DPZXYfeI3PgY8xqmMHqVvxTeA,639156fb-3de6-4448-a577-80449da59e2d,57,6,1,True,False,False,False
BRONZE,II,DzNyKREz4AHPt1j8_lwzY8x31uT35IbpUwCAsqpbEpJ1ARVcAWWRTS0Hm7n1NIIOa-rlbIfQy2mN0w,61986c4b-536c-4d8b-946b-060995e253de,16,12,8,False,False,False,False
BRONZE,IV,y1JRnpN23HJhxFeqFUo-W-BkMKlWVK4AxZ_zjMby3g32dmcCz1q_BpTQc2B8Ls-7aSY7094cWz4zOg,a27d9cce-2b96-4502-9578-87f87ac0be3b,0,13,21,False,False,False,False
BRONZE,IV,Hvt4RAOrpMb5qkDuef5DtTkv0Aas4WXVkOfHTNcRXwmhgIa4WBIRB4Id8CMlod9Xfp4-VySdHHu-IA,e33a8fc1-f1f7-4735-aa53-01db4d18cfd7,96,5,2,True,False,False,False
BRONZE,III,HzDQ-Yq7fN77YIsi-RK5zx4altmyCEU7rsWPqLusHLVKcB1p7bfJpjx9bTBM7jPltl3QprJ7119q0Q,dc0e41cb-75d4-4803-a5eb-673631117661,89,10,10,False,False,True,False
BRONZE,I,hhew99qmFarzo3r80-1MX5Ca50bckSxA6Hsao7Jx9Y48G924JdeABDxDCn0sfyPKWwx9GMlcputeHQ,b517d0d9-c3c2-487a-9ae9-98d635ace853,63,13,10,False,False,False,False
BRONZE,I,FJbzgl-qt3YFUYrtPS3kSVQ9KF_ctlbSkoHmqtzN-MSpvpbUGhe5qmn7uh_OuQFYz6Pq5_MUf-JOUQ,fe550af9-6c02-4838-a83d-d91d5312cb48,70,5,5,False,False,False,False
BRONZE,IV,6ojuLjatM3HCkh1-KJkXWFEzepFyk2rHu7g2UVgCMr-9vdgIfZQK27MqxyoeaeaBj4Q45YyW6sBNeQ,c0ce3cd5-fe90-436c-ad56-c313a8dbd6f2,0,2,4,False,False,False,False
BRONZE,II,XFuDll0bTv5Bll6nRR6-h8mvXPktv3LO942hfF7C9ZH20V1IxolMMQ_QLxeU-JYoUcHcWvg-SqlfSA,ec1e93e0-0076-4626-9197-8c597a4956ec,23,19,24,False,False,False,False
BRONZE,I,zxzNdmIXaG68vJgd7cjdHYqcGPTyYuU1M8taZXT_dUU3MLBMcfYlBtzmjbLGtbBExBn4dipGDnQSyQ,b58457d2-faf1-406b-b4f7-4e133dbe2226,55,7,6,False,False,False,False
BRONZE,II,wjXCkQszvDj8gSI4oEt4KsmWsCemJpLLOwYBrGvrWK2ark0AgB1ffq9DRkMtTozkc-ELRX1LFuJhkw,13117a3f-2a15-4447-903d-4b8c1fec7de2,0,2,4,False,False,False,False
