matchId,tier,platform
TR1_1685799830,PLATINUM,tr1
TR1_1680283880,PLATINUM,tr1
TR1_1681194317,PLATINUM,tr1
TR1_1685386980,PLATINUM,tr1
TR1_1682934716,PLATINUM,tr1
TR1_1681823091,PLATINUM,tr1
TR1_1686943774,PLATINUM,tr1
TR1_1683580209,PLATINUM,tr1
TR1_1686370672,PLATINUM,tr1
TR1_1685653237,PLATINUM,tr1
TR1_1686185076,PLATINUM,tr1
TR1_1684743653,PLATINUM,tr1
TR1_1682926537,PLATINUM,tr1
TR1_1685602979,PLATINUM,tr1
TR1_1682650491,PLATINUM,tr1
TR1_1684793584,PLATINUM,tr1
TR1_1685904801,PLATINUM,tr1
TR1_1686931583,PLATINUM,tr1
TR1_1682632106,PLATINUM,tr1
TR1_1686950494,PLATINUM,tr1
TR1_1684795738,PLATINUM,tr1
TR1_1683580194,PLATINUM,tr1
TR1_1686269198,PLATINUM,tr1
TR1_1682541936,PLATINUM,tr1
TR1_1683353255,PLATINUM,tr1
TR1_1686311553,PLATINUM,tr1
TR1_1686624367,PLATINUM,tr1
TR1_1679079982,PLATINUM,tr1
TR1_1685287797,PLATINUM,tr1
TR1_1678448845,PLATINUM,tr1
TR1_1626208938,PLATINUM,tr1
TR1_1683877807,PLATINUM,tr1
TR1_1685135930,PLATINUM,tr1
TR1_1686753021,PLATINUM,tr1
TR1_1681478341,PLATINUM,tr1
TR1_1685751353,PLATINUM,tr1
TR1_1683320558,PLATINUM,tr1
TR1_1684635150,PLATINUM,tr1
TR1_1681703440,PLATINUM,tr1
TR1_1681009654,PLATINUM,tr1
TR1_1686754031,PLATINUM,tr1
TR1_1680838767,PLATINUM,tr1
TR1_1679550241,PLATINUM,tr1
TR1_1681690523,PLATINUM,tr1
TR1_1685793298,PLATINUM,tr1
TR1_1684648456,PLATINUM,tr1
TR1_1686290896,PLATINUM,tr1
TR1_1685662641,PLATINUM,tr1
TR1_1682925231,PLATINUM,tr1
TR1_1683642215,PLATINUM,tr1
TR1_1679854159,PLATINUM,tr1
TR1_1684547757,PLATINUM,tr1
TR1_1686990152,PLATINUM,tr1
TR1_1684598974,PLATINUM,tr1
TR1_1685810116,PLATINUM,tr1
TR1_1685496260,PLATINUM,tr1
TR1_1686261317,PLATINUM,tr1
TR1_1682848267,PLATINUM,tr1
TR1_1683093719,PLATINUM,tr1
TR1_1682881854,PLATINUM,tr1
TR1_1682977688,PLATINUM,tr1
TR1_1684465668,PLATINUM,tr1
TR1_1686506024,PLATINUM,tr1
