tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,LMLiL0PLzP2A0VvYdR21v8VbXzGaCBhsQxuaQ2pU373qRHTgYvKrTV1pHVgkIdEK9wfAhAOMfr0wHg,640,95,83,True,False,True,False
MASTER,VrEnY0n8W1q6vc69oOFyQdq6i7NJyu2vowpjyFhTQkFGkJk47UQQJiZpVahsNaYczSLfR6kaGM1Dsg,569,88,87,False,False,True,False
MASTER,j8ngL_6G-lKBvmyLfgiDtbrwonklTbR7m8s-WnmYD3dxVPn8uiZcoOHN5rsuwYGyET161mVxzSVYlQ,567,120,95,True,False,True,False
MASTER,rjggrhVfMpNzZ5r4259cO_lAytafWccfeHXfPHH9NYGLGIsb_x_eJjWH9H5m2bnWvxA6SadEx7Mpog,529,50,29,False,False,True,False
MASTER,Guu5QN3_vWfIXB_7JuFtyMuPVuN1w2metQlPT6GanlSSvbJT1XgwXmDEWUjjky8PmJnaATP_7ENsKw,519,81,79,False,False,True,False
MASTER,YDyDvmY_ZAfTbdG8ADkCf1ZlSdcKPxDDK7tPPaHIO7phqHCj5weDBC6n37n7vynmHAKOMjMykPw_Pw,510,94,93,False,False,True,False
MASTER,T76qe7JieClneXcFPEVJlgAvI4sPbhwoaRhA81sNXuiMnkvM6eVax_05nyH2J_aQxqdHbeUOwog7iA,500,51,40,True,False,True,False
MASTER,NtmBjFE1s_OLP98Bonk7gI53besX__1wN8lL6IixiFOHnERoQgyStHiqgHHO_Ajj6chM0-U31QqQoQ,499,84,78,False,False,True,False
MASTER,fvwCRuQMgR3vrZUn02FDYgbQ5NV3zQgvM2hUGjvkFg8MPhHArsSm0nOMf-R7x9Fp6yHH7LM4-Frb2g,497,118,116,True,False,True,False
MASTER,HEc85W3YsMRxTKg45kcON2EtlrrDdFcMgXpMMuFyqb7pVTv6os7SUldmsd4U8WDIrDUVPpEa8WKMBw,496,108,94,True,False,False,False
MASTER,AJgS2zVZahkbxsNUi57jUo-tPodYk-kYiLvzXZJG1suUrg9uO9ukd4EnRL-aiFk2Hh2xAmhCPxMFrw,496,55,48,True,False,False,False
MASTER,Higdn9evMwPJZJS7i713M16BpkyOCC3i8z_GC8MdLjWyvDDRZzGBG73u3ly7yZbeuQ5Y4nJa-xG-DA,495,90,94,False,False,False,False
MASTER,C5_FeIEukXgnK8VYBfPvkkov4xT7c_i7O8KIZ5Zg7D-ym2of_VKGX3GwKsqQxs20mA6mHh8kU-_F6Q,495,71,46,False,False,True,False
MASTER,DGIMTz3edyZFRhR_R64dS-fbz8IXRCDrxI_cNJ1CGf0u0pgde-P-1OoMpatgOSiwgQX0oiBmLqOXEQ,494,71,37,False,False,True,False
MASTER,XAp3B_CkMRdfhFMgrqOB9949w5tyJEF_WOWmxxvi4KgmN-U5jU3uOQXzuzC_U7oaLmRhIoNrsNFS7A,489,76,61,False,False,True,False
MASTER,4VhQZddyg8YM0CsvaiUkwT-hoZBOSOtEgkn5jCeNGAPMfkj-UZPMM_e9iBIQO8dTTNLA-YgWhubstg,489,59,61,True,False,False,False
MASTER,olIAEKmonAqiqOypbuJhAZ-VoERdas-PTBZ0QePzK-JuKNQmvZd2EqTr4WviC6AALRgtBCqXbvNhGw,487,86,93,False,False,True,False
MASTER,zN7DHezHxR0MOju0bWQoO0rHatN57_J5y2vrDO_55wjG1HHeuFLfiV7j4MnULhwK3xaHrR0MTMox3w,487,84,83,False,True,False,False
MASTER,dCglDnpZDY3NqplJkap2Kz3V7ZctDUabKiiMwphXqLS2ySGr2UXjt4O6MAfdr4fPo2yDuxU6TSnpvg,487,72,65,False,False,True,False
MASTER,m7GnzHeiy4HXAVwFTPWTpGedRSDgjsrYreFxU_fxYLMBQNI-CE4jD2LdvUh4YcGtZWGjbLw3XR7prg,487,48,34,False,False,True,False
MASTER,Dpu7EKjQThG6sedSjBTNXxcCfTi1vAJ5K-EYflRpKpRx4DsuyYVeCdhAqlFVBLoYlv556mdQTNmCrw,486,62,42,True,False,False,False
