matchId,tier,platform
TR1_1686357703,SILVER,tr1
TR1_1662588023,SILVER,tr1
TR1_1682538582,SILVER,tr1
TR1_1685705677,SILVER,tr1
TR1_1681325751,SILVER,tr1
TR1_1681149267,SILVER,tr1
TR1_1680183747,SILVER,tr1
TR1_1685211071,SILVER,tr1
TR1_1685973829,SILVER,tr1
TR1_1685585553,SILVER,tr1
TR1_1681697826,SILVER,tr1
TR1_1686057576,SILVER,tr1
TR1_1675792738,SILVER,tr1
TR1_1681325906,SILVER,tr1
TR1_1685722030,SILVER,tr1
TR1_1681150429,SILVER,tr1
TR1_1685321736,SILVER,tr1
TR1_1686817485,SILVER,tr1
TR1_1686117328,SILVER,tr1
TR1_1685083322,SILVER,tr1
TR1_1686483812,SILVER,tr1
TR1_1682189956,SILVER,tr1
TR1_1681553051,SILVER,tr1
TR1_1682875223,SILVER,tr1
TR1_1686538372,SILVER,tr1
TR1_1681689553,SILVER,tr1
TR1_1685146378,SILVER,tr1
TR1_1684253788,SILVER,tr1
TR1_1678278661,SILVER,tr1
TR1_1683591715,SILVER,tr1
TR1_1686550235,SILVER,tr1
TR1_1673491596,SILVER,tr1
TR1_1684138218,SILVER,tr1
TR1_1686270130,SILVER,tr1
TR1_1676632660,SILVER,tr1
TR1_1681366925,SILVER,tr1
TR1_1679779791,SILVER,tr1
TR1_1686976850,SILVER,tr1
TR1_1686318816,SILVER,tr1
TR1_1685650737,SILVER,tr1
TR1_1682670452,SILVER,tr1
TR1_1686705660,SILVER,tr1
TR1_1685097693,SILVER,tr1
TR1_1685583331,SILVER,tr1
TR1_1685913034,SILVER,tr1
TR1_1524410705,SILVER,tr1
TR1_1685529506,SILVER,tr1
TR1_1686912931,SILVER,tr1
TR1_1687012529,SILVER,tr1
TR1_1686512676,SILVER,tr1
TR1_1683258502,SILVER,tr1
TR1_1677120033,SILVER,tr1
TR1_1684174619,SILVER,tr1
TR1_1682883288,SILVER,tr1
TR1_1623237902,SILVER,tr1
TR1_1682921581,SILVER,tr1
TR1_1683317928,SILVER,tr1
TR1_1683251351,SILVER,tr1
TR1_1685407073,SILVER,tr1
TR1_1684431801,SILVER,tr1
TR1_1682983802,SILVER,tr1
TR1_1685736679,SILVER,tr1
TR1_1686330721,SILVER,tr1
TR1_1686518216,SILVER,tr1
TR1_1684192916,SILVER,tr1
TR1_1686497296,SILVER,tr1
TR1_1683293673,SILVER,tr1
TR1_1683235718,SILVER,tr1
TR1_1686195536,SILVER,tr1
TR1_1678408525,SILVER,tr1
TR1_1686713179,SILVER,tr1
TR1_1680786106,SILVER,tr1
TR1_1686546123,SILVER,tr1
TR1_1682229725,SILVER,tr1
TR1_1684661524,SILVER,tr1
TR1_1684582050,SILVER,tr1
TR1_1686307096,SILVER,tr1
TR1_1685571350,SILVER,tr1
TR1_1681692961,SILVER,tr1
TR1_1682085786,SILVER,tr1
TR1_1687057840,SILVER,tr1
TR1_1686849790,SILVER,tr1
TR1_1682458110,SILVER,tr1
TR1_1685403860,SILVER,tr1
TR1_1683605717,SILVER,tr1
TR1_1680514926,SILVER,tr1
TR1_1677168370,SILVER,tr1
TR1_1686728625,SILVER,tr1
TR1_1686939510,SILVER,tr1
TR1_1686580475,SILVER,tr1
TR1_1678692545,SILVER,tr1
TR1_1666368478,SILVER,tr1
TR1_1683320653,SILVER,tr1
TR1_1683774612,SILVER,tr1
TR1_1680467429,SILVER,tr1
TR1_1685550306,SILVER,tr1
TR1_1676312907,SILVER,tr1
TR1_1675482691,SILVER,tr1
TR1_1683097458,SILVER,tr1
TR1_1676861716,SILVER,tr1
TR1_1684710222,SILVER,tr1
TR1_1674295425,SILVER,tr1
TR1_1685964519,SILVER,tr1
TR1_1686511713,SILVER,tr1
TR1_1684993849,SILVER,tr1
TR1_1682362534,SILVER,tr1
TR1_1683659381,SILVER,tr1
TR1_1685792487,SILVER,tr1
TR1_1677642198,SILVER,tr1
TR1_1675503209,SILVER,tr1
TR1_1687019779,SILVER,tr1
TR1_1681697084,SILVER,tr1
TR1_1676096508,SILVER,tr1
TR1_1686603482,SILVER,tr1
TR1_1686264411,SILVER,tr1
TR1_1684680509,SILVER,tr1
TR1_1685970274,SILVER,tr1
TR1_1671582585,SILVER,tr1
