matchId,gameMode,queueId,gameDuration,tier,platform
VN2_1253982459,URF,900,1114,BRONZE,br1
VN2_1247892554,CLASSIC,420,2100,BRONZE,br1
VN2_1222055338,CLASSIC,420,2364,BRONZE,br1
VN2_1221487716,CLASSIC,440,1797,BRONZE,br1
VN2_1205108921,CLASSIC,420,2226,BRONZE,br1
VN2_1203990318,URF,900,1052,BRONZE,br1
VN2_1236885587,CLASSIC,420,2155,BRONZE,br1
VN2_1253230557,CLASSIC,420,1663,BRONZE,br1
VN2_1252293205,CLASSIC,420,1769,BRONZE,br1
VN2_1242746898,CLASSIC,420,2023,BRONZE,br1
VN2_1240748495,CLASSIC,420,1425,BRONZE,br1
VN2_1245119634,CLASSIC,440,1184,BRONZE,br1
VN2_1195036222,URF,900,1209,BRONZE,br1
VN2_1234354362,CLASSIC,420,1417,BRONZE,br1
VN2_1247043129,CLASSIC,420,109,BRONZE,br1
VN2_1246513885,CLASSIC,440,1720,BRONZE,br1
VN2_1203235343,URF,900,623,BRONZE,br1
VN2_1251462723,CLASSIC,400,1784,BRONZE,br1
VN2_1087544994,CLASSIC,420,1922,BRONZE,br1
VN2_1233208033,URF,900,1680,BRONZE,br1
VN2_1211941077,ARAM,450,995,BRONZE,br1
VN2_1246823549,CLASSIC,420,2660,BRONZE,br1
VN2_1124437352,CLASSIC,420,1434,BRONZE,br1
VN2_1236984854,CLASSIC,420,2007,BRONZE,br1
VN2_1250554680,CLASSIC,420,2765,BRONZE,br1
VN2_1246611513,CLASSIC,420,3011,BRONZE,br1
VN2_1246973676,CLASSIC,420,2247,BRONZE,br1
VN2_1240528786,SWIFTPLAY,480,1516,BRONZE,br1
VN2_1251736220,CLASSIC,420,2541,BRONZE,br1
VN2_1242194891,CLASSIC,420,2548,BRONZE,br1
VN2_1253902453,URF,900,1432,BRONZE,br1
VN2_1251610089,CLASSIC,440,1790,BRONZE,br1
VN2_1243105084,URF,900,938,BRONZE,br1
VN2_1189019525,URF,900,1303,BRONZE,br1
VN2_1216463595,CLASSIC,420,2201,BRONZE,br1
VN2_1226730567,CLASSIC,420,195,BRONZE,br1
VN2_1254593353,CLASSIC,440,2110,BRONZE,br1
VN2_1185051419,CLASSIC,440,2320,BRONZE,br1
VN2_1248829086,CLASSIC,440,2185,BRONZE,br1
VN2_1246621241,CLASSIC,420,258,BRONZE,br1
VN2_1243940187,CLASSIC,420,1924,BRONZE,br1
VN2_1253896971,URF,900,1285,BRONZE,br1
VN2_1250381126,CLASSIC,420,2202,BRONZE,br1
VN2_1250201362,CLASSIC,420,80,BRONZE,br1
VN2_1220488045,CLASSIC,420,1383,BRONZE,br1
VN2_1252185077,URF,900,982,BRONZE,br1
VN2_1231695571,CLASSIC,420,2379,BRONZE,br1
