matchId,tier,platform
VN2_1253982459,BRONZE,vn2
VN2_1247892554,BRONZE,vn2
VN2_1222055338,BRONZE,vn2
VN2_1221487716,BRONZE,vn2
VN2_1205108921,BRONZE,vn2
VN2_1203990318,BRONZE,vn2
VN2_1236885587,BRONZE,vn2
VN2_1253230557,BRONZE,vn2
VN2_1252293205,BRONZE,vn2
VN2_1242746898,BRONZE,vn2
VN2_1240748495,BRONZE,vn2
VN2_1245119634,BRONZE,vn2
VN2_1195036222,BRONZE,vn2
VN2_1234354362,BRONZE,vn2
VN2_1247043129,BRONZE,vn2
VN2_1246513885,BRONZE,vn2
VN2_1203235343,BRONZE,vn2
VN2_1251462723,BRONZE,vn2
VN2_1087544994,BRONZE,vn2
VN2_1233208033,BRONZE,vn2
VN2_1211941077,BRONZE,vn2
VN2_1246823549,BRONZE,vn2
VN2_1124437352,BRONZE,vn2
VN2_1236984854,BRONZE,vn2
VN2_1250554680,BRONZE,vn2
VN2_1246611513,BRONZE,vn2
VN2_1246973676,BRONZE,vn2
VN2_1240528786,BRONZE,vn2
VN2_1251736220,BRONZE,vn2
VN2_1242194891,BRONZE,vn2
VN2_1253902453,BRONZE,vn2
VN2_1251610089,BRONZE,vn2
VN2_1243105084,BRONZE,vn2
VN2_1189019525,BRONZE,vn2
VN2_1216463595,BRONZE,vn2
VN2_1226730567,BRONZE,vn2
VN2_1254593353,BRONZE,vn2
VN2_1185051419,BRONZE,vn2
VN2_1248829086,BRONZE,vn2
VN2_1246621241,BRONZE,vn2
VN2_1243940187,BRONZE,vn2
VN2_1253896971,BRONZE,vn2
VN2_1250381126,BRONZE,vn2
VN2_1250201362,BRONZE,vn2
VN2_1220488045,BRONZE,vn2
VN2_1252185077,BRONZE,vn2
VN2_1231695571,BRONZE,vn2
VN2_1235313191,BRONZE,vn2
VN2_1253154018,BRONZE,vn2
VN2_1247174134,BRONZE,vn2
VN2_1252494470,BRONZE,vn2
VN2_1129910228,BRONZE,vn2
VN2_1241595084,BRONZE,vn2
VN2_1223727844,BRONZE,vn2
VN2_1243943274,BRONZE,vn2
VN2_1251749052,BRONZE,vn2
VN2_1253647105,BRONZE,vn2
VN2_1250563828,BRONZE,vn2
VN2_1250126176,BRONZE,vn2
VN2_1195219211,BRONZE,vn2
VN2_1232828084,BRONZE,vn2
VN2_1170462379,BRONZE,vn2
VN2_1210885773,BRONZE,vn2
VN2_1239293326,BRONZE,vn2
VN2_1155606805,BRONZE,vn2
VN2_1246605683,BRONZE,vn2
VN2_1240558861,BRONZE,vn2
VN2_1247050005,BRONZE,vn2
VN2_1210523888,BRONZE,vn2
VN2_1246552545,BRONZE,vn2
VN2_1253604548,BRONZE,vn2
VN2_1216240177,BRONZE,vn2
VN2_1252318085,BRONZE,vn2
VN2_1248297343,BRONZE,vn2
VN2_1253298164,BRONZE,vn2
VN2_1240892300,BRONZE,vn2
VN2_1252887836,BRONZE,vn2
VN2_1140603845,BRONZE,vn2
VN2_1239727380,BRONZE,vn2
VN2_1027196949,BRONZE,vn2
VN2_1249846069,BRONZE,vn2
VN2_1251411468,BRONZE,vn2
VN2_1212487681,BRONZE,vn2
VN2_1250895229,BRONZE,vn2
VN2_1250267484,BRONZE,vn2
VN2_1230699361,BRONZE,vn2
VN2_1246458103,BRONZE,vn2
VN2_1250036702,BRONZE,vn2
VN2_1220971653,BRONZE,vn2
VN2_1245310879,BRONZE,vn2
VN2_1250895491,BRONZE,vn2
VN2_1254642715,BRONZE,vn2
VN2_1242159016,BRONZE,vn2
VN2_1222453382,BRONZE,vn2
VN2_1239908024,BRONZE,vn2
VN2_1249291031,BRONZE,vn2
VN2_1229813082,BRONZE,vn2
VN2_1234532526,BRONZE,vn2
VN2_1247652642,BRONZE,vn2
VN2_1227943640,BRONZE,vn2
VN2_1248761648,BRONZE,vn2
VN2_1244354410,BRONZE,vn2
VN2_1247114862,BRONZE,vn2
VN2_1252194903,BRONZE,vn2
VN2_1252165097,BRONZE,vn2
VN2_1227475293,BRONZE,vn2
VN2_1249914237,BRONZE,vn2
VN2_1241743488,BRONZE,vn2
VN2_1253280221,BRONZE,vn2
VN2_1193173990,BRONZE,vn2
VN2_1222818146,BRONZE,vn2
VN2_1224551545,BRONZE,vn2
VN2_1253611129,BRONZE,vn2
VN2_1253804398,BRONZE,vn2
VN2_1208861583,BRONZE,vn2
VN2_1247995324,BRONZE,vn2
VN2_1216547437,BRONZE,vn2
VN2_1254651029,BRONZE,vn2
VN2_1241603227,BRONZE,vn2
VN2_1248832553,BRONZE,vn2
VN2_1249780571,BRONZE,vn2
VN2_1252938208,BRONZE,vn2
VN2_1182175505,BRONZE,vn2
VN2_1199991261,BRONZE,vn2
VN2_1252030195,BRONZE,vn2
VN2_1237140853,BRONZE,vn2
VN2_1251895215,BRONZE,vn2
VN2_1235679738,BRONZE,vn2
VN2_1236303243,BRONZE,vn2
VN2_1237330313,BRONZE,vn2
VN2_1242572665,BRONZE,vn2
VN2_1214699031,BRONZE,vn2
VN2_1252870181,BRONZE,vn2
VN2_1252806064,BRONZE,vn2
VN2_1247276066,BRONZE,vn2
VN2_1245973551,BRONZE,vn2
VN2_1253297990,BRONZE,vn2
VN2_1243638074,BRONZE,vn2
VN2_1252271517,BRONZE,vn2
VN2_1249965059,BRONZE,vn2
VN2_1056662098,BRONZE,vn2
VN2_1249549445,BRONZE,vn2
VN2_1239731018,BRONZE,vn2
VN2_1222223279,BRONZE,vn2
VN2_1250507607,BRONZE,vn2
VN2_1225199102,BRONZE,vn2
VN2_1253988869,BRONZE,vn2
VN2_1154386275,BRONZE,vn2
VN2_1253271315,BRONZE,vn2
VN2_1253327713,BRONZE,vn2
VN2_1239572380,BRONZE,vn2
VN2_1241104436,BRONZE,vn2
VN2_1237131040,BRONZE,vn2
VN2_1239888354,BRONZE,vn2
VN2_1246583966,BRONZE,vn2
VN2_1239291957,BRONZE,vn2
VN2_1253385249,BRONZE,vn2
VN2_1239436650,BRONZE,vn2
VN2_1238855741,BRONZE,vn2
VN2_1241634633,BRONZE,vn2
VN2_1204100177,BRONZE,vn2
VN2_1226425190,BRONZE,vn2
VN2_1243549762,BRONZE,vn2
VN2_1252360450,BRONZE,vn2
VN2_1252514776,BRONZE,vn2
VN2_1252901046,BRONZE,vn2
VN2_1247900037,BRONZE,vn2
VN2_1242179681,BRONZE,vn2
VN2_1234389177,BRONZE,vn2
VN2_1252557722,BRONZE,vn2
VN2_1200539299,BRONZE,vn2
VN2_1244985610,BRONZE,vn2
VN2_1246615873,BRONZE,vn2
VN2_1151652129,BRONZE,vn2
VN2_1249704436,BRONZE,vn2
VN2_1100298425,BRONZE,vn2
VN2_1227767692,BRONZE,vn2
VN2_1249529867,BRONZE,vn2
VN2_1224649510,BRONZE,vn2
VN2_1246684131,BRONZE,vn2
VN2_1235646828,BRONZE,vn2
VN2_1231756915,BRONZE,vn2
VN2_1244335200,BRONZE,vn2
VN2_1251440283,BRONZE,vn2
VN2_1245503634,BRONZE,vn2
VN2_1243691365,BRONZE,vn2
VN2_1153393376,BRONZE,vn2
VN2_1254194497,BRONZE,vn2
VN2_1248417272,BRONZE,vn2
VN2_1184440031,BRONZE,vn2
VN2_1254399136,BRONZE,vn2
VN2_1216133912,BRONZE,vn2
VN2_1206899222,BRONZE,vn2
VN2_1220329245,BRONZE,vn2
VN2_1253449784,BRONZE,vn2
VN2_1244257319,BRONZE,vn2
VN2_1165481389,BRONZE,vn2
VN2_1251815733,BRONZE,vn2
VN2_1239541410,BRONZE,vn2
VN2_1243731456,BRONZE,vn2
VN2_1240579493,BRONZE,vn2
VN2_1231779961,BRONZE,vn2
VN2_1251865685,BRONZE,vn2
VN2_1245491366,BRONZE,vn2
VN2_1241959665,BRONZE,vn2
VN2_1150045337,BRONZE,vn2
