tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,_lvybocoQ-VB__iaQt6ZLdWo2Y4e5-Vvj2Y-JXlL1TNJbJX4JY_F7PsBVyvlKy2_1kY2arNpUEMW0A,484,81,74,False,False,True,False
MASTER,gQfJPSdwTnKXe43zuJRUTVH74duMMJQ00pBrPlqUZx64YOsaSShPNQYSe3qOC1NhrGK8GWlZa5ohbg,11,26,23,False,False,True,False
MASTER,3CjDxBvpgmpz3ld6McTgaEYfrHTK3Vydv1iEMj0R_I8aKF8y3lEroQhlw5IJlufatQ7qMmDc4lDNEw,339,60,39,True,False,True,False
MASTER,ZivRNbwTUTiX9x4mzoYR9IId1Wdl7mTvM1n7bXrhgZKApRHt7eM0jMuAGv2UnlPux9CHi6s0zbdIgQ,195,48,47,False,False,False,False
MASTER,Qf8ICFbt00tB9X1FKAIhNbFJMW-DPUip3nnBz6YkLdUt6rKf21uEAbXPjoUyTxURmg1xcEZqdF4UHA,130,35,20,False,False,False,False
MASTER,F3zdhOidHIGxZJCGsfdBM9GHX5mTc2s4yNjUe6majkIjOtGOY8vmdoBRmL_0tOuaiCM21agtk2yNjA,1,54,49,False,False,True,False
GRANDMASTER,wu1BQ9F9dpYYQmHO9ViUw5Y8qt955tdOeMXXKyfleQoIQHiFKEOPGhSCll1pgWMDNITpOWF44z0NGA,648,89,79,True,False,True,False
MASTER,BhoOIGXapzYIkg_tYDm7d6tEyN5YGHNheHGxiwMPrbD4I_tt0N4xkrcAIDvTlLjPdfOsraVC56RwQQ,37,43,31,False,False,True,False
MASTER,S_e6yG7uzmh72ViAdGg5wvBXz0R-W4SVshuEUhIXqx5jNBqafRPkE_UAp5zA8hi7_mE8jKCVga_oDg,43,43,38,False,False,True,False
MASTER,kiNqkcUVxvanww8ANoUe-NoPWAw6jF8ht7zuapW4yQiPX-x1FDb690SYfbUPBZQSTcUGeimkf-1B0w,298,97,71,False,False,True,False
MASTER,V-hmz4mIwVXyOBAsuLuq8UqKcSGbBMFBXGDrYlbtD4CUG9tR0z7cY0HeZ6QlTjqyk8zJ2ftpbzaPOg,498,87,76,False,False,True,False
MASTER,zDqSFPSnCrOc6R3SPfX-WDpxZ3yhAPENrApRsufSVI0YeWrlaMTbYZVsfDxnGH3blpUzV93fOqI-Nw,119,119,126,False,False,True,False
MASTER,K196EpTV9Y25nUsgsJ6UBHEn6qF4tgDBOCwwbg19Pf2L0lpXkZgqespHgxR4Cn0VSHjAeaKgv42NFg,79,32,23,False,False,False,False
GRANDMASTER,ik2FHrom4a1Wzazb-kJGB05jMaylkAz6BoXiuucZs2X6n20nFpsprJfyBcBNKMGMcGHn32hHoOA_9w,647,106,90,False,False,False,False
CHALLENGER,Rt8nycS-5Kd8ccLRbAnlcHCcraHhwQsWdkYTXy3GnfJPnZihn_PiyIp6pT6JnWjwPJv-bwBU23B50w,1019,127,117,False,True,False,False
MASTER,a4x6OsrOk5EZ0p5gsTAfhvAz5_YVnWhj8Cr0s4P9oX6hvqK1cVqxi9CWl3p7S8EZ4ZvBahUsz8c6xg,191,48,42,True,False,False,False
MASTER,XL-ctnG3UxB1_ahPOZ5MtwOKOyu_FTGkjHoIZ8XqtvrDUtzCuLmJteELXmX7plFTosVUelxbgbYWMw,369,58,55,False,False,False,False
MASTER,pTCzQuBNjXd-FHY3UZiNQWXofpa6cP1-Eu4TugYqLut2xDgNVdZCWqpIzQs-qekKp1Qx5U7TXP_RlQ,223,242,208,True,False,True,False
MASTER,cCaWt22gfaPrfDEcOHtSBDx0CGgBbEg2w71PsW4S59lGzE6innPpkJRHg-BV1gade8ATnx6CbRWRZw,14,21,13,False,False,True,False
MASTER,Czqdh_t1cPzbqlaiAXpH-VD3byE8750jkQpwqSYlun-IlLteNtN7RxkhvocoNY48bdzZVYggak0ICA,530,122,80,False,False,False,False
GRANDMASTER,8b2Q3_6r1me3H7bp-vPN_ml2TpNmtOmxbLvErUHcR53z_lmm5l_Hq5ZTlApYOyojZuZ2Fi_Y5t_-iQ,838,80,44,True,False,False,False
MASTER,zFmFSHstt0CyB0tPsh6bO6F0L0SINQZBu-_-PNgqAJAABpsjMkMPBs82V2mRsRSL_VimGkcSH0ahyw,505,48,46,False,False,False,False
MASTER,ZYbvxIZyJvhVdvYhCSO6gcJ-0wG1OwMefMA_agbL1kYIDApF_NZCWkHaCx1DH-IsUvrva6WqEPTJaA,243,48,28,False,False,False,False
MASTER,pnKPzO69FYyloc3GwhlJexWqAckwXoqapW_GKHP2nRRV4DDvpO9BlsnsZiqNKmG1xhOrEONy5nnY8Q,148,60,69,False,False,False,False
MASTER,IMJ1ftzm7VHNHZtgOd_cDLnPrT9gVOP9D86eZATYM-KXuNApuRfM9VgqxIIpV0PYCv58W3aPnwLntA,8,125,92,True,False,True,False
MASTER,T1HIbEQYciXgJD6F2FpCEIMzf7WgMwLZS9kn-eJNAf3GAkpHufmQqLpNuwRarFwmW0JRutjT3Zvouw,206,40,33,False,False,False,False
MASTER,etAJ36zuoeS3DwWD2FbCejsZUmmX8SZEwf7svLSe-VJNp19uATqjlh8uBiZg1u9HBu4v1CQPQP_rcg,352,165,163,False,True,False,False
CHALLENGER,EBcIZACUixmAVy-NcZkJB7s7WEDu0c1sLP3uwp75vbysZkbrU3YyYYnJWtonmW1E2KH6u9qnMUJgbw,1191,68,32,True,False,False,False
MASTER,X92zCA8cnAtLwVCHo3v7ThWPa429D8QhBKGm2BXEQ2QvjfzZ9Yhv1f9wjarCZSsdZqLZKo9jbBEH_w,55,40,40,False,False,True,False
MASTER,dFhx8MkiPiB-6uK1fBH_rrxNY_yqjphxnU32WM9nAq865ciLTa3Q-ci8Gtv0nDGi-SCDf1szmvPBcw,394,43,22,False,False,False,False
MASTER,CwwOQm9-oNdRTkkK-O3_nGwva9W5ElAwsOLdn4a-RA8SLn33eFmEV0GhiNOSEyh_PLkftnKl2IU-UQ,138,27,16,True,False,True,False
MASTER,4_Gupi83qcpg3W2dDJte_dVBccI1zJI7BWECaiDYA7wCOEml1rB_zaXv-uRxbEwBU7vGSdVp7aJ2AQ,214,33,19,False,False,False,False
GRANDMASTER,SjTKnnbebfqQNc229B6T_wBxU8blDJLsy-tHfhGpsxEM4UMsvAxbQOBjFEdzHUmZHwNZEXV356IKOQ,679,159,142,False,False,False,False
MASTER,QzPjuQIjijTG419fpnlPQ4kx0dqFDhrD7UZ9jxOzMz2kJhNFJRpvFv1EYZBOnqlFJIGY_aXid3duZw,16,81,68,True,False,True,False
MASTER,fdoVdZvI3TDBs4rDw8TzLy_lpnPw3ttN-0yU5sn9-QwX_gWs8ni36nsk9r7qXSPH-wEU8MHkcLL_Qw,1,26,38,False,False,False,False
MASTER,O0yGLpi3XBWP8MMYYHd7Bs3pGZvHYNVkZ7IOpFMpiA0prFGKC6JcRVKwL318R5Lqp1xNbdH7SpLMPw,543,169,95,True,False,False,False
MASTER,Y4gc2sZH6ziu2psINcMj6zthN0ecmlGcTjzu89kyzLjD4beGjpQXMAOlwApbYcfbkzbyfW7IDg3tkg,412,70,79,False,False,False,False
MASTER,-MIbO-7WaRi0tU_Wvq3fiFQZz0bn0_8x9eMTTAO6G0lMCjKi8SlFXyAcId18skLK5SbcXfBOh8vRYw,50,167,89,False,False,True,False
MASTER,TTYhhe0KmBS8ensg12CHSG94UM5bgaeDo7bRsbmOrZqsh0kXbgyr-WYlTeLqbZGXfTXT4ri-hZyuSg,194,36,40,True,False,False,False
MASTER,hpLDHLMir9_sZvUYHv0tXGAJM8c41urTJHnCgFqEMtr_Y5m_2nMoD6QqbDuuczGBpQNj7yaHtQ4yVg,485,87,82,False,False,True,False
MASTER,jNQrfmYfwfBeft7ll3B7k_vQ_EMPS-AiNgf7_IyMKBT5zA-nyBXbUl0B_oM7LPFe3KigqQO83rfzjA,350,38,27,False,False,False,False
MASTER,D91pyChErvZIn0vbOM-ZUpuLcj84qQhZITIa35kZd3l4LA8sMq0rZ80in0WKDGLrJf1UJzRKPSU1vw,51,50,37,False,False,False,False
MASTER,9Qvitb5nc8509elG0EfFasUvhjmbntOQgIg6wZg5guOVgwFEW-Bh1uyy9UKUCRLbEC5Hukiv3BU5Jg,348,110,109,False,True,False,False
GRANDMASTER,ixv1Fqb3_GILsJyja0PemCCX1ZoS8cPF2o_NvdeTv9DZuFwX00CQokuD0oT8cpm-4PkfO84NibQHpw,712,97,77,True,False,True,False
MASTER,Z15jKH5ahpOK_ID-dwklIU0Ka9ZRKxy3_edctkpT4Nc6tKNPB7Eu4GvShHEi16b1ydKdwYRYguPjNg,155,79,73,False,False,True,False
MASTER,LGFNfklWXIS7aOF2LJQ2npdKVQyKDY-XjzqNAHWmt2f_EuNuRBOZGLnH4uCzwXXmLNLKjdKK6xLcag,322,62,70,False,False,False,False
MASTER,9eUuUXz3CZSdXOVWSL1ll00CJYDszDGHeN7u-zDNm13QaXzILg7fUvKbeN7_3MWnEHPP3XVNBx_9fg,234,51,46,False,False,False,False
MASTER,Ko_K_5SasPeGMDz7c3r1ZfZleLpUySpbIYTSh3C-MX_Nsvvm66QDzryPWEz4cdTMbwFaKzmgsTIZ1A,116,67,62,False,False,False,False
MASTER,oVauLjrnV6oCR4fe4shOun32booIZZhTuHjxD6nZdhp3y_fAsQL3rTi1vxJxW-2naYyVhAHyU-xPHw,121,62,66,False,False,True,False
MASTER,ZnT9Bhe4OOmdmtQpBOQgh9k8tk-wHOy_Ft4bf8Osm8dQhzL9fZgKcQTfylVSM4epLtYxBSUkzbvuIw,0,46,39,False,False,False,False
MASTER,ALfKtXWeOQP4egEIRhaGxGi8oObQUwaVRzlsCv-iw2tCAYDHl3uLYq3PmX1mfeFuZRPddKvFPjm2Lw,109,71,46,False,False,False,False
MASTER,Xp2QEwleilSat3Kp-tmRAYawe37B4YtEWbhD9ue-yo3WdbVDKeiVfgLLpiiSJb3cunEVf3dySTi3GQ,124,52,41,False,False,True,False
MASTER,FknyXW53CH9EybPHM4MExWOwWmm_cWMXBdxYmBuY-xcz6kuZ2JuIgBlpuNi7TLfj2dAjUrPGU2zCQA,557,130,126,False,True,False,False
MASTER,8JB3DXkvhv_N_S3Z0BdEsK5kRHUpbxRaBpMsGqdWdNIW49GdXXzq5msd9SCET_p9JdF7HdL4Rde3DA,560,84,56,False,False,True,False
MASTER,XSHmmtrCtbwYm3pcwyckrM2eXCPkjfWyIlUaX3FkQPoi_Sabq4MaiEfr07eZhZOpgTthpTAA_7pVfg,24,24,16,False,False,True,False
MASTER,Asq1euinwHFdJpP6DktK_jOOcf3OfT9fkLZfYTP0OZmypUO4shbs2WW9bet6mNhsUsUbdXtKpp_gKw,0,55,46,False,False,False,False
MASTER,9lvbwEbNSCfhPopA8Uru04SC0lOGetxUOxVqLFtre5iUMkDefBPAOFGE0bmTjpBm02sb9fZ3y-MV0A,516,86,73,False,False,False,False
MASTER,PqQKJip5OGcAiYRA4EBr6PJattTtxSRo9Y3p8TqJ7yAutVMmEvxWZnAnuJoBHKyuv4Eh_wfgOKSfKA,150,50,35,False,False,False,False
MASTER,mx62NfBu_R_FGM5I7KyGhcO-R95iGcynCnN9qyslxTiEzvJQE_sFnQxHJvbIxqR84cJm5_Qs2dhNyA,76,47,44,False,False,False,False
MASTER,rUV70g5ivDu6n9ceOlW3kSdVoFhLqICFOuJFblVRV8kW_vfZrHOnu7iJlw_PCsGvV-U4nqlndJx7kQ,469,108,111,False,False,False,False
MASTER,xrf8ShnGjAL3zJF7_5CLGH1SXQ69IywNPFVPLO7wLUdPxCTZd8ToHkokENP0u0HKSRkvsbi61nIFaQ,135,40,39,False,False,False,False
