matchId,tier,platform
VN2_1249446319,DIAMOND,vn2
VN2_1253707824,DIAMOND,vn2
VN2_1222600358,DIAMOND,vn2
VN2_1235251168,DIAMOND,vn2
VN2_1238060967,DIAMOND,vn2
VN2_1253229120,DIAMOND,vn2
VN2_1252809129,DIAMOND,vn2
VN2_1236520636,DIAMOND,vn2
VN2_1210235695,DIAMOND,vn2
VN2_1250903519,DIAMOND,vn2
VN2_1243767866,DIAMOND,vn2
VN2_1248896264,DIAMOND,vn2
VN2_1249152233,DIAMOND,vn2
VN2_1253999464,DIAMOND,vn2
VN2_1248147910,DIAMOND,vn2
VN2_1232808688,DIAMOND,vn2
VN2_1231160870,DIAMOND,vn2
VN2_1247522090,DIAMOND,vn2
VN2_1247315383,DIAMOND,vn2
VN2_1248716492,DIAMOND,vn2
VN2_1225184744,DIAMOND,vn2
VN2_1224970237,DIAMOND,vn2
VN2_1243879688,DIAMOND,vn2
VN2_1239132319,DIAMOND,vn2
VN2_1230271196,DIAMOND,vn2
VN2_1218201252,DIAMOND,vn2
VN2_1253112608,DIAMOND,vn2
VN2_1252430965,DIAMOND,vn2
VN2_1251743184,DIAMOND,vn2
VN2_1252071848,DIAMOND,vn2
VN2_1252482616,DIAMOND,vn2
VN2_1251513189,DIAMOND,vn2
VN2_1205594658,DIAMOND,vn2
VN2_1251424348,DIAMOND,vn2
VN2_1229254968,DIAMOND,vn2
VN2_1247622969,DIAMOND,vn2
VN2_1248506800,DIAMOND,vn2
VN2_1254566690,DIAMOND,vn2
VN2_1253143857,DIAMOND,vn2
VN2_1250155233,DIAMOND,vn2
VN2_1252473421,DIAMOND,vn2
VN2_1245641312,DIAMOND,vn2
VN2_1234010112,DIAMOND,vn2
VN2_1251159760,DIAMOND,vn2
VN2_1238795018,DIAMOND,vn2
VN2_1225122672,DIAMOND,vn2
VN2_1254303019,DIAMOND,vn2
VN2_1243624535,DIAMOND,vn2
VN2_1232058675,DIAMOND,vn2
VN2_1216201880,DIAMOND,vn2
VN2_1242300995,DIAMOND,vn2
VN2_1250416896,DIAMOND,vn2
VN2_1227579217,DIAMOND,vn2
VN2_1249151376,DIAMOND,vn2
VN2_1250092812,DIAMOND,vn2
VN2_1251691899,DIAMOND,vn2
VN2_1232983796,DIAMOND,vn2
VN2_1246842334,DIAMOND,vn2
VN2_1251274506,DIAMOND,vn2
VN2_1251017253,DIAMOND,vn2
VN2_1250184627,DIAMOND,vn2
VN2_1251282514,DIAMOND,vn2
VN2_1251956158,DIAMOND,vn2
VN2_1250372339,DIAMOND,vn2
VN2_1250340922,DIAMOND,vn2
VN2_1247155628,DIAMOND,vn2
VN2_1250139647,DIAMOND,vn2
VN2_1239042875,DIAMOND,vn2
VN2_1246091762,DIAMOND,vn2
VN2_1245604791,DIAMOND,vn2
VN2_1227978764,DIAMOND,vn2
VN2_1252639092,DIAMOND,vn2
VN2_1247796716,DIAMOND,vn2
VN2_1231151682,DIAMOND,vn2
VN2_1240927783,DIAMOND,vn2
VN2_1247820047,DIAMOND,vn2
VN2_1243856733,DIAMOND,vn2
VN2_1242335885,DIAMOND,vn2
VN2_1251354440,DIAMOND,vn2
VN2_1249958820,DIAMOND,vn2
VN2_1254171071,DIAMOND,vn2
VN2_1247847553,DIAMOND,vn2
VN2_1251252159,DIAMOND,vn2
VN2_1242520381,DIAMOND,vn2
VN2_1252224334,DIAMOND,vn2
VN2_1252635232,DIAMOND,vn2
VN2_1247969712,DIAMOND,vn2
VN2_1238026145,DIAMOND,vn2
VN2_1251906076,DIAMOND,vn2
VN2_1233677183,DIAMOND,vn2
VN2_1247901844,DIAMOND,vn2
VN2_1231618308,DIAMOND,vn2
VN2_1247715121,DIAMOND,vn2
VN2_1240964890,DIAMOND,vn2
VN2_1253910086,DIAMOND,vn2
VN2_1251220348,DIAMOND,vn2
VN2_1243154851,DIAMOND,vn2
VN2_1239004504,DIAMOND,vn2
VN2_1248520901,DIAMOND,vn2
VN2_1248326489,DIAMOND,vn2
VN2_1233535238,DIAMOND,vn2
VN2_1243803529,DIAMOND,vn2
VN2_1251580892,DIAMOND,vn2
VN2_1254169720,DIAMOND,vn2
VN2_1254158764,DIAMOND,vn2
VN2_1247772718,DIAMOND,vn2
VN2_1254127313,DIAMOND,vn2
VN2_1254066701,DIAMOND,vn2
VN2_1252517900,DIAMOND,vn2
VN2_1224240156,DIAMOND,vn2
VN2_1239159245,DIAMOND,vn2
VN2_1251726874,DIAMOND,vn2
VN2_1254279585,DIAMOND,vn2
VN2_1227620016,DIAMOND,vn2
VN2_1239222730,DIAMOND,vn2
VN2_1253223710,DIAMOND,vn2
VN2_1240554268,DIAMOND,vn2
VN2_1241881763,DIAMOND,vn2
VN2_1253951799,DIAMOND,vn2
VN2_1242554957,DIAMOND,vn2
VN2_1247500915,DIAMOND,vn2
VN2_1244024138,DIAMOND,vn2
VN2_1254344973,DIAMOND,vn2
VN2_1250668550,DIAMOND,vn2
VN2_1248734739,DIAMOND,vn2
VN2_1238284063,DIAMOND,vn2
VN2_1242675754,DIAMOND,vn2
VN2_1253914158,DIAMOND,vn2
VN2_1242369640,DIAMOND,vn2
VN2_1248876207,DIAMOND,vn2
VN2_1234876863,DIAMOND,vn2
VN2_1252469988,DIAMOND,vn2
VN2_1254673121,DIAMOND,vn2
VN2_1214610024,DIAMOND,vn2
VN2_1249829416,DIAMOND,vn2
VN2_1238967223,DIAMOND,vn2
VN2_1246375524,DIAMOND,vn2
VN2_1244103288,DIAMOND,vn2
VN2_1250989559,DIAMOND,vn2
VN2_1230316664,DIAMOND,vn2
VN2_1248883498,DIAMOND,vn2
VN2_1241416855,DIAMOND,vn2
VN2_1248967976,DIAMOND,vn2
VN2_1251045634,DIAMOND,vn2
VN2_1232654997,DIAMOND,vn2
VN2_1231545178,DIAMOND,vn2
VN2_1248382997,DIAMOND,vn2
VN2_1243082474,DIAMOND,vn2
VN2_1249962891,DIAMOND,vn2
VN2_1246768286,DIAMOND,vn2
VN2_1251877823,DIAMOND,vn2
VN2_1241997135,DIAMOND,vn2
VN2_1217652267,DIAMOND,vn2
VN2_1245062851,DIAMOND,vn2
VN2_1249498665,DIAMOND,vn2
VN2_1247520326,DIAMOND,vn2
VN2_1242428324,DIAMOND,vn2
VN2_1237617312,DIAMOND,vn2
VN2_1248050355,DIAMOND,vn2
VN2_1245840928,DIAMOND,vn2
VN2_1229018080,DIAMOND,vn2
VN2_1236099812,DIAMOND,vn2
VN2_1253596646,DIAMOND,vn2
VN2_1227821506,DIAMOND,vn2
VN2_1253881713,DIAMOND,vn2
VN2_1232880670,DIAMOND,vn2
VN2_1239371611,DIAMOND,vn2
VN2_1247426327,DIAMOND,vn2
VN2_1247891111,DIAMOND,vn2
VN2_1251994453,DIAMOND,vn2
VN2_1231608154,DIAMOND,vn2
VN2_1254173579,DIAMOND,vn2
VN2_1251438744,DIAMOND,vn2
VN2_1210359362,DIAMOND,vn2
VN2_1249730895,DIAMOND,vn2
VN2_1254582789,DIAMOND,vn2
VN2_1251114761,DIAMOND,vn2
VN2_1224933386,DIAMOND,vn2
VN2_1244947770,DIAMOND,vn2
