matchId,tier,platform
VN2_1250586650,EMERALD,vn2
VN2_1254217952,EMERALD,vn2
VN2_1253988757,EMERALD,vn2
VN2_1229553616,EMERALD,vn2
VN2_1242453324,EMERALD,vn2
VN2_1232620185,EMERALD,vn2
VN2_1244244361,EMERALD,vn2
VN2_1251645177,EMERALD,vn2
VN2_1247148967,EMERALD,vn2
VN2_1251281087,EMERALD,vn2
VN2_1239954471,EMERALD,vn2
VN2_1247935103,EMERALD,vn2
VN2_1251553517,EMERALD,vn2
VN2_1251631989,EMERALD,vn2
VN2_1207382111,EMERALD,vn2
VN2_1220949055,EMERALD,vn2
VN2_1253717444,EMERALD,vn2
VN2_1254245665,EMERALD,vn2
VN2_1239313448,EMERALD,vn2
VN2_1251966775,EMERALD,vn2
VN2_1249755522,EMERALD,vn2
VN2_1249598995,EMERALD,vn2
VN2_1249400898,EMERALD,vn2
VN2_1251638029,EMERALD,vn2
VN2_1250390329,EMERALD,vn2
VN2_1254696172,EMERALD,vn2
VN2_1246254835,EMERALD,vn2
VN2_1251510479,EMERALD,vn2
VN2_1223073916,EMERALD,vn2
VN2_1254151228,EMERALD,vn2
VN2_1254147210,EMERALD,vn2
VN2_1249830847,EMERALD,vn2
VN2_860775918,EMERALD,vn2
VN2_1244422433,EMERALD,vn2
VN2_1252392628,EMERALD,vn2
VN2_1253218225,EMERALD,vn2
VN2_1243258012,EMERALD,vn2
VN2_1244278897,EMERALD,vn2
VN2_1253938408,EMERALD,vn2
VN2_1251900020,EMERALD,vn2
VN2_1239044403,EMERALD,vn2
VN2_1232046225,EMERALD,vn2
VN2_1254098191,EMERALD,vn2
VN2_1196685181,EMERALD,vn2
VN2_1253399225,EMERALD,vn2
VN2_1251666271,EMERALD,vn2
VN2_1246012640,EMERALD,vn2
VN2_1153697495,EMERALD,vn2
VN2_1249602843,EMERALD,vn2
VN2_1252635232,EMERALD,vn2
VN2_1250671216,EMERALD,vn2
VN2_1250509976,EMERALD,vn2
VN2_1248331976,EMERALD,vn2
VN2_1251715176,EMERALD,vn2
VN2_1253037975,EMERALD,vn2
VN2_1230230951,EMERALD,vn2
VN2_1251060439,EMERALD,vn2
VN2_1252810686,EMERALD,vn2
VN2_1252613614,EMERALD,vn2
VN2_1112526048,EMERALD,vn2
VN2_1247313350,EMERALD,vn2
VN2_1250414116,EMERALD,vn2
VN2_1251238361,EMERALD,vn2
VN2_1248475739,EMERALD,vn2
VN2_1251869901,EMERALD,vn2
VN2_1236931689,EMERALD,vn2
VN2_1249974283,EMERALD,vn2
VN2_1242601729,EMERALD,vn2
VN2_1211282025,EMERALD,vn2
VN2_1254629969,EMERALD,vn2
VN2_1251765712,EMERALD,vn2
VN2_1253901717,EMERALD,vn2
VN2_1235627755,EMERALD,vn2
VN2_1232224230,EMERALD,vn2
VN2_1245462348,EMERALD,vn2
VN2_1249869631,EMERALD,vn2
VN2_1252526000,EMERALD,vn2
VN2_1228056086,EMERALD,vn2
VN2_1233085714,EMERALD,vn2
VN2_1251946971,EMERALD,vn2
VN2_1252699493,EMERALD,vn2
VN2_1247035287,EMERALD,vn2
VN2_1248325079,EMERALD,vn2
VN2_1252071360,EMERALD,vn2
VN2_1253462238,EMERALD,vn2
VN2_1243555101,EMERALD,vn2
VN2_1239274352,EMERALD,vn2
VN2_1214165749,EMERALD,vn2
VN2_1246738779,EMERALD,vn2
VN2_1252753368,EMERALD,vn2
VN2_1237908573,EMERALD,vn2
VN2_1241533561,EMERALD,vn2
