matchId,tier,platform
VN2_1216036236,GOLD,vn2
VN2_1249157982,GOLD,vn2
VN2_1221653550,GOLD,vn2
VN2_1238460219,GOLD,vn2
VN2_1248462732,GOLD,vn2
VN2_1251061664,GOLD,vn2
VN2_1247951875,GOLD,vn2
VN2_1251696794,GOLD,vn2
VN2_1252983038,GOLD,vn2
VN2_1234721478,GOLD,vn2
VN2_1238803983,GOLD,vn2
VN2_1250510594,GOLD,vn2
VN2_1218994686,GOLD,vn2
VN2_1253239567,GOLD,vn2
VN2_1247892538,GOLD,vn2
VN2_1251111491,GOLD,vn2
VN2_1252082292,GOLD,vn2
VN2_1240229002,GOLD,vn2
VN2_1196799726,GOLD,vn2
VN2_1253358827,GOLD,vn2
VN2_1214246587,GOLD,vn2
VN2_1240410216,GOLD,vn2
VN2_1245543856,GOLD,vn2
VN2_1248963547,GOLD,vn2
VN2_1247997624,GOLD,vn2
VN2_1249611736,GOLD,vn2
VN2_1252347088,GOLD,vn2
VN2_1238204332,GOLD,vn2
VN2_1247762851,GOLD,vn2
VN2_1235740793,GOLD,vn2
VN2_1241083418,GOLD,vn2
VN2_1252969539,GOLD,vn2
VN2_1242550248,GOLD,vn2
VN2_1252529729,GOLD,vn2
VN2_1246675615,GOLD,vn2
VN2_1200010839,GOLD,vn2
VN2_1250400133,GOLD,vn2
VN2_1251876102,GOLD,vn2
VN2_1248107157,GOLD,vn2
VN2_1228859617,GOLD,vn2
VN2_1250450408,GOLD,vn2
VN2_1244375296,GOLD,vn2
VN2_1247940626,GOLD,vn2
VN2_1239261681,GOLD,vn2
VN2_1217733227,GOLD,vn2
VN2_1227894139,GOLD,vn2
VN2_1245766503,GOLD,vn2
VN2_1250429602,GOLD,vn2
VN2_1217346603,GOLD,vn2
VN2_1216741291,GOLD,vn2
VN2_1251392949,GOLD,vn2
VN2_1225308393,GOLD,vn2
VN2_1245232057,GOLD,vn2
VN2_1208642015,GOLD,vn2
VN2_1239436652,GOLD,vn2
VN2_1228681572,GOLD,vn2
VN2_1209737770,GOLD,vn2
VN2_1238440077,GOLD,vn2
VN2_1223841246,GOLD,vn2
VN2_1253640732,GOLD,vn2
VN2_1253392905,GOLD,vn2
VN2_1251865103,GOLD,vn2
VN2_1232266692,GOLD,vn2
VN2_1251632528,GOLD,vn2
VN2_1217507114,GOLD,vn2
VN2_1253350521,GOLD,vn2
VN2_1242237059,GOLD,vn2
VN2_1252698351,GOLD,vn2
VN2_1223981854,GOLD,vn2
VN2_1229454261,GOLD,vn2
VN2_1234523273,GOLD,vn2
VN2_1250656082,GOLD,vn2
VN2_1245901581,GOLD,vn2
VN2_1242028135,GOLD,vn2
VN2_1221994742,GOLD,vn2
VN2_1251961878,GOLD,vn2
VN2_1124707593,GOLD,vn2
VN2_1253252075,GOLD,vn2
VN2_1252663718,GOLD,vn2
VN2_1251220354,GOLD,vn2
VN2_1244747511,GOLD,vn2
VN2_1249926145,GOLD,vn2
VN2_1233218413,GOLD,vn2
VN2_1212359972,GOLD,vn2
VN2_1247276433,GOLD,vn2
VN2_1253094508,GOLD,vn2
VN2_1248335761,GOLD,vn2
VN2_1249823937,GOLD,vn2
VN2_1221271457,GOLD,vn2
VN2_1249697980,GOLD,vn2
VN2_1242855487,GOLD,vn2
