tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
CHALLENGER,d0QpYxF8VeBNCY5eLupdDOU_jfJwzvNwUL5tVSOjf7Tq8XWHcXmvgwv34kqb5DqUW1Ofbzt4bqgg2A,1012,172,172,False,False,True,False
CHALLENGER,gp9bdJXdUnt8NUIA9tMeoG6oa-PPfmZAeQk-SCS1_NrT5vfZqKE3fNXxyQRhK3AcopO3M8-F-PTJxQ,961,85,51,False,False,False,False
CHALLENGER,R5FCYQK5JVf79CuB1rDpPOsrQLxR1i0ajXCjzGutNK9KteaHh50yxwZPLo0-62AC5PgkoycahYn1Ug,1053,101,78,False,False,False,False
GRANDMASTER,WjNOmiIqKI95Icq8weSCmWwbM5ejc9ibVa4yKqlqOYLIFjJZLzfj2OrQYA84Er9pf5VOuzwlFWxQRw,836,86,64,False,False,True,False
GRANDMASTER,0_iLdT6Sg5-kBMJlJAVxPjnzFxZlyRZ5OTDEGFH1qyC5Ii1Hs9GFqL5bDgfIrIUepiSDuIN0H3beVw,684,85,67,False,False,True,False
GRANDMASTER,_liELCc4rKfzcvbxNDWC1o18QVk1-nbDHvBvzbfpbEI2U051bvEsh4aUbIadM64FNhfT3j4VO-rzpA,716,189,160,False,False,True,False
GRANDMASTER,ppIQIpyaHtywfypAlMrYfrPequCJd1fXFF6q3f6HPDRGWOMZcC0WODuGDqVFRN6sP4PYcoV1_h3ltg,838,79,60,False,False,True,False
GRANDMASTER,KEqqeWIl4Zio11W4gDC0CxS7FdvX4KVtDw0CQGn5lZW0m4JBLI29dwmzrUMvFRWQ5-hZgwz4rWBc7Q,749,109,90,False,False,True,False
GRANDMASTER,J_I7AB-qn1thMXd6V1QFB5UNh_9N6LqrCP259k8dh03_MxRqMX3Hol-oErcWA36qR33F0rhZJvds4w,807,77,52,False,False,False,False
GRANDMASTER,vB0PMp4DoQwQSvH6KCCeRcI1FqXhC1u7pT0HG_7aQTEQKuHo7WbdwHBe8CLUx1oJyy0hM3nPKzJHSw,797,93,75,False,False,True,False
MASTER,TAAzN_knKA_eYs_peRE3UNts5WUBkkO9pCaFbyXzna7De230xB9fIoX8LKehUEoHPmLhHbQ9ezw_-w,70,35,39,False,False,True,False
MASTER,ptdbi8m8RRCIl5SyOtwY64fXuiU8BjD3xXFgVhGu320GDf0p1UQpSFNIDr6yGRJfxSGtjljKshSdTw,9,51,43,False,False,True,False
MASTER,HjM_iCVHcE6Jc0MJmb_Uh-xZIhmccznSTEakisf8LVtvX96PwSG-ensLiIb60CpJs2D9wRDFVxTN0w,610,93,40,False,False,True,False
MASTER,gqyvxHEIdRis-bUCs6adDyc5GGqW8hziKKzphLlviZukQyCv5RcsBibYr_cq4ZF55cth7HbG9u9k0w,582,62,51,False,False,False,False
