matchId,tier,platform
VN2_1241041667,IRON,vn2
VN2_1205228766,IRON,vn2
VN2_1247245169,IRON,vn2
VN2_1219091198,IRON,vn2
VN2_1197333475,IRON,vn2
VN2_1235624215,IRON,vn2
VN2_1241304102,IRON,vn2
VN2_1246834013,IRON,vn2
VN2_1060847432,IRON,vn2
VN2_1245503934,IRON,vn2
VN2_1250053679,IRON,vn2
VN2_1235072039,IRON,vn2
VN2_1252767542,IRON,vn2
VN2_1244704183,IRON,vn2
VN2_1249665500,IRON,vn2
VN2_1210434641,IRON,vn2
VN2_1235661875,IRON,vn2
VN2_1245546245,IRON,vn2
VN2_1240902224,IRON,vn2
VN2_1252225879,IRON,vn2
VN2_1248635826,IRON,vn2
VN2_1213677950,IRON,vn2
VN2_1097434186,IRON,vn2
VN2_1248821240,IRON,vn2
VN2_1209171111,IRON,vn2
VN2_1247398188,IRON,vn2
VN2_1228049163,IRON,vn2
VN2_1241517139,IRON,vn2
VN2_1213069525,IRON,vn2
VN2_1253115299,IRON,vn2
VN2_1251542420,IRON,vn2
VN2_1197047054,IRON,vn2
VN2_1248893366,IRON,vn2
VN2_1245986316,IRON,vn2
VN2_1246677390,IRON,vn2
VN2_1248580254,IRON,vn2
VN2_1253219569,IRON,vn2
VN2_1217387596,IRON,vn2
VN2_1250907148,IRON,vn2
VN2_1229128530,IRON,vn2
VN2_1248041219,IRON,vn2
VN2_1243302060,IRON,vn2
VN2_1252405759,IRON,vn2
VN2_1250573746,IRON,vn2
VN2_1254665537,IRON,vn2
VN2_1246586188,IRON,vn2
VN2_1242908942,IRON,vn2
VN2_1238549018,IRON,vn2
VN2_1217961307,IRON,vn2
VN2_1241419310,IRON,vn2
VN2_1169069104,IRON,vn2
VN2_1232204602,IRON,vn2
VN2_1245411597,IRON,vn2
VN2_1210947951,IRON,vn2
VN2_1251187754,IRON,vn2
VN2_1253444333,IRON,vn2
VN2_1238915324,IRON,vn2
VN2_1235044077,IRON,vn2
VN2_1196722016,IRON,vn2
VN2_1234920244,IRON,vn2
VN2_1210363611,IRON,vn2
VN2_1235163388,IRON,vn2
VN2_993740082,IRON,vn2
VN2_1238364055,IRON,vn2
VN2_1210851153,IRON,vn2
VN2_1226090039,IRON,vn2
VN2_1252406346,IRON,vn2
VN2_1250539575,IRON,vn2
VN2_1222099660,IRON,vn2
VN2_1254161435,IRON,vn2
VN2_1200799325,IRON,vn2
VN2_1254383710,IRON,vn2
VN2_1212462859,IRON,vn2
VN2_1249261228,IRON,vn2
VN2_1196176177,IRON,vn2
VN2_1248673403,IRON,vn2
VN2_1254113699,IRON,vn2
VN2_1253314772,IRON,vn2
VN2_1241665337,IRON,vn2
VN2_1245520507,IRON,vn2
VN2_1123296581,IRON,vn2
VN2_1249131425,IRON,vn2
VN2_1242428040,IRON,vn2
VN2_1225686541,IRON,vn2
VN2_1253518146,IRON,vn2
VN2_1240341429,IRON,vn2
VN2_1242240963,IRON,vn2
VN2_1204456409,IRON,vn2
VN2_1236794305,IRON,vn2
VN2_1200088070,IRON,vn2
VN2_1253979862,IRON,vn2
VN2_1251215755,IRON,vn2
VN2_1246470379,IRON,vn2
VN2_1245306035,IRON,vn2
VN2_1227701277,IRON,vn2
VN2_647342149,IRON,vn2
VN2_1250172920,IRON,vn2
VN2_1240701087,IRON,vn2
VN2_1217760379,IRON,vn2
VN2_1245691788,IRON,vn2
VN2_1230243249,IRON,vn2
VN2_1247928070,IRON,vn2
VN2_1251505479,IRON,vn2
VN2_1183179678,IRON,vn2
VN2_1192584460,IRON,vn2
VN2_1169436933,IRON,vn2
VN2_1228121295,IRON,vn2
VN2_1241513205,IRON,vn2
VN2_1223223398,IRON,vn2
VN2_1254174231,IRON,vn2
VN2_1232701139,IRON,vn2
VN2_1251363779,IRON,vn2
VN2_1250347814,IRON,vn2
VN2_1251120545,IRON,vn2
VN2_1253488569,IRON,vn2
VN2_1252639617,IRON,vn2
VN2_1252290631,IRON,vn2
VN2_1213257379,IRON,vn2
VN2_1168923561,IRON,vn2
VN2_1245241524,IRON,vn2
VN2_1232500534,IRON,vn2
VN2_1244989756,IRON,vn2
VN2_1252226777,IRON,vn2
VN2_1245129690,IRON,vn2
VN2_1208661700,IRON,vn2
VN2_1254162375,IRON,vn2
VN2_1232561094,IRON,vn2
VN2_1235643456,IRON,vn2
VN2_1115749242,IRON,vn2
VN2_1216310393,IRON,vn2
VN2_906519313,IRON,vn2
VN2_1243966223,IRON,vn2
VN2_1212777424,IRON,vn2
VN2_1242257875,IRON,vn2
VN2_1253986719,IRON,vn2
VN2_1200130381,IRON,vn2
VN2_1253616091,IRON,vn2
VN2_1232269108,IRON,vn2
VN2_1235125674,IRON,vn2
VN2_1245458568,IRON,vn2
VN2_1213012989,IRON,vn2
VN2_1226582013,IRON,vn2
VN2_1210751226,IRON,vn2
VN2_1253158774,IRON,vn2
VN2_1253610955,IRON,vn2
VN2_1243669360,IRON,vn2
VN2_1253781277,IRON,vn2
VN2_1246321106,IRON,vn2
VN2_1217324610,IRON,vn2
VN2_1247354937,IRON,vn2
VN2_1245499321,IRON,vn2
VN2_1219219704,IRON,vn2
VN2_1252386426,IRON,vn2
VN2_1252530241,IRON,vn2
VN2_1244353314,IRON,vn2
VN2_1247107969,IRON,vn2
VN2_1187460377,IRON,vn2
VN2_1227905572,IRON,vn2
VN2_1237648431,IRON,vn2
VN2_1235514089,IRON,vn2
VN2_1251633499,IRON,vn2
VN2_1245545266,IRON,vn2
VN2_1247384153,IRON,vn2
VN2_1252228382,IRON,vn2
VN2_1227937026,IRON,vn2
VN2_1205044666,IRON,vn2
VN2_1235805256,IRON,vn2
VN2_1242224273,IRON,vn2
VN2_1242400738,IRON,vn2
VN2_1253231226,IRON,vn2
VN2_1244684714,IRON,vn2
VN2_1210536789,IRON,vn2
VN2_1254291062,IRON,vn2
VN2_1241703468,IRON,vn2
VN2_1230267520,IRON,vn2
VN2_1233596859,IRON,vn2
VN2_1252552684,IRON,vn2
VN2_1253172214,IRON,vn2
VN2_1253472260,IRON,vn2
VN2_1242343806,IRON,vn2
VN2_1252519451,IRON,vn2
VN2_1253816916,IRON,vn2
VN2_1219315512,IRON,vn2
VN2_1243775001,IRON,vn2
VN2_1235164219,IRON,vn2
VN2_1253099649,IRON,vn2
VN2_1193855242,IRON,vn2
VN2_1218796356,IRON,vn2
VN2_1248194118,IRON,vn2
VN2_1246224334,IRON,vn2
VN2_1243834065,IRON,vn2
VN2_1226999152,IRON,vn2
VN2_1220753810,IRON,vn2
VN2_1254074025,IRON,vn2
VN2_1200998649,IRON,vn2
VN2_1247563173,IRON,vn2
VN2_1226843875,IRON,vn2
VN2_1220473489,IRON,vn2
VN2_1246686369,IRON,vn2
VN2_1234965247,IRON,vn2
VN2_1248326568,IRON,vn2
VN2_1237341701,IRON,vn2
VN2_1240844207,IRON,vn2
VN2_1252128367,IRON,vn2
VN2_1211405633,IRON,vn2
VN2_1241440748,IRON,vn2
VN2_1248606665,IRON,vn2
VN2_1208171389,IRON,vn2
VN2_1214368517,IRON,vn2
VN2_1209987454,IRON,vn2
VN2_1227811768,IRON,vn2
VN2_1225180058,IRON,vn2
VN2_1237243758,IRON,vn2
VN2_1212720137,IRON,vn2
VN2_1243720099,IRON,vn2
VN2_1169029668,IRON,vn2
VN2_1253277648,IRON,vn2
VN2_1219104061,IRON,vn2
VN2_1250817825,IRON,vn2
VN2_1218756574,IRON,vn2
VN2_1212647341,IRON,vn2
VN2_1218855225,IRON,vn2
VN2_1253846262,IRON,vn2
VN2_1213332808,IRON,vn2
VN2_1245082833,IRON,vn2
VN2_1249599616,IRON,vn2
VN2_1249395274,IRON,vn2
VN2_1217258857,IRON,vn2
VN2_1249278151,IRON,vn2
VN2_1246256326,IRON,vn2
VN2_1215309371,IRON,vn2
VN2_1207766095,IRON,vn2
VN2_1246506826,IRON,vn2
VN2_1236747035,IRON,vn2
VN2_1250646596,IRON,vn2
VN2_1249584306,IRON,vn2
VN2_1251174186,IRON,vn2
VN2_1219361644,IRON,vn2
VN2_1246283939,IRON,vn2
VN2_1217866500,IRON,vn2
VN2_1253184878,IRON,vn2
VN2_1252700307,IRON,vn2
VN2_1244405949,IRON,vn2
VN2_1168986322,IRON,vn2
VN2_1229020918,IRON,vn2
VN2_1241098630,IRON,vn2
VN2_1239848161,IRON,vn2
VN2_1243744632,IRON,vn2
VN2_1252178322,IRON,vn2
VN2_1219136858,IRON,vn2
VN2_1249207049,IRON,vn2
VN2_1249116802,IRON,vn2
VN2_1244859249,IRON,vn2
VN2_1250781140,IRON,vn2
VN2_1241500523,IRON,vn2
VN2_1240134167,IRON,vn2
VN2_1236886959,IRON,vn2
VN2_1249746921,IRON,vn2
VN2_1252690472,IRON,vn2
VN2_1196775193,IRON,vn2
VN2_1243602219,IRON,vn2
VN2_1254029615,IRON,vn2
VN2_1230434390,IRON,vn2
VN2_1242372402,IRON,vn2
VN2_1229569620,IRON,vn2
VN2_1242638975,IRON,vn2
VN2_1251106722,IRON,vn2
VN2_1248600485,IRON,vn2
VN2_1219229946,IRON,vn2
VN2_1113558043,IRON,vn2
VN2_1254103982,IRON,vn2
VN2_1250507399,IRON,vn2
VN2_1114879260,IRON,vn2
VN2_1202155880,IRON,vn2
VN2_1170951925,IRON,vn2
VN2_1253938062,IRON,vn2
VN2_1209131864,IRON,vn2
VN2_1237277156,IRON,vn2
VN2_1251049217,IRON,vn2
VN2_1253123637,IRON,vn2
VN2_1251751240,IRON,vn2
VN2_1171328750,IRON,vn2
VN2_1250480363,IRON,vn2
VN2_1241691244,IRON,vn2
VN2_1231871723,IRON,vn2
VN2_1253226745,IRON,vn2
VN2_1241998008,IRON,vn2
VN2_1250557501,IRON,vn2
VN2_1221924021,IRON,vn2
VN2_1204508054,IRON,vn2
VN2_1205113593,IRON,vn2
VN2_1249378312,IRON,vn2
VN2_1250486176,IRON,vn2
VN2_1229895988,IRON,vn2
VN2_1250505708,IRON,vn2
VN2_1234305396,IRON,vn2
VN2_1217823346,IRON,vn2
VN2_1254633392,IRON,vn2
VN2_1241639458,IRON,vn2
VN2_1240365388,IRON,vn2
VN2_1204129551,IRON,vn2
VN2_1234623412,IRON,vn2
VN2_1244372336,IRON,vn2
VN2_1214208568,IRON,vn2
VN2_1232443414,IRON,vn2
VN2_1246577658,IRON,vn2
VN2_1254133934,IRON,vn2
VN2_1247012283,IRON,vn2
VN2_1241680083,IRON,vn2
VN2_1249225752,IRON,vn2
VN2_1190593411,IRON,vn2
VN2_1250796674,IRON,vn2
VN2_1248412201,IRON,vn2
VN2_1208878909,IRON,vn2
VN2_1096067493,IRON,vn2
VN2_1252650612,IRON,vn2
VN2_1253293377,IRON,vn2
VN2_1236944632,IRON,vn2
VN2_1253409800,IRON,vn2
VN2_1226505986,IRON,vn2
VN2_1220535880,IRON,vn2
VN2_1249177806,IRON,vn2
VN2_1252013605,IRON,vn2
VN2_1254701898,IRON,vn2
VN2_1239788202,IRON,vn2
VN2_1225142722,IRON,vn2
VN2_1224933757,IRON,vn2
VN2_1226554274,IRON,vn2
VN2_1237618743,IRON,vn2
VN2_1248330604,IRON,vn2
VN2_1096125067,IRON,vn2
VN2_1216249027,IRON,vn2
VN2_1237841281,IRON,vn2
VN2_1198699471,IRON,vn2
VN2_1229537892,IRON,vn2
VN2_1253785179,IRON,vn2
VN2_1241383837,IRON,vn2
VN2_1252065453,IRON,vn2
VN2_1254682180,IRON,vn2
VN2_1242392548,IRON,vn2
VN2_1245172795,IRON,vn2
VN2_1247628195,IRON,vn2
VN2_962741952,IRON,vn2
VN2_1214289767,IRON,vn2
VN2_1252228342,IRON,vn2
VN2_906197089,IRON,vn2
VN2_1245554721,IRON,vn2
VN2_990301760,IRON,vn2
VN2_1241603876,IRON,vn2
VN2_1226457714,IRON,vn2
VN2_1252326906,IRON,vn2
VN2_1252212947,IRON,vn2
VN2_1251421760,IRON,vn2
VN2_1242444535,IRON,vn2
VN2_1236811580,IRON,vn2
VN2_1205105511,IRON,vn2
VN2_1249363661,IRON,vn2
VN2_1253876429,IRON,vn2
VN2_1253027780,IRON,vn2
VN2_1179620087,IRON,vn2
VN2_1236975013,IRON,vn2
VN2_1217784950,IRON,vn2
VN2_1248697503,IRON,vn2
VN2_1250772560,IRON,vn2
VN2_1216841534,IRON,vn2
VN2_1246878822,IRON,vn2
VN2_1251147074,IRON,vn2
VN2_1216665280,IRON,vn2
VN2_1253833575,IRON,vn2
VN2_1235391893,IRON,vn2
VN2_1253977533,IRON,vn2
VN2_1247692168,IRON,vn2
VN2_1248094741,IRON,vn2
VN2_1208348116,IRON,vn2
VN2_1242742954,IRON,vn2
VN2_1211890117,IRON,vn2
VN2_1244271021,IRON,vn2
VN2_1227161871,IRON,vn2
VN2_1254404332,IRON,vn2
VN2_1232938564,IRON,vn2
VN2_1236396191,IRON,vn2
VN2_1247774408,IRON,vn2
VN2_1232103058,IRON,vn2
VN2_1248193860,IRON,vn2
VN2_1145757637,IRON,vn2
VN2_1253215712,IRON,vn2
VN2_1239325990,IRON,vn2
VN2_1243911727,IRON,vn2
VN2_1245264739,IRON,vn2
VN2_1251025359,IRON,vn2
VN2_1213999845,IRON,vn2
VN2_1248412764,IRON,vn2
VN2_1253030713,IRON,vn2
VN2_1073072671,IRON,vn2
VN2_1244921113,IRON,vn2
VN2_990203084,IRON,vn2
VN2_1241705468,IRON,vn2
VN2_1212616775,IRON,vn2
VN2_1252270927,IRON,vn2
VN2_1236629860,IRON,vn2
VN2_1184697923,IRON,vn2
VN2_1221849078,IRON,vn2
VN2_1252263503,IRON,vn2
VN2_1220277045,IRON,vn2
VN2_1246345740,IRON,vn2
VN2_1252125238,IRON,vn2
VN2_1208194491,IRON,vn2
VN2_1247725303,IRON,vn2
VN2_1220792793,IRON,vn2
VN2_1243664385,IRON,vn2
VN2_1252152479,IRON,vn2
VN2_1247824694,IRON,vn2
VN2_1245243692,IRON,vn2
VN2_1254179496,IRON,vn2
VN2_1195911492,IRON,vn2
VN2_1254125392,IRON,vn2
VN2_1254722878,IRON,vn2
VN2_1254262223,IRON,vn2
VN2_1248770589,IRON,vn2
VN2_1253315473,IRON,vn2
VN2_1217869386,IRON,vn2
VN2_1252590606,IRON,vn2
VN2_1252168321,IRON,vn2
VN2_1113589530,IRON,vn2
VN2_1251598526,IRON,vn2
VN2_1252002352,IRON,vn2
VN2_1215724222,IRON,vn2
VN2_1254433806,IRON,vn2
VN2_1250963861,IRON,vn2
VN2_1251891564,IRON,vn2
VN2_1208437100,IRON,vn2
VN2_1219152711,IRON,vn2
VN2_1223113368,IRON,vn2
VN2_1212596279,IRON,vn2
VN2_1251168699,IRON,vn2
VN2_1254164732,IRON,vn2
VN2_1254467930,IRON,vn2
VN2_1114058996,IRON,vn2
VN2_1247923541,IRON,vn2
VN2_1253565457,IRON,vn2
VN2_1249883800,IRON,vn2
VN2_1251374478,IRON,vn2
VN2_1182856850,IRON,vn2
VN2_1252467994,IRON,vn2
VN2_1239649874,IRON,vn2
VN2_511263556,IRON,vn2
VN2_1253813843,IRON,vn2
VN2_1181884934,IRON,vn2
VN2_1240627842,IRON,vn2
VN2_1237097691,IRON,vn2
VN2_1250212701,IRON,vn2
VN2_1145676894,IRON,vn2
VN2_1249916179,IRON,vn2
VN2_1254635858,IRON,vn2
VN2_1237672155,IRON,vn2
VN2_1214125526,IRON,vn2
VN2_1248915308,IRON,vn2
VN2_1251791843,IRON,vn2
VN2_1251543093,IRON,vn2
VN2_1208848772,IRON,vn2
VN2_1246032390,IRON,vn2
VN2_1243430307,IRON,vn2
VN2_1227865005,IRON,vn2
VN2_1234807359,IRON,vn2
VN2_1239837797,IRON,vn2
VN2_1211945216,IRON,vn2
VN2_1187410959,IRON,vn2
VN2_1228154385,IRON,vn2
VN2_1253340443,IRON,vn2
VN2_1253430322,IRON,vn2
VN2_1239846329,IRON,vn2
VN2_1248351612,IRON,vn2
VN2_1253963670,IRON,vn2
VN2_1243650415,IRON,vn2
VN2_1240339956,IRON,vn2
VN2_1193537096,IRON,vn2
VN2_1248868859,IRON,vn2
VN2_1241262197,IRON,vn2
VN2_1246284798,IRON,vn2
VN2_1246770948,IRON,vn2
VN2_514976514,IRON,vn2
VN2_1251200478,IRON,vn2
VN2_1251145976,IRON,vn2
