tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,II,Ams-fsJbwI8lzIqwRn2OBvxjjysboNAd59zDnzaAD39Jc6DtYB0OMmWCp1caKldCPOVzll5OFBNeXQ,b8be0689-75cc-44b5-a786-c3cede443e91,45,9,4,False,False,False,False
BRONZE,II,j6RLNy2xba80uuBb2LT3_PmN7DEeaxVLEGlOKtWxfKXcWbLEBlMmv_KqY9rX3A58wTHx_avlaaf_FQ,71563637-afb6-49d0-a30c-230875ad9426,27,16,22,False,False,False,False
BRONZE,IV,byatQOqOZWuRDCqbIbsQfEdp6daGnuhaiFz_SQoJOOhBQOmVsKdpu_0Nhz6EY6uSruXK6qj4jFIB7w,1676e510-c07a-4bc3-a002-516c31e81c2c,27,4,5,False,False,False,False
BRONZE,II,zfQFLUyzxFZ7xSL3IZFTiSXE4VqYlBJ8Fp-Dyqf_VMMucxVeoVIPj-qJ6vQPv83qVqrBDd1p7Dpbsw,5b6bf73c-fc07-43d5-b68c-a60b187477b3,65,3,11,False,False,False,False
BRONZE,I,hqkzNN4vWBA29lNZoZyJgPftF-gdTh7x7cSdHcVnHjUAV0unO-fE8gI44XMPaFFULPpqppod_d3g-g,b5586f3c-a84a-4ed8-bb04-30274c031989,25,3,5,False,False,False,False
BRONZE,I,bjWq0yTP4BaDqjo5gdxIfcSHln6AaGWUYV0d5DcPdKNqAsUcPhL38Ux9SWqg5ry0ppU6JN6BaitrIw,10e071df-6a7c-48b9-aa67-ef983e0e21fc,10,2,3,False,False,False,False
BRONZE,III,dNViLGJle3cVh0waL7zNg6uuIMiqRfJg2fBIRJtwPAfXsvN3Y0h62ZBP5OcTjvBJdOQiAZAt3pBQhg,dbf5df9d-8da8-44d7-a8b4-fedebcc7d072,70,2,6,False,False,False,False
BRONZE,I,cgy-tv5qP89kT7eHqF456BbMr4PP4HCn0V6O06RB8AQ7lbXrpZ9A1TcZq264LaSIcu8j6cdJczq-oQ,e33887e4-030d-4d09-8116-6fc3676bd580,30,3,4,False,False,False,False
BRONZE,II,Ji2HwV8ytLJ9FnUga6Dca0goQxf4N2bX7bl_CVuriPysQ8kWp526DKOmDhWvTkBWQPR-8H--Tg_qhw,d3271a59-a6e3-4263-a577-02e2b8087426,18,17,18,False,False,False,False
BRONZE,III,nuxE9KyLSZJEWt9rrcUp7Ye6-TgLyfqdYzLSQ-lORb2Cc47Xd9KOpqimw_hTrI9AEt4Y4xE61uuXTg,e56fcd4f-eb0a-4000-a3ce-cc5afbeb84e5,85,3,8,False,False,False,False
BRONZE,II,7tzVIC_lUKND6MksKTUh42NfrdmZlrTVibcmJFXCmO52ievSjLWWFkirgWnQflSM8ga0sx06k2KbPQ,8cbd602e-36bc-40db-b2ce-5d4d021d6e0d,85,4,2,False,False,False,False
BRONZE,III,nASouxw8tYjuRCBvQXLPSvs2M89GFq-wFbVKj4SRmYlL1iUrB9RseFX_KoJ1SgwqZTyquUqFTtAVKA,512e598c-3f6e-4c5b-8521-7a8f92ce03ce,36,10,7,False,False,False,False
BRONZE,I,W5Rq4ms9kL5cRwAaH55PRkNSPWyzUSebkRyKzkqxJmVLwEWtdKlH_2ioxO7UMxVbMqK5tXM-CY93IQ,9cfa4748-31ac-4519-b419-2ce665bf13d9,86,2,4,False,False,False,False
BRONZE,II,PHDfc9BbCpQ3RHUim_AeF25fLtzhLDjmACHLf0AWsB88J4k1z6i-d7GmAmVYsPKRn1bZNkHj4o0TiA,0790ba7a-4250-4ab8-a75d-74434e275c2d,91,1,6,False,False,False,False
BRONZE,IV,7YDsnjKba66FamRJVMHQja7rhobHl0B8dHGTG0YjNL0_BG_Li1zxkQLwZZ79Ra_uOP0bPehkwkJQqA,ff918810-f7a8-49a4-a646-ac3aad0f1192,44,8,11,False,False,False,False
BRONZE,II,2w_DgqBpiFGX72enqu5hk5a4UF6P2jYzCRauY3nOXl_GARMGBa2R5meN3JJrzctYmk5K9Cnjw40KUw,06e9a0ea-cdb2-4ccd-a1df-b895be47adb7,88,2,4,False,False,True,False
BRONZE,I,i3gh8JZ9hmlKK79bpDMim170XO3__DN4S1klykxlQ77M47BgvD77-3QaBUJx4DdSgdrW4vU2fcdThw,eed44105-4c0a-40e2-8498-31371da09903,36,3,4,False,False,False,False
BRONZE,III,VtwOGJPaQD_kqccmqToQXXylGuISH04mrqprdjOGzUzsxSarGCYI2g7H4EVBPi1B-PSGGWLRST_T2w,e537898b-f7d7-4b50-a4e8-928cda5e590d,12,5,3,False,False,False,False
BRONZE,III,065lnqd_cF5obC9YJAuKjQtg3xuDewQ16Pp05660m9-YKbD35hVik3N7kYGdN83kzo-c1q-gi_sGtA,d4bd1be7-ebaa-406b-a14f-fed86e6f0d99,20,3,4,False,False,False,False
BRONZE,III,xv51aus-GemDIjZMXi0deYBZLe79rq9Nu81Zd8W-uY-oyJrl8FRLTuOqLggfTxGEDd5-YJI0eKupww,e3c8a647-ca62-49a8-bdb1-821139b77da8,17,5,2,False,False,True,False
