matchId,tier,platform
VN2_1242348260,PLATINUM,vn2
VN2_1247874453,PLATINUM,vn2
VN2_745963263,PLATINUM,vn2
VN2_1254241881,PLATINUM,vn2
VN2_1250883320,PLATINUM,vn2
VN2_919261970,PLATINUM,vn2
VN2_1247509130,PLATINUM,vn2
VN2_1244651843,PLATINUM,vn2
VN2_1248147475,PLATINUM,vn2
VN2_1254667362,PLATINUM,vn2
VN2_1195122419,PLATINUM,vn2
VN2_1253231163,PLATINUM,vn2
VN2_1246989875,PLATINUM,vn2
VN2_1249210224,PLATINUM,vn2
VN2_1207465828,PLATINUM,vn2
VN2_1244886952,PLATINUM,vn2
VN2_1251884566,PLATINUM,vn2
VN2_1245517940,PLATINUM,vn2
VN2_1248805837,PLATINUM,vn2
VN2_1247466987,PLATINUM,vn2
VN2_1246383153,PLATINUM,vn2
VN2_1241760231,PLATINUM,vn2
VN2_1237546675,PLATINUM,vn2
VN2_1254277221,PLATINUM,vn2
VN2_1248505340,PLATINUM,vn2
VN2_1242784463,PLATINUM,vn2
VN2_1238502784,PLATINUM,vn2
VN2_1174807878,PLATINUM,vn2
VN2_1247884249,PLATINUM,vn2
VN2_1228127618,PLATINUM,vn2
VN2_1253717444,PLATINUM,vn2
VN2_1235513282,PLATINUM,vn2
VN2_1253170824,PLATINUM,vn2
VN2_1253782301,PLATINUM,vn2
VN2_1235612789,PLATINUM,vn2
VN2_1245399042,PLATINUM,vn2
VN2_1245978538,PLATINUM,vn2
VN2_1221788914,PLATINUM,vn2
VN2_1254524335,PLATINUM,vn2
VN2_1244656881,PLATINUM,vn2
VN2_1250882008,PLATINUM,vn2
VN2_1226366929,PLATINUM,vn2
VN2_1254576264,PLATINUM,vn2
VN2_1254385508,PLATINUM,vn2
VN2_1243594243,PLATINUM,vn2
VN2_1250911096,PLATINUM,vn2
VN2_1243041501,PLATINUM,vn2
VN2_1240633050,PLATINUM,vn2
VN2_1244198317,PLATINUM,vn2
VN2_1245484491,PLATINUM,vn2
VN2_1250523083,PLATINUM,vn2
VN2_1251851186,PLATINUM,vn2
VN2_1236912035,PLATINUM,vn2
VN2_1240524925,PLATINUM,vn2
VN2_1243259522,PLATINUM,vn2
VN2_1252398789,PLATINUM,vn2
VN2_1240727089,PLATINUM,vn2
VN2_1243423268,PLATINUM,vn2
VN2_1233407366,PLATINUM,vn2
VN2_1253434947,PLATINUM,vn2
VN2_1208653042,PLATINUM,vn2
VN2_1245738502,PLATINUM,vn2
VN2_1233667157,PLATINUM,vn2
VN2_1208924766,PLATINUM,vn2
VN2_1236794679,PLATINUM,vn2
VN2_1252020560,PLATINUM,vn2
VN2_1253407042,PLATINUM,vn2
VN2_1252991690,PLATINUM,vn2
VN2_1243288904,PLATINUM,vn2
VN2_1248483767,PLATINUM,vn2
VN2_1247699220,PLATINUM,vn2
VN2_1246772202,PLATINUM,vn2
VN2_1250437238,PLATINUM,vn2
VN2_1253793291,PLATINUM,vn2
VN2_1249570578,PLATINUM,vn2
VN2_1245547213,PLATINUM,vn2
VN2_1223946984,PLATINUM,vn2
VN2_1253735834,PLATINUM,vn2
VN2_1250009398,PLATINUM,vn2
VN2_1237696910,PLATINUM,vn2
VN2_1249795221,PLATINUM,vn2
VN2_1235120210,PLATINUM,vn2
VN2_1240887405,PLATINUM,vn2
VN2_1253808381,PLATINUM,vn2
VN2_1248523515,PLATINUM,vn2
VN2_1248928077,PLATINUM,vn2
VN2_1221340083,PLATINUM,vn2
VN2_1253525191,PLATINUM,vn2
VN2_1240060530,PLATINUM,vn2
VN2_1143155840,PLATINUM,vn2
VN2_1246453193,PLATINUM,vn2
VN2_1252635232,PLATINUM,vn2
VN2_1236621911,PLATINUM,vn2
VN2_1244114691,PLATINUM,vn2
VN2_1249264361,PLATINUM,vn2
VN2_1243638511,PLATINUM,vn2
VN2_1251284469,PLATINUM,vn2
VN2_1205239555,PLATINUM,vn2
VN2_1246976668,PLATINUM,vn2
VN2_1245590673,PLATINUM,vn2
VN2_1237443368,PLATINUM,vn2
VN2_1242251945,PLATINUM,vn2
VN2_1246124070,PLATINUM,vn2
VN2_1223223864,PLATINUM,vn2
VN2_1254633095,PLATINUM,vn2
VN2_1234039396,PLATINUM,vn2
VN2_1246008999,PLATINUM,vn2
VN2_1253037975,PLATINUM,vn2
VN2_1241403547,PLATINUM,vn2
VN2_1225669522,PLATINUM,vn2
VN2_1239732025,PLATINUM,vn2
VN2_1238415235,PLATINUM,vn2
VN2_1226447750,PLATINUM,vn2
VN2_1232078515,PLATINUM,vn2
VN2_1242761167,PLATINUM,vn2
VN2_1239970954,PLATINUM,vn2
VN2_1222607925,PLATINUM,vn2
VN2_1252411106,PLATINUM,vn2
VN2_1249434453,PLATINUM,vn2
VN2_1252593363,PLATINUM,vn2
VN2_1228829606,PLATINUM,vn2
VN2_1240197802,PLATINUM,vn2
VN2_1242394751,PLATINUM,vn2
VN2_1214514069,PLATINUM,vn2
VN2_1228328598,PLATINUM,vn2
VN2_1236821013,PLATINUM,vn2
VN2_1237572605,PLATINUM,vn2
VN2_1142211362,PLATINUM,vn2
VN2_1248163805,PLATINUM,vn2
VN2_1210145731,PLATINUM,vn2
VN2_1248778184,PLATINUM,vn2
VN2_1252239465,PLATINUM,vn2
VN2_1228169067,PLATINUM,vn2
VN2_1227874889,PLATINUM,vn2
VN2_1240053680,PLATINUM,vn2
VN2_1225904843,PLATINUM,vn2
VN2_1254525211,PLATINUM,vn2
VN2_1250929049,PLATINUM,vn2
VN2_1247102013,PLATINUM,vn2
VN2_1226914545,PLATINUM,vn2
VN2_1167322316,PLATINUM,vn2
VN2_1247967075,PLATINUM,vn2
VN2_1253610760,PLATINUM,vn2
VN2_1241690762,PLATINUM,vn2
VN2_1242121741,PLATINUM,vn2
VN2_1226758214,PLATINUM,vn2
VN2_1246328095,PLATINUM,vn2
VN2_1251757483,PLATINUM,vn2
VN2_1252021562,PLATINUM,vn2
VN2_1254443956,PLATINUM,vn2
VN2_1215198450,PLATINUM,vn2
VN2_1249605899,PLATINUM,vn2
VN2_1239873603,PLATINUM,vn2
VN2_1232634862,PLATINUM,vn2
VN2_1231270776,PLATINUM,vn2
VN2_1253624939,PLATINUM,vn2
VN2_1223481445,PLATINUM,vn2
VN2_1214507270,PLATINUM,vn2
VN2_1248808498,PLATINUM,vn2
VN2_1246593999,PLATINUM,vn2
VN2_1248486670,PLATINUM,vn2
VN2_1243558157,PLATINUM,vn2
VN2_1253463279,PLATINUM,vn2
VN2_1239849417,PLATINUM,vn2
VN2_1253102551,PLATINUM,vn2
VN2_1246512983,PLATINUM,vn2
VN2_1252983780,PLATINUM,vn2
VN2_1223337348,PLATINUM,vn2
VN2_1243136608,PLATINUM,vn2
VN2_1251649002,PLATINUM,vn2
VN2_1253029102,PLATINUM,vn2
VN2_1249978745,PLATINUM,vn2
VN2_1252187696,PLATINUM,vn2
VN2_1248733062,PLATINUM,vn2
VN2_1245840605,PLATINUM,vn2
VN2_1250888221,PLATINUM,vn2
VN2_1254585499,PLATINUM,vn2
VN2_1247007020,PLATINUM,vn2
VN2_1221899598,PLATINUM,vn2
VN2_1244924642,PLATINUM,vn2
VN2_1210876101,PLATINUM,vn2
VN2_1234369417,PLATINUM,vn2
VN2_1230239605,PLATINUM,vn2
VN2_1232500463,PLATINUM,vn2
VN2_1253752953,PLATINUM,vn2
VN2_1243443967,PLATINUM,vn2
VN2_1137432376,PLATINUM,vn2
VN2_1218938286,PLATINUM,vn2
VN2_1244121468,PLATINUM,vn2
VN2_1227733555,PLATINUM,vn2
VN2_1237079072,PLATINUM,vn2
VN2_1249663311,PLATINUM,vn2
VN2_1216783012,PLATINUM,vn2
VN2_1248530413,PLATINUM,vn2
VN2_1251258382,PLATINUM,vn2
VN2_1250479727,PLATINUM,vn2
VN2_1241943223,PLATINUM,vn2
VN2_1251538629,PLATINUM,vn2
VN2_1253592586,PLATINUM,vn2
VN2_1243672495,PLATINUM,vn2
VN2_1243744347,PLATINUM,vn2
VN2_1214751767,PLATINUM,vn2
VN2_1251726078,PLATINUM,vn2
VN2_1250332154,PLATINUM,vn2
VN2_1233893505,PLATINUM,vn2
VN2_1208356925,PLATINUM,vn2
VN2_1225191815,PLATINUM,vn2
VN2_1224449070,PLATINUM,vn2
VN2_1239667682,PLATINUM,vn2
VN2_1229100653,PLATINUM,vn2
VN2_1134033151,PLATINUM,vn2
VN2_1099744939,PLATINUM,vn2
VN2_1226990222,PLATINUM,vn2
VN2_1229742600,PLATINUM,vn2
VN2_1225797106,PLATINUM,vn2
VN2_1228390770,PLATINUM,vn2
VN2_1239494205,PLATINUM,vn2
VN2_1253877346,PLATINUM,vn2
VN2_1246202852,PLATINUM,vn2
VN2_1136576321,PLATINUM,vn2
VN2_1253014220,PLATINUM,vn2
VN2_1238901066,PLATINUM,vn2
VN2_1240149187,PLATINUM,vn2
VN2_1251067210,PLATINUM,vn2
VN2_1249644952,PLATINUM,vn2
VN2_1240117999,PLATINUM,vn2
VN2_1237100433,PLATINUM,vn2
VN2_1253458406,PLATINUM,vn2
VN2_1254699354,PLATINUM,vn2
VN2_1218613993,PLATINUM,vn2
VN2_1246656335,PLATINUM,vn2
VN2_1248982050,PLATINUM,vn2
VN2_1254406318,PLATINUM,vn2
VN2_1210586643,PLATINUM,vn2
VN2_1175256494,PLATINUM,vn2
VN2_1253691859,PLATINUM,vn2
VN2_1251662602,PLATINUM,vn2
VN2_1253132317,PLATINUM,vn2
VN2_1245861266,PLATINUM,vn2
VN2_1253504091,PLATINUM,vn2
VN2_1250487826,PLATINUM,vn2
VN2_1246355158,PLATINUM,vn2
VN2_1251483311,PLATINUM,vn2
VN2_1254624276,PLATINUM,vn2
VN2_1245585788,PLATINUM,vn2
VN2_1235890418,PLATINUM,vn2
VN2_1253118867,PLATINUM,vn2
VN2_1252158693,PLATINUM,vn2
VN2_1251653301,PLATINUM,vn2
VN2_1254637827,PLATINUM,vn2
VN2_1242478297,PLATINUM,vn2
VN2_1249204736,PLATINUM,vn2
