tier,puuid,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
MASTER,WH4B_OTroHPk-cL1usozzIzABfPijWw0_Hs1U2RvSz7tNipwZgSGEvHA4IMoN6FFgk_-i5GENciExw,698,57,35,False,False,False,False
MASTER,omMfpQoIGpm1fhsRKuDcS73Tz72YmorNXu8jQa56wcKFTdEWdZfXiQ_lT3_c5r1Q0y7v8dqHHcM5kw,694,63,40,True,False,True,False
MASTER,ujz7eHKEyyEZlIsRwv0Tr0QSuss4X0HIPRAMAttEI_Qe2aBBVV-BVCEoj8iuabjpV8iHHkSty17Meg,691,121,111,False,False,True,False
MASTER,wBKK35yEagd9z4Z7gzJgWcGtUI5VoDKR2GXtm8-RWJ8PA5D3pC1tDR7iAqUfvMSj4VDdEv1elSY_tw,679,89,74,True,True,False,False
MASTER,lYfJGnBlXaBTiN2jhsgqPxh2qTBPSSVzxyDIVqmKO8iWzgW64WZF2ChA2HIk-s5-m8pIiYweDzuAcg,674,197,159,True,True,True,False
MASTER,xxBDcFlRd1nwPa1VWZ_RePzjrk1nQR_lqlBgg21THlegu10R75CFy7GdFz2rPXj9PUX89COXAiuGLg,674,130,117,True,True,False,False
MASTER,hLoTVk59uEHLIcyE5Z4ZtwTkQyPg-bQeVe6LuNPUm2K_ZRCeNaKvsWOPPNEk9k9KOSkY-jx9wVG3eQ,670,97,84,False,True,False,False
MASTER,I5TDqp0JYLoZx3yBQ2qkrPilZ4HXJUqGpA0-pl1OHwryLZ85_xGDj-QYxkohIFgWbE9l3MNzbpKezA,667,85,63,False,True,False,False
MASTER,0pDVMm5kvSDtI9f4_nQ4ITShMTONeTHdlshRfcJulMbsOD2gAsnxC50eP9IUgoWd3_4GOHl78leY4w,662,124,111,False,False,True,False
MASTER,V0JshDezssf0FLSH-_2DfcyAScbfQjiec1Y2DFrgEPLzHun_tTB0HuLBt6XTkXOWtanQbu6l0naCdg,662,49,32,False,False,False,False
MASTER,NDuutiUnMiB-uzTv40GWSeCPO_fQiN11mG-jp1Qojgaqb-aihpmIEffWZvhK9KQpJ5c9PLjhKRgs0g,661,97,80,False,False,True,False
MASTER,8-XudVZdrZKQYAOZIwsd4-awgEpC3ajfXENNEev6JGCZts0lmnm-FAlXp6kkNrkIhLv0S4w0tw756A,660,71,56,False,False,False,False
