matchId,tier,platform
VN2_1254484674,SILVER,vn2
VN2_1236828670,SILVER,vn2
VN2_1251001988,SILVER,vn2
VN2_1240101686,SILVER,vn2
VN2_1232767516,SILVER,vn2
VN2_1251022567,SILVER,vn2
VN2_1243111311,SILVER,vn2
VN2_1207742508,SILVER,vn2
VN2_1227213320,SILVER,vn2
VN2_1249619720,SILVER,vn2
VN2_1238924040,SILVER,vn2
VN2_1253981363,SILVER,vn2
VN2_1249213671,SILVER,vn2
VN2_1243478064,SILVER,vn2
VN2_1242248589,SILVER,vn2
VN2_1237563472,SILVER,vn2
VN2_1213537745,SILVER,vn2
VN2_1247119206,SILVER,vn2
VN2_1231089972,SILVER,vn2
VN2_1246901017,SILVER,vn2
VN2_1237778878,SILVER,vn2
VN2_1253556220,SILVER,vn2
VN2_1251349938,SILVER,vn2
VN2_1234515252,SILVER,vn2
VN2_1240241609,SILVER,vn2
VN2_1252600388,SILVER,vn2
VN2_1231691625,SILVER,vn2
VN2_1247220213,SILVER,vn2
VN2_1250563772,SILVER,vn2
VN2_1250117377,SILVER,vn2
VN2_1253096020,SILVER,vn2
VN2_1253812668,SILVER,vn2
VN2_1253017244,SILVER,vn2
VN2_1237954805,SILVER,vn2
VN2_1196056909,SILVER,vn2
VN2_1215747434,SILVER,vn2
VN2_1236958246,SILVER,vn2
VN2_1202548059,SILVER,vn2
VN2_1245682070,SILVER,vn2
VN2_1239802885,SILVER,vn2
VN2_1251929367,SILVER,vn2
VN2_1248125503,SILVER,vn2
VN2_1249913555,SILVER,vn2
VN2_1248189232,SILVER,vn2
VN2_1245119542,SILVER,vn2
VN2_1222207329,SILVER,vn2
VN2_1241539472,SILVER,vn2
VN2_1233860938,SILVER,vn2
VN2_1215761604,SILVER,vn2
VN2_1247561861,SILVER,vn2
VN2_1093646286,SILVER,vn2
VN2_1229642860,SILVER,vn2
VN2_1248006805,SILVER,vn2
VN2_1177351803,SILVER,vn2
VN2_1253674525,SILVER,vn2
VN2_1246605091,SILVER,vn2
VN2_1249110130,SILVER,vn2
VN2_1243780273,SILVER,vn2
VN2_1221718233,SILVER,vn2
VN2_1235566480,SILVER,vn2
VN2_1253579495,SILVER,vn2
VN2_1234106309,SILVER,vn2
VN2_1253138809,SILVER,vn2
VN2_1179125216,SILVER,vn2
VN2_1209778685,SILVER,vn2
VN2_1247555149,SILVER,vn2
VN2_1242508565,SILVER,vn2
VN2_1245350271,SILVER,vn2
VN2_1248573442,SILVER,vn2
VN2_1243285369,SILVER,vn2
VN2_1246832403,SILVER,vn2
VN2_1244889350,SILVER,vn2
VN2_1253919929,SILVER,vn2
VN2_1251417778,SILVER,vn2
